name,size,about
RHETOR R1A,1,Rhetorical approach to reading and writing argumentative discourse. Close reading of selected texts; written themes developed from class discussion and analysis of rhetorical strategies. Satisfies the first half of the Reading and Composition requirement.
RHETOR R1B,1,Intensive argumentative writing drawn from controversy stimulated through selected readings and class discussion. Satisfies the second half of the Reading and Composition requirement.
RHETOR 2,1,Basic principles of rhetoric as applied to the criticism and practice of public speaking.
RHETOR 10,1,"An introduction to practical reasoning and the critical analysis of argument. Topics treated will include: definition, the syllogism, the enthymeme, fallacies, as well as various non-logical appeals. Also, the course will treat in introductory fashion some ancient and modern attempts to relate rhetoric and logic."
RHETOR 20,1,"Introduction to the study of rhetorical interpretation, treating how the action of tropes, figures, and performance generates meaning in communication: from fiction and other forms of literature, to politics, to film, to visual and material culture generally."
RHETOR 22,1,"This class examines the way in which a distinctively rhetorical concern with persuasion, tropes, topicality, and modes of appeal can be engaged in readings of Shakespearean texts. Using written documents from the period along with contemporary rhetorical criticism and theory, the class analyzes the importance of rhetoric in the production and performance of Shakespeare's plays, in their particular rendering of verbal conflict and the scene of persuasion"
RHETOR 24,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
RHETOR 39,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
RHETOR 39I,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
RHETOR 98,1,Instruction for a small group of students on a topic initiated by those students.
RHETOR 103A,1,"A broad consideration of the historical relationships between philosophy, literature, and rhetoric, with special emphasis on selected themes of the classical and medieval periods."
RHETOR 103B,1,"A broad consideration of the historical relationship between philosophy, literature, and rhetoric, with special emphasis on selected themes within the early modern and modern periods."
RHETOR 104,1,"An examination of the relations between rhetoric, discourse, and knowledge in selected historical eras, for example the European Renaissance, the Atlantic Enlightenment, or Victorian Britain."
RHETOR 105T,1,"Consideration of the rhetoric of hermeneutics or biblical interpretation with special emphasis on the mythical, symbolic, and allegorical language as the bearer of persuasive intention."
RHETOR 106,1,"A study of how historical knowledge is produced and interpreted. Topics might include narrative and representation, the uses of evidence, forms of historical argumentation, and historical controversies in the public realm."
RHETOR 107,1,"Examination of the characteristic functions of discourse in and about the natural sciences; with particular examination of the ways in which scientific language both guarantees, and at the same time, obscures the expression of social norms in scientific facts."
RHETOR 108,1,Introduction to theoretical issues involved in applying rhetorical analysis to philosophical discourse; intensive analysis of selected philosophical works.
RHETOR 109,1,"Study of the terms and means by which we make and defend judgments involving the exercise of aesthetic sensitivity or perceptiveness. Consideration of the relationship between aesthetic qualities and aesthetic value. Discussion of aesthetic criticism as the means by which the capacities and salience of works of art are called to our attention and brought into focus. Topics include questions of taste, expression, and affect."
RHETOR 110,1,"Study and practice of advanced techniques of argumentation for students with well-developed writing skills. Ethical, logical and pathetic appeals; control of register and tone; assessment of a wide variety of real audiences; genre studies."
RHETOR 111,1,"Participants in this course can expect to accomplish two goals: they will become familiar with a fair amount of the two epics attributed to Homer; and they will learn how classical texts are received by later generations, with Homer as the centerpiece example. That is, we will look at the way in which classical texts are transmitted from the past and how they have survived (or have failed to survive) from antiquity into the present; how readers have sought to make"
RHETOR 112,1,"Investigation of the rhetorical and cultural principles common to various genres of narrative, both prose and poetic, in nonliterate societies. Mythic, epic and folk narratives considered as well as written works from cultures in transition."
RHETOR 113,1,"Can you live ethically without following moral norms, that is, norms as these are given institutionally and reinforced by culture and/or convention? The question, which is at least as old as the Cynics, gathered steam again in the nineteenth century starting with Nietzsche, and it remains a vital problem today. Paradoxical though it may seem, some of the staunchest critics of moral systems and moral norms are at the same time powerful advocates of non-normative"
