name,size,about
SCANDIN 201A,1,"An introduction to the language of medieval Iceland and Norway. Grammar, historical phonology, and texts."
SCANDIN 201B,1,Literary production of early Iceland and Norway. Reading of representative texts in the original.
SCANDIN 206,1,Variable subject matter; see departmental announcement for description. Sample topics: runology; history of the Scandinavian languages; dialectology.
SCANDIN 215,1,Introduction to varieties of literary and cultural theory used in the analysis of literary texts and other cultural artefacts.
SCANDIN 220,1,"Variable subject matter; see departmental announcement for description. Course normally focuses on one of two areas: Eddic and skaldic poetry; or sagas (royal family, legendary, courtly, episcopal)."
SCANDIN 235,1,Variable subject matter; see departmental announcement for description. Reading and analysis of representative works.
SCANDIN 240,1,Reading and analysis of representative works. Topics vary from semester to semester; see departmental announcement for description.
SCANDIN 249,1,"Additional work in connection with one of the following courses: Scandinavian C107, C108, 115, 116, 117, 120, 123, 125, C160, 165. Students attend lectures and do all written work in the ""main course,"" and also read assignments in the Scandinavian languages, and write a paper."
SCANDIN 250,1,"Investigation of selected authors, topics, or problems. Variable subject matter; see departmental announcement for description."
SCANDIN 298,1,Designed to explore a restricted field involving the writing of a report. May not be substituted for available seminars.
SCANDIN 299,1, 
SCANDIN 300A,1,"The course consists of a two-hour session per week that will examine current theory and practice of foreign language teaching in connection with Danish, Finnish, Norwegian, and Swedish."
SCANDIN 300B,1,Graduate Student Instructors must enroll in 300B each semester following the completion of 300A or the equivalent. The course consists of a one-hour weekly session devoted to the analysis and a discussion of pedagogical problems as they arise in the classroom.
SCANDIN 301,1,"Course on practical teaching methods, grading, testing, classroom activities, and design of course materials and syllabi. Required of all Scandinavian Department GSIs."
SCANDIN 601,1,Individual study for the comprehensive or language requirements in consultation with the field adviser. Units may not be used to meet unit or residence requirements for the master's degree.
SCANDIN 602,1,Individual study in consultation with the major field adviser to prepare qualified students for various examinations required of candidates for the Ph.D. May not be used to meet unit or residence requirements for the doctoral degree.
