source,target,type,weight
ESPM 2,ESPM 6,directed,3
ESPM 15,ESPM 39E,directed,3
ESPM 15,ESPM 72,directed,3
ESPM 2,ESPM 72,directed,3
ESPM 6,ESPM 72,directed,3
ESPM 6,ESPM 72,directed,3
ESPM 15,ESPM 78A,directed,3
ESPM 15,ESPM 88A,directed,3
ESPM 15,ESPM 88B,directed,3
ESPM 2,ESPM 88B,directed,3
ESPM 15,ESPM 98,directed,3
ESPM 6,ESPM 98,directed,3
ESPM 15,ESPM 99,directed,3
ESPM 6,ESPM 99,directed,3
ESPM 15,ESPM 100,directed,3
ESPM 15,ESPM 100ES,directed,3
ESPM 2,ESPM 102B,directed,3
ESPM 15,ESPM 102B,directed,3
ESPM 2,ESPM 102B,directed,3
ESPM 2,ESPM 102BL,directed,3
ESPM 15,ESPM 102BL,directed,3
ESPM 15,ESPM 102C,directed,3
ESPM 6,ESPM 102C,directed,3
ESPM 15,ESPM 102D,directed,3
ESPM 6,ESPM 102D,directed,3
ESPM 2,ESPM 102D,directed,3
ESPM 15,ESPM C103,directed,3
ESPM 6,ESPM C103,directed,3
ESPM 15,ESPM C104,directed,3
ESPM 2,ESPM C104,directed,3
ESPM 6,ESPM C104,directed,3
ESPM 105A,ESPM 105B,directed,3
ESPM 105B,ESPM 105C,directed,3
ESPM 24,ESPM 105C,directed,3
ESPM 105C,ESPM 105D,directed,3
ESPM 15,ESPM 108B,directed,3
ESPM 2,ESPM 108B,directed,3
ESPM 15,ESPM 111,directed,3
ESPM 15,ESPM 112,directed,3
ESPM 2,ESPM 112,directed,3
ESPM 112,ESPM 112L,directed,3
ESPM 15,ESPM 112L,directed,3
ESPM 15,ESPM 113,directed,3
ESPM 15,ESPM 114,directed,3
ESPM 2,ESPM 114,directed,3
ESPM 6,ESPM 114,directed,3
ESPM 2,ESPM 114,directed,3
ESPM 15,ESPM 115B,directed,3
ESPM 2,ESPM 115B,directed,3
ESPM 15,ESPM 115C,directed,3
ESPM 2,ESPM 115C,directed,3
ESPM 15,ESPM C115C,directed,3
ESPM 2,ESPM C115C,directed,3
ESPM 15,ESPM 116B,directed,3
ESPM 2,ESPM 116B,directed,3
ESPM 15,ESPM 116C,directed,3
ESPM 15,ESPM 118,directed,3
ESPM 2,ESPM 118,directed,3
ESPM 15,ESPM 119,directed,3
ESPM 2,ESPM 119,directed,3
ESPM 15,ESPM 120,directed,3
ESPM 15,ESPM 121,directed,3
ESPM 15,ESPM C125,directed,3
ESPM 15,ESPM C126,directed,3
ESPM 15,ESPM C128,directed,3
ESPM 15,ESPM 130A,directed,3
ESPM 15,ESPM C130,directed,3
ESPM 15,ESPM 131,directed,3
ESPM 15,ESPM 132,directed,3
ESPM 2,ESPM 132,directed,3
ESPM 15,ESPM 134,directed,3
ESPM 2,ESPM 134,directed,3
ESPM 15,ESPM C138,directed,3
ESPM 15,ESPM 140,directed,3
ESPM 2,ESPM 140,directed,3
ESPM 6,ESPM 140,directed,3
ESPM 15,ESPM 141,directed,3
