name,size,about
ESPM 2,1,"An introduction to the unifying principles and fundamental concepts underlying our scientific understanding of the biosphere. Topics covered include the physical life support system on earth; nutrient cycles and factors regulating the chemical composition of water, air, and soil; the architecture and physiology of life; population biology and community ecology; human dependence on the biosphere; and the magnitude and consequences of human interventions"
ESPM 5,1,"This course explores the journey of the U.S. food supply from the farm to the family table. The ecology, management, and politics of farming under a global change scenario, the impact of our changing patterns of demand on food processing and retail, the opportunties and costs of exports, and the way different groups access, use, and consume food."
ESPM 6,1,Basic biological and ecological principles discussed in relation to environmental disruptions. Human interactions with the environment; their meaning for animals and plants. Discussion of basic ecological processes as a basis for understanding environmental problems and formulating strategies for their solution.
ESPM 9,1,"Utilizing a field intensive seminar format, the course will introduce lower division students to the process of addressing real environmental problems. Through a progression of case studies, students will explore a spectrum of research design and implementation approaches. By the end of the semester, they will be able to frame a researchable question, design a protocol for gathering relevant information, analyze the information, and derive"
ESPM C10,1,"Relationship between human society and the natural environment; case studies of ecosystem maintenance and disruption. Issues of economic development, population, energy, resources, technology, and alternative systems."
ESPM C11,1,"This course challenges students to think about how individual and American consumer decisions affect forest ecosystems around the world. A survey course that highlights the consequences of different ways of thinking about the forest as a global ecosystem and as a source of goods like trees, water, wildlife, food, jobs, and services. The scientific tools and concepts that have guided management of the forest for the last 100 years, and the"
ESPM C12,1,"This integrative course, taught by a humanities professor and a science professor, surveys current global environmental issues; introduces the basic intellectual tools of environmental science; investigates ways the human relationship to nature has been imagined in literary and philosophical traditions; and examines how tools of scientific and literary analysis; scientific method, and imaginative thinking can clarify what is at stake in environmental"
ESPM 15,1,"Introduction to the science underlying biological and physical environmental problems, including water and air quality, global change, energy, ecosystem services, introduced and endangered species, water supply, solid waste, human population, and interaction of technical, social, and political approaches to environmental management."
ESPM C22AC,1,"The course presents a diachronic perspective on human-fire interactions with local ecosystems in California that spans over 10,000 years. The course will provide an historical perspective on human-fire interactions at the landscape scale using a diverse range of data sources drawn from the fields of fire ecology, biology, history, anthropology, and archaeology. An important component includes examining how diverse cultures and ethnicity influenced how people"
ESPM 24,1,"The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman Seminars are offered in all campus departments, and topics may vary from department to department and semester to semester. Enrollment limited to fifteen freshman."
ESPM 39E,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
ESPM 40,1,"An introduction to the diversity and natural history of insects in natural and human environments. The course examines the wonder of insects, their interactions with the living world, and their contributions to and impacts on human society."
ESPM 42,1,"An outline of the main facts and principles of biology as illustrated by insects, with special emphasis on their relations to plants and animals, including humans."
ESPM 44,1,"Regulation of populations of organisms, especially insects, through interactions with parasites, predators, pathogens, competitors. Discussion of examples from agricultural, forest, urban, and recreational environments."
ESPM C46,1,"Introduction to California geography, environment, and society, past and future climates, and the potential impacts of 21st-century climate change on ecosystems and human well-being. Topics include fundamentals of climate science and the carbon cycle; relationships between human and natural systems, including water supplies, agriculture, public health, and biodiversity; and the science, law, and politics of possible solutions that can reduce the magnitude"
ESPM 50AC,1,"An introduction to how culture affects the way we use and manage fire, wildland and urban forests, rangelands, parks and preserves, and croplands in America. The basic concepts and tools for evaluating the role of culture in resource use and management are introduced and used to examine the experience of American cultural groups in the development and management of western natural resources."
ESPM 60,1,"Introduction to U.S. environmental policy process focuses on history and evolution of political institutions, importance of property, federal and state roles in decision making, and challenges of environmental policy. Emphasis is on use of science in decision making, choices between regulations and incentives, and role of bureaucracy in resource policy. Case studies on natural resource management, risk management, environmental"
ESPM 72,1,"Introduction to computer systems, data processing software for natural resources studies. Components of geographic information systems; concepts of surveying, mapping, and remote sensing as data sources; various methods of data processing and analysis including classification, map overlay, buffer analysis, topographic modeling, spatial interpolation, and map design with a GIS. Intensive hands-on"
ESPM 78A,1,Introduces theories of cognitive development and the practices of curriculum design and lesson presentation for environmental education. Ecology and natural resource management provide the context of curriculum development. Students create lesson plans integrating core concepts and their knowledge of local environmental issues. Lessons are presented to Bay Area K-12 students in field and classroom settings.
ESPM 88A,1,"From interactive web maps to spatial data analysis, digital geographic data and information are becoming an important part of the data science landscape. Almost everything happens somewhere that can be mapped on the surface of the earth. In many cases the where matters as much to an analysis as the what and the why. Geospatial data analysis allows a researcher to consider location explicitly. This course provides an introduction to working with digital"
ESPM 88B,1,"Many of the greatest challenges we face today come from understanding and interacting with the natural world: from global climate change to the sudden collapse of fisheries and forests, from the spread of disease and invasive species to the unknown wealth of medical, cultural, and technological value we derive from nature. Advances in satellites and micro­sensors, computation, informatics and the Internet have made available unprecedented amounts of data about the"
ESPM 90,1,"Introduction to the major, emphasizing each student's educational goals. Overview of ecological problems and contrasting approaches to solutions through institutional and community-based efforts. Required of all CRS sophomore majors and all entering off-campus transfer students to CRS major. Restricted to CRS majors. One field trip is normally required."
ESPM 98,1,Study of special topics that are not covered in depth in regular courses in the department.
ESPM 98BC,1,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department"
ESPM 99,1,"Supervised independent study or research on topics relevant to department that are not covered in depth by other courses. Open to students in good standing who, in consultation with a faculty sponsor, present a proposal with clearly formulated objectives and means of implementation. Intended for exceptional students."
ESPM 100,1,"Analysis of contrasting approaches to understanding and solving environmental and resource management problems. Case studies and hands-on problem solving that integrate concepts, principles, and practices from physical, biological, social, and economic disciplines. Their use in environmental policies and resource and management plans."
ESPM 100ES,1,"Introduction to basic methods used in environmental research by biological, physical, and social scientists; designed to teach skills necessary to conduct independent thesis research in the required senior seminar, 196A-196B/196L. Topics include development of research questions, sampling methods, experimental design, statistical analysis, scientific writing and graphics, and introductions to special techniques for characterizing environmental"
ESPM 102B,1,"This course is designed to introduce students to the major sampling systems used in natural resources and ecology. It also introduces students to important sampling and measurement concepts in grassland, forest, wildlife, insect, soil, and water resources. May be taken without laboratory course 102BL."
ESPM 102BL,1,This laboratory course is designed to introduce students to the major sampling systems used in natural resources and ecology. Field data is collected with various important sampling designs and analyzed. Mean values and confidence intervals are constructed from the data collected in this course. This course must be taken in conjunction with lecture course 102B.
ESPM 102C,1,"Presents concept and practical approaches to public and private natural resource management decision making. The focus is on goals, criteria, data, models, and technology for quantifying and communicating the consequences of planning options. A range of contemporary air, soil, wetland, rangeland, forest, social, economic, and ecosystem management problems is addressed."
ESPM 102D,1,"This intermediate level course engages with both the politics and the design of climate and clean energy policy, with a focus on the United States. Key themes include political strategies to climate change, the choice of policy instruments, the role of various state actors and interest groups in policy making, the interaction of policy and low-carbon technology markets, and the US and global politics. The course combines"
ESPM C103,1,"A survey of the principles and practices of conservation biology. Factors that affect the creation, destruction, and distribution of biological diversity at the level of the gene, species, and ecosystem are examined. Tools and management options derived from ecology and evolutionary biology that can recover or prevent the loss of biological diversity are explored."
ESPM C104,1,"Models of population growth, chaos, life tables, and Leslie matrix theory. Harvesting and exploitation theory. Methods for analyzing population interactions, predation, competition. Fisheries, forest stands, and insect pest management. Genetic aspects of population management. Mathematical theory based on simple difference and ordinary differential equations. Use of simulation packages on microcomputers (previous experience with computers"
ESPM 105A,1,"Introduction to silvicultural theory, forest operations, and utilization and manufacture of forest products. Evaluation of silviculture for managing forest stands for multiple objectives including regeneration, stand density control, forest growth, genetic improvement, and prescribed burning. Introduction to harvest and access systems, wood structure and quality, and manufacture of forest product."
ESPM 105B,1,"This course teaches students how to use common forestry tools, maps, and various sampling methods to collect information about the forest environment. Thirty percent of the time is spent in the classroom learning about the techniques and working up field data. The remaining time is spent in the field applying these techniques in real world settings. Skills taught will include tree and plot measurement"
ESPM 105C,1,"Introduction to silvicultural theory, forest operations, and utilization and manufacture of forest products. Evaluation of silviculture for managing forest stands for multiple objectives including regeneration, stand density control, forest growth, genetic improvement, and prescribed burning. Introduction to harvest and access systems, wood structure and quality, and manufacture of forest product."
ESPM 105D,1,"Develop skills in evaluating forests and developing management strategies to meet ownership objectives. Develop integrated forest management plan for 160 acre parcel. During first week, inventory and assess ecological condition of the assigned parcel. During second week, develop comprehensive integrated forest resource plan, integrating water, wood, wildlife, range, fisheries, and recreation."
ESPM C105,1,"(1) survey of museum resources, including strategies for accession, conservation, collecting and acquiring material, administration, and policies; (2) strategies for making collections digitally available (digitization, databasing, georeferencing, mapping); (3) tools and approaches for examining historical specimens (genomics, isotopes, ecology, morphology, etc); and (4) data integration and inference. The final third of the course will involve"
ESPM 106,1,"This course will introduce the history of key wildlife management and policy paradigms, such as parks and protected areas, threatened and endangered species protections, and state wildlife management. We will then explore in depth a number of species case studies in the Greater Yellowstone Ecosystem, a major laboratory for wildlife science, management and policy. The course will draw on lectures, readings, discussions, and guest perspectives."
ESPM C107,1,"Natural history and evolutionary biology of island terrestrial and freshwater organisms, and of marine organisms in the coral reef and lagoon systems will be studied, and the geomorphology of volcanic islands, coral reefs, and reef islands will be discussed. Features of island biogeography will be illustrated with topics linked to subsequent field studies on the island of Moorea (French Polynesia)."
ESPM 108A,1,"Study of trees and associated woody species including their taxonomy and distribution, modes of shoot growth and diameter growth, and stem structure. Modes of stem structure and growth will be considered in relation to habitat and life cycles, and to suitability for timber value. Instruction in oral communication. Oral presentation required."
ESPM 108B,1,This course will examine the consequences of environmental change on the levels and distribution of genetic diversity within species. Students will be introduced to methods of analysis and their application to organisms from a range of ecosystems. The fate of populations under rapid environmental change will be assessed in the light of dispersal and adaptation (genetic and epigenetic) potential. Students will learn to use population genetics freeware
ESPM 109A,1,"Students will learn the fundamentals of island and reef biology, geology, marine ecology and their inter-connectedness, as well as the physical and biological forces shaping and maintaining these ecosystems. The course will involve a significant amount of time in the field to expose students to the different island habitats and explore the ecosystem services provided by island habitats to local peoples and beyond. Students will interact directly with local people"
ESPM 109B,1,"This course is based at the Atitia Community Center adjacent to the Gump Station and on Tetiaroa. Students will learn about the history of the peopling of Oceania, and the waves of exploration and interaction that have shaped the Pacific. Students will be immersed into the way in which the first peoples of these islands understand and interact with their island homes, from a traditional to modern perspective, and with insights on human-environment interactions."
ESPM 109C,1,"An overview of the major issues facing biodiversity globally today including habitat destruction, pollution, invasive species and disease, and examine how these issues are affecting island nations with a focus on French Polynesia. This course will make extensive use of the Biocode Project database to examine biodiversity on Moorea, and discuss genetic resilience and conservation technologies. We will then explore local attitudes and perspectives about these issues"
ESPM 109D,1,"Students will be given an overview of the state of the field, as well as an understanding of current theory and practice; including western approaches and indigenous environmental management of terrestrial and marine resources. Rahui, a traditional Polynesian marine conservation practice will be examined through interaction with local communities that use it. Students will also learn about EU, Pacific-wide and international funding and conservation management"
