name,size,about
SOCIOL 1,1,"Introduces students who are considering majoring in sociolog
y to the basic topics, concepts, and principles of the study
 of society. This course is required for the major; 1 or any
 version of 3 is prerequisite for other sociology classes; s
tudents not considering a sociology major are directed to an
y version of 3 or 3AC."
SOCIOL N1H,1,"This course surveys the major theories, concepts, and substa
ntive areas of sociology in ways that are specifically desig
ned for undergraduate students pursuing careers in health an
d medicine as well as students who intend to major in sociol
ogy. In this course, the readings, lectures, and assignments
 have been chosen with the needs of pre­-health students in 
mind, consisting of units on social relationships"
SOCIOL R1B,1,"This course aims to; assist you in developing a clear, persu
asive and personal prose style in English, to refine and bui
ld upon the close reading techniques you practiced in R1A an
d to equip you with the skills necessary for writing a resea
rch paper_a standard requirement of many upper-division (100
-level) courses. Since our readings mostly cover social scie
nce, this course also introduces concepts useful for reading
 texts"
SOCIOL 3AC,1,"Comparing the experience of three out of five ethnic groups 
(e.g. African Americans, Asian Americans, Chicano/Latino, Eu
ropean Americans, and Native Americans) we shall examine his
torically how each people entered American society and built
 communities and transformed their cultures in the process. 
Students will be introduced to the sociological perspective,
 characteristic methods of research, and such key concepts a
s culture, community, class"
SOCIOL 5,1,"A review of methodological problems in assessing data relati
ng to social life. Topics to be covered include: posing a so
ciological problem, gaining access to data, measuring, estab
lishing correlation and causal connection among data, and re
lating data to theoretical context."
SOCIOL 7,1,"This course will provide students with a set of skills to un
derstand, evaluate, use, and produce quantitative data about
 the social world. It is intended specifically for social sc
ience majors, and focuses on social science questions. Stude
nts will learn to: produce basic graphs, find good-quality a
nd relevant data on the web, manipulate data in a spreadshee
t, including producing pivot tables, understand and calculat
e basic statistical"
SOCIOL 88,1,"This course explores the role of social research in policyma
king and public decisions and develops skills for the commun
ication of research findings and their implications in writi
ng and through data visualization. Students will develop an 
understanding of various perspectives on the role that data 
and data analysts play in policymaking, learn how to write f
or a public audience about data, results, and implications, 
and learn how to create effective and engaging data"
SOCIOL 98,1,Group studies of selected topics which vary over time.
SOCIOL 98BC,1,"Berkeley Connect is a mentoring program, offered through var
ious academic departments, that helps students build intelle
ctual community. Over the course of a semester, enrolled stu
dents participate in regular small-group discussions facilit
ated by a graduate student mentor (following a faculty-direc
ted curriculum), meet with their graduate student mentor for
 one-on-one academic advising, attend lectures and panel dis
cussions featuring department"
SOCIOL 101,1,"First half of a year-long course on the history of social th
ought as a source of present-day problems and hypotheses."
SOCIOL 102,1,"Second half of a year-long course on the history of social t
hought as a source of present-day problems and hypotheses."
SOCIOL 103,1,"Course involves pursuing study in subfields of sociological 
theory. The course presumes a general background in social t
heory."
SOCIOL 105,1,"Problems of research design, measurement, and data collectio
n, processing, and analysis will be considered. Attention wi
ll be given to both qualitative and quantitative studies."
SOCIOL 106,1,"This course will cover more technical issues in quantitative
 research methods, and will include, according to discretion
 of instructor, a practicum in data collection and/or analys
is. Recommended for students interested in graduate work in 
sociology or research careers."
