source,target,type,weight
SPANISH 4,SPANISH R1B,directed,3
SPANISH 4,SPANISH R1B,directed,3
SPANISH 1,SPANISH 2,directed,3
SPANISH 2,SPANISH 3,directed,3
SPANISH 16,SPANISH N3,directed,3
SPANISH 3,SPANISH 4,directed,3
SPANISH 3,SPANISH N4,directed,3
SPANISH N3,SPANISH 16,directed,3
SPANISH 4,SPANISH 25,directed,3
SPANISH 25,SPANISH 101,directed,3
PORTUG 50,PORTUG 102,directed,3
SPANISH 25,SPANISH 102A,directed,3
SPANISH 25,SPANISH 102C,directed,3
SPANISH 25,SPANISH N102C,directed,3
PORTUG 102,PORTUG 103,directed,3
PORTUG 103,PORTUG 104,directed,3
SPANISH 25,SPANISH 104A,directed,3
SPANISH 25,SPANISH 104B,directed,3
PORTUG 103,PORTUG 107,directed,3
SPANISH 25,SPANISH 107A,directed,3
SPANISH 25,SPANISH 107B,directed,3
SPANISH 25,SPANISH 109,directed,3
SPANISH 25,SPANISH 111A,directed,3
SPANISH 25,SPANISH 111B,directed,3
SPANISH 25,SPANISH 112,directed,3
SPANISH 25,SPANISH 113,directed,3
PORTUG 103,PORTUG 115,directed,3
SPANISH 25,SPANISH 115,directed,3
SPANISH 4,SPANISH 122,directed,3
PORTUG 103,PORTUG 128,directed,3
SPANISH 25,SPANISH 131,directed,3
PORTUG 102,PORTUG 135,directed,3
SPANISH 25,SPANISH 135,directed,3
SPANISH 25,SPANISH 142,directed,3
SPANISH 100,SPANISH 161,directed,3
SPANISH 100,SPANISH 162,directed,3
SPANISH 100,SPANISH 163,directed,3
SPANISH 100,SPANISH 164,directed,3
SPANISH 100,SPANISH 164,directed,3
SPANISH 100,SPANISH 165,directed,3
SPANISH 100,SPANISH 166,directed,3
SPANISH 100,SPANISH 170,directed,3
SPANISH 163,SPANISH 170,directed,3
SPANISH 163,SPANISH 170,directed,3
SPANISH 100,SPANISH 179,directed,3
SPANISH 25,SPANISH H195,directed,3
SPANISH 25,SPANISH 199,directed,3
