name,size,about
SPANISH 1,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall
 2019"
SPANISH 1M,1,Terms offered: Summer 2018 8 Week Session
SPANISH R1A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
SPANISH R1B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
SPANISH 2,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall
 2019"
SPANISH 3,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall
 2019"
SPANISH N3,1,"Terms offered: Summer 2020 8 Week Session, Summer 2019 8 Wee
k Session, Summer 2018 8 Week Session"
SPANISH 4,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall
 2019"
SPANISH N4,1,"Terms offered: Summer 2020 8 Week Session, Summer 2019 8 Wee
k Session, Summer 2018 8 Week Session"
SPANISH 15,1,"Terms offered: Summer 2016 10 Week Session, Summer 2016 8 We
ek Session, Summer 2015 8 Week Session"
SPANISH 16,1,"Terms offered: Summer 2020 8 Week Session, Summer 2019 8 Wee
k Session, Summer 2018 8 Week Session"
SPANISH 21,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
SPANISH 22,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
PORTUG 24,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
SPANISH 24,1,"Terms offered: Spring 2020, Fall 2017, Spring 2017"
SPANISH 25,1,"Terms offered: Summer 2020 Second 6 Week Session, Spring 202
0, Fall 2019"
PORTUG 27,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
PORTUG 50,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
SPANISH 98,1,"Terms offered: Spring 2018, Spring 2016, Fall 2015"
SPANISH 100,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
SPANISH 101,1,Terms offered: Prior to 2007
PORTUG 102,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
SPANISH 102A,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
SPANISH 102C,1,"Terms offered: Spring 2020, Spring 2019, Fall 2018"
SPANISH N102C,1,"Terms offered: Summer 2020 8 Week Session, Summer 2019 8 Wee
k Session, Summer 2018 8 Week Session"
PORTUG 103,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
PORTUG 104,1,"Terms offered: Spring 2019, Spring 2018, Spring 2017"
SPANISH 104A,1,"Terms offered: Fall 2019, Spring 2019, Fall 2017"
SPANISH 104B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
PORTUG 107,1,Terms offered: Spring 2020
SPANISH 107A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
SPANISH 107B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
SPANISH 109,1,"Terms offered: Spring 2017, Spring 2014, Spring 2011"
