name,size,about
STAT 0PX,1,"This course assists entering Freshman students with basic st
atistical concepts and problem solving. Designed for student
s who do not meet the prerequisites for 2. Offered through t
he Student Learning Center."
STAT 2,1,"Population and variables. Standard measures of location, spr
ead and association. Normal approximation. Regression. Proba
bility and sampling. Binomial distribution. Interval estimat
ion. Some standard significance tests."
STAT C8,1,"Foundations of data science from three perspectives: inferen
tial thinking, computational thinking, and real-world releva
nce. Given data arising from some real-world phenomenon, how
 does one analyze that data so as to understand that phenome
non? The course teaches critical concepts and skills in comp
uter programming and statistical inference, in conjunction w
ith hands-on analysis"
STAT C8R,1,"An introduction to computational thinking and quantitative r
easoning, preparing students for further coursework, especia
lly Foundations of Data Science (CS/Info/Stat C8). Emphasize
s the use of computation to gain insight about quantitative 
problems with real data. Expressions, data types, collection
s, and tables in Python. Programming practices, abstraction,
 and iteration. Visualizing univariate and bivariate data wi
th bar charts, histograms, plots, and maps. Introduction"
STAT 20,1,"For students with mathematical background who wish to acquir
e basic concepts. Relative frequencies, discrete probability
, random variables, expectation. Testing hypotheses. Estimat
ion. Illustrations from various fields."
STAT 21,1,"Descriptive statistics, probability models and related conce
pts, sample surveys, estimates, confidence intervals, tests 
of significance, controlled experiments vs. observational st
udies, correlation and regression."
STAT W21,1,"Reasoning and fallacies, descriptive statistics, probability
 models and related concepts, combinatorics, sample surveys,
 estimates, confidence intervals, tests of significance, con
trolled experiments vs. observational studies, correlation a
nd regression."
STAT 24,1,"The Berkeley Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small-seminar setting. Berke
ley seminars are offered in all campus departments, and topi
cs vary from department to department and semester to semest
er. Enrollment limited to 15 freshmen."
STAT 33A,1,"An introduction to the R statistical software for students w
ith minimal prior experience with programming. This course p
repares students for data analysis with R. The focus is on t
he computational model that underlies the R language with th
e goal of providing a foundation for coding. Topics include 
data types and structures, such as vectors, data frames and 
lists; the REPL evaluation model; function calls, argument m
atching, and environments; writing simple"
STAT 33B,1,"The course is designed primarily for those who are already f
amiliar with programming in another language, such as python
, and want to understand how R works, and for those who alre
ady know the basics of R programming and want to gain a more
 in-depth understanding of the language in order to improve 
their coding. The focus is on the underlying paradigms in R,
 such as functional programming, atomic vectors, complex dat
a structures, environments, and object"
STAT 39D,1,"Freshman and sophomore seminars offer lower division student
s the opportunity to explore an intellectual topic with a fa
culty member and a group of peers in a small-seminar setting
. These seminars are offered in all campus departments; topi
cs vary from department to department and from semester to s
emester."
STAT C79,1,"Defining, perceiving, quantifying and measuring risk; identi
fying risks and estimating their importance; determining whe
ther laws and regulations can protect us from these risks; e
xamining how well existing laws work and how they could be i
mproved; evaluting costs and benefits. Applications may vary
 by term. This course cannot be used to complete engineering
 unit or technical elective requirements for students in the
 College of Engineering."
STAT 88,1,"In this connector course we will state precisely and prove r
esults discovered while exploring data in Data 8. Topics inc
lude: probability, conditioning, and independence; random va
riables; distributions and joint distributions; expectation,
 variance, tail bounds; Central Limit Theorem; symmetries in
 random permutations; prior and posterior distributions; pro
babilistic models; bias-variance tradeoff; testing hypothese
s; correlation and the regression"
STAT 89A,1,"An introduction to linear algebra for data science. The cour
se will cover introductory topics in linear algebra, startin
g with the basics; discrete probability and how prob- abilit
y can be used to understand high-dimensional vector spaces; 
matrices and graphs as popular mathematical structures with 
which to model data (e.g., as models for term-document corpo
ra, high-dimensional regression problems, ranking/classifica
tion of web data, adjacency"
STAT 94,1,Topics will vary semester to semester.
STAT 97,1,"Supervised experience relevant to specific aspects of statis
tics in off-campus settings. Individual and/or group meeting
s with faculty."
STAT 98,1,"Must be taken at the same time as either Statistics 2 or 21.
 This course assists lower division statistics students with
 structured problem solving, interpretation and making concl
usions."
STAT C100,1,"In this course, students will explore the data science lifec
ycle, including question formulation, data collection and cl
eaning, exploratory data analysis and visualization, statist
ical inference and prediction​, and decision-making.​ This c
lass will focus on quantitative critical thinking​ and key p
rinciples and techniques needed to carry out this cycle. The
se include languages for transforming, querying and analyzin
g"
STAT 102,1,"This course develops the probabilistic foundations of infere
nce in data science, and builds a comprehensive view of the 
modeling and decision-making life cycle in data science incl
uding its human, social, and ethical implications. Topics in
clude: frequentist and Bayesian decision-making, permutation
 testing, false discovery rate, probabilistic interpretation
s of models, Bayesian hierarchical models, basics of experim
ental design, confidence"
STAT 131A,1,"This course teaches a broad range of statistical methods tha
t are used to solve data problems. Topics include group comp
arisons and ANOVA, standard parametric statistical models, m
ultivariate data visualization, multiple linear regression, 
logistic regression and classification, regression trees and
 random forests. An important focus of the course is on stat
istical computing and reproducible statistical analysis. The
 course and lab include"
