source,target,type,weight
AMERSTD 101,AMERSTD H195,directed,3
AMERSTD 101,AMERSTD H195,directed,3
AMERSTD 101,AMERSTD H195,directed,3
AMERSTD 101,AMERSTD H195,directed,3
AMERSTD 101,AMERSTD H195,directed,3
AMERSTD 101,AMERSTD H195,directed,3
AMERSTD 101,AMERSTD H195,directed,3
AMERSTD 101,AMERSTD H195,directed,3
AMERSTD 101,AMERSTD H195,directed,3
AMERSTD 101,AMERSTD H195,directed,3
AMERSTD 5,AMERSTD 5,directed,3
AMERSTD 10,AMERSTD 10,directed,3
AMERSTD 10AC,AMERSTD 10AC,directed,3
AMERSTD C10,AMERSTD C10,directed,3
AMERSTD 24,AMERSTD 24,directed,3
AMERSTD 98,AMERSTD 98,directed,3
AMERSTD 99,AMERSTD 99,directed,3
AMERSTD 101AC,AMERSTD 101AC,directed,3
AMERSTD 102,AMERSTD 102,directed,3
AMERSTD 102AC,AMERSTD 102AC,directed,3
AMERSTD 110,AMERSTD 110,directed,3
AMERSTD 110AC,AMERSTD 110AC,directed,3
AMERSTD H110,AMERSTD H110,directed,3
AMERSTD C111A,AMERSTD C111A,directed,3
AMERSTD C111E,AMERSTD C111E,directed,3
AMERSTD C112A,AMERSTD C112A,directed,3
AMERSTD C112B,AMERSTD C112B,directed,3
AMERSTD C112F,AMERSTD C112F,directed,3
AMERSTD C115,AMERSTD C115,directed,3
AMERSTD 121,AMERSTD 121,directed,3
AMERSTD 132Y,AMERSTD 132Y,directed,3
AMERSTD C132B,AMERSTD C132B,directed,3
AMERSTD C134,AMERSTD C134,directed,3
AMERSTD 138AC,AMERSTD 138AC,directed,3
AMERSTD 139AC,AMERSTD 139AC,directed,3
AMERSTD 142Y,AMERSTD 142Y,directed,3
AMERSTD C152,AMERSTD C152,directed,3
AMERSTD 170AC,AMERSTD 170AC,directed,3
AMERSTD C171,AMERSTD C171,directed,3
AMERSTD C172,AMERSTD C172,directed,3
AMERSTD C174,AMERSTD C174,directed,3
AMERSTD 178AC,AMERSTD 178AC,directed,3
AMERSTD 179AC,AMERSTD 179AC,directed,3
AMERSTD 189,AMERSTD 189,directed,3
AMERSTD 190,AMERSTD 190,directed,3
AMERSTD 191,AMERSTD 191,directed,3
AMERSTD 198,AMERSTD 198,directed,3
AMERSTD 199,AMERSTD 199,directed,3
AMERSTD 5,AMERSTD 5,directed,3
AMERSTD 10,AMERSTD 10,directed,3
AMERSTD 10AC,AMERSTD 10AC,directed,3
AMERSTD C10,AMERSTD C10,directed,3
