source,target,type,weight
MATH 24,MATH 24,directed,3
MATH 32,MATH 32,directed,3
MATH N32,MATH N32,directed,3
MATH 39A,MATH 39A,directed,3
MATH 49,MATH 49,directed,3
MATH 24,MATH 24,directed,3
MATH 32,MATH 32,directed,3
MATH N32,MATH N32,directed,3
MATH 39A,MATH 39A,directed,3
MATH 49,MATH 49,directed,3
MATH N55,MATH N55,directed,3
MATH 91,MATH 91,directed,3
MATH 96,MATH 96,directed,3
MATH 98BC,MATH 98BC,directed,3
MATH 99,MATH 99,directed,3
MATH 127,MATH 127,directed,3
MATH 151,MATH 151,directed,3
MATH 189,MATH 189,directed,3
MATH 191,MATH 191,directed,3
MATH 195,MATH 195,directed,3
MATH 196,MATH 196,directed,3
MATH 197,MATH 197,directed,3
MATH 198,MATH 198,directed,3
MATH 198BC,MATH 198BC,directed,3
MATH 199,MATH 199,directed,3
MATH 24,MATH 24,directed,3
MATH 32,MATH 32,directed,3
MATH N32,MATH N32,directed,3
MATH 39A,MATH 39A,directed,3
MATH 49,MATH 49,directed,3
MATH N55,MATH N55,directed,3
MATH 91,MATH 91,directed,3
MATH 96,MATH 96,directed,3
MATH 98BC,MATH 98BC,directed,3
MATH 99,MATH 99,directed,3
MATH 127,MATH 127,directed,3
MATH 151,MATH 151,directed,3
MATH 189,MATH 189,directed,3
MATH 191,MATH 191,directed,3
MATH 195,MATH 195,directed,3
MATH 196,MATH 196,directed,3
MATH 197,MATH 197,directed,3
MATH 198,MATH 198,directed,3
MATH 198BC,MATH 198BC,directed,3
MATH 199,MATH 199,directed,3
MATH 24,MATH 24,directed,3
MATH 32,MATH 32,directed,3
MATH N32,MATH N32,directed,3
MATH 39A,MATH 39A,directed,3
MATH 49,MATH 49,directed,3
MATH N55,MATH N55,directed,3
MATH 91,MATH 91,directed,3
MATH 96,MATH 96,directed,3
MATH 98BC,MATH 98BC,directed,3
MATH 99,MATH 99,directed,3
MATH 127,MATH 127,directed,3
MATH 151,MATH 151,directed,3
MATH 189,MATH 189,directed,3
MATH 191,MATH 191,directed,3
MATH 195,MATH 195,directed,3
MATH 196,MATH 196,directed,3
MATH 197,MATH 197,directed,3
MATH 198,MATH 198,directed,3
MATH 198BC,MATH 198BC,directed,3
MATH 199,MATH 199,directed,3
MATH 24,MATH 24,directed,3
MATH 32,MATH 32,directed,3
MATH N32,MATH N32,directed,3
MATH 39A,MATH 39A,directed,3
MATH 49,MATH 49,directed,3
MATH N55,MATH N55,directed,3
MATH 91,MATH 91,directed,3
MATH 96,MATH 96,directed,3
MATH 98BC,MATH 98BC,directed,3
MATH 99,MATH 99,directed,3
MATH 127,MATH 127,directed,3
MATH 151,MATH 151,directed,3
MATH 189,MATH 189,directed,3
MATH 191,MATH 191,directed,3
MATH 195,MATH 195,directed,3
MATH 196,MATH 196,directed,3
MATH 197,MATH 197,directed,3
MATH 198,MATH 198,directed,3
MATH 198BC,MATH 198BC,directed,3
MATH 199,MATH 199,directed,3
MATH 24,MATH 24,directed,3
MATH 32,MATH 32,directed,3
MATH N32,MATH N32,directed,3
MATH 39A,MATH 39A,directed,3
MATH 49,MATH 49,directed,3
MATH N55,MATH N55,directed,3
MATH 91,MATH 91,directed,3
MATH 96,MATH 96,directed,3
MATH 98BC,MATH 98BC,directed,3
MATH 99,MATH 99,directed,3
MATH 127,MATH 127,directed,3
MATH 151,MATH 151,directed,3
MATH 189,MATH 189,directed,3
MATH 191,MATH 191,directed,3
MATH 195,MATH 195,directed,3
MATH 196,MATH 196,directed,3
MATH 197,MATH 197,directed,3
MATH 198,MATH 198,directed,3
MATH 198BC,MATH 198BC,directed,3
MATH 199,MATH 199,directed,3
MATH 24,MATH 24,directed,3
MATH 32,MATH 32,directed,3
MATH N32,MATH N32,directed,3
MATH 39A,MATH 39A,directed,3
MATH 49,MATH 49,directed,3
MATH N55,MATH N55,directed,3
MATH 91,MATH 91,directed,3
MATH 96,MATH 96,directed,3
MATH 98BC,MATH 98BC,directed,3
MATH 99,MATH 99,directed,3
MATH 127,MATH 127,directed,3
MATH 151,MATH 151,directed,3
MATH 189,MATH 189,directed,3
MATH 191,MATH 191,directed,3
MATH 195,MATH 195,directed,3
MATH 196,MATH 196,directed,3
MATH 197,MATH 197,directed,3
MATH 198,MATH 198,directed,3
MATH 198BC,MATH 198BC,directed,3
MATH 199,MATH 199,directed,3
MATH 24,MATH 24,directed,3
MATH 32,MATH 32,directed,3
MATH N32,MATH N32,directed,3
MATH 39A,MATH 39A,directed,3
MATH 49,MATH 49,directed,3
MATH N55,MATH N55,directed,3
MATH 91,MATH 91,directed,3
MATH 96,MATH 96,directed,3
MATH 98BC,MATH 98BC,directed,3
MATH 99,MATH 99,directed,3
MATH 127,MATH 127,directed,3
MATH 151,MATH 151,directed,3
MATH 189,MATH 189,directed,3
MATH 191,MATH 191,directed,3
MATH 195,MATH 195,directed,3
MATH 196,MATH 196,directed,3
MATH 197,MATH 197,directed,3
MATH 198,MATH 198,directed,3
MATH 198BC,MATH 198BC,directed,3
MATH 199,MATH 199,directed,3
