source,target,type,weight
HISTART R1B,HISTART R1B,directed,3
HISTART 10,HISTART 10,directed,3
HISTART 10B,HISTART 10B,directed,3
HISTART N10,HISTART N10,directed,3
HISTART 11,HISTART 11,directed,3
HISTART C11,HISTART C11,directed,3
HISTART N11,HISTART N11,directed,3
HISTART 12,HISTART 12,directed,3
HISTART 14,HISTART 14,directed,3
HISTART 15A,HISTART 15A,directed,3
HISTART 21,HISTART 21,directed,3
HISTART 24,HISTART 24,directed,3
HISTART 27,HISTART 27,directed,3
HISTART 30,HISTART 30,directed,3
HISTART N31,HISTART N31,directed,3
HISTART 32,HISTART 32,directed,3
HISTART 33,HISTART 33,directed,3
HISTART 34,HISTART 34,directed,3
HISTART 35,HISTART 35,directed,3
HISTART 36,HISTART 36,directed,3
HISTART 37,HISTART 37,directed,3
HISTART 38,HISTART 38,directed,3
HISTART 39,HISTART 39,directed,3
HISTART 39A,HISTART 39A,directed,3
HISTART 39B,HISTART 39B,directed,3
HISTART 39C,HISTART 39C,directed,3
HISTART 39D,HISTART 39D,directed,3
HISTART 39E,HISTART 39E,directed,3
HISTART 39F,HISTART 39F,directed,3
HISTART 39G,HISTART 39G,directed,3
HISTART 39H,HISTART 39H,directed,3
HISTART 39I,HISTART 39I,directed,3
HISTART 39J,HISTART 39J,directed,3
HISTART 39K,HISTART 39K,directed,3
HISTART 39L,HISTART 39L,directed,3
HISTART 39M,HISTART 39M,directed,3
HISTART 39N,HISTART 39N,directed,3
HISTART 39O,HISTART 39O,directed,3
HISTART 39P,HISTART 39P,directed,3
HISTART 39Q,HISTART 39Q,directed,3
HISTART 39R,HISTART 39R,directed,3
HISTART 39S,HISTART 39S,directed,3
HISTART 39T,HISTART 39T,directed,3
HISTART 39U,HISTART 39U,directed,3
HISTART 39V,HISTART 39V,directed,3
HISTART 39W,HISTART 39W,directed,3
HISTART 39X,HISTART 39X,directed,3
HISTART 39Y,HISTART 39Y,directed,3
HISTART 39Z,HISTART 39Z,directed,3
HISTART 41,HISTART 41,directed,3
HISTART 51,HISTART 51,directed,3
HISTART 62,HISTART 62,directed,3
HISTART C62,HISTART C62,directed,3
HISTART 65,HISTART 65,directed,3
HISTART 80,HISTART 80,directed,3
HISTART N80,HISTART N80,directed,3
HISTART 87AC,HISTART 87AC,directed,3
HISTART 88,HISTART 88,directed,3
HISTART 91,HISTART 91,directed,3
HISTART 98,HISTART 98,directed,3
HISTART 100,HISTART 100,directed,3
HISTART N100,HISTART N100,directed,3
HISTART 101,HISTART 101,directed,3
HISTART N104,HISTART N104,directed,3
HISTART 105,HISTART 105,directed,3
HISTART 107,HISTART 107,directed,3
HISTART N107,HISTART N107,directed,3
HISTART 108,HISTART 108,directed,3
HISTART 109,HISTART 109,directed,3
HISTART C109,HISTART C109,directed,3
HISTART C110,HISTART C110,directed,3
HISTART 120,HISTART 120,directed,3
HISTART C120A,HISTART C120A,directed,3
HISTART C120B,HISTART C120B,directed,3
HISTART C121A,HISTART C121A,directed,3
HISTART C121B,HISTART C121B,directed,3
HISTART 127,HISTART 127,directed,3
HISTART 130A,HISTART 130A,directed,3
HISTART 131A,HISTART 131A,directed,3
HISTART 131B,HISTART 131B,directed,3
HISTART 131C,HISTART 131C,directed,3
HISTART 132AC,HISTART 132AC,directed,3
HISTART 134A,HISTART 134A,directed,3
HISTART 134B,HISTART 134B,directed,3
HISTART 134C,HISTART 134C,directed,3
HISTART 136A,HISTART 136A,directed,3
HISTART 136B,HISTART 136B,directed,3
HISTART 136C,HISTART 136C,directed,3
HISTART 137,HISTART 137,directed,3
HISTART C140,HISTART C140,directed,3
HISTART 141A,HISTART 141A,directed,3
HISTART 141B,HISTART 141B,directed,3
HISTART 141C,HISTART 141C,directed,3
HISTART N142,HISTART N142,directed,3
HISTART 145,HISTART 145,directed,3
HISTART 145A,HISTART 145A,directed,3
HISTART 145B,HISTART 145B,directed,3
HISTART C145A,HISTART C145A,directed,3
HISTART 151,HISTART 151,directed,3
HISTART 155A,HISTART 155A,directed,3
HISTART 156A,HISTART 156A,directed,3
HISTART C156B,HISTART C156B,directed,3
HISTART C158,HISTART C158,directed,3
HISTART 160,HISTART 160,directed,3
HISTART 161,HISTART 161,directed,3
HISTART 162,HISTART 162,directed,3
HISTART 166,HISTART 166,directed,3
HISTART 169A,HISTART 169A,directed,3
HISTART 170,HISTART 170,directed,3
HISTART 171,HISTART 171,directed,3
HISTART 172,HISTART 172,directed,3
HISTART 173,HISTART 173,directed,3
HISTART 174,HISTART 174,directed,3
HISTART 175,HISTART 175,directed,3
HISTART 179,HISTART 179,directed,3
HISTART 180A,HISTART 180A,directed,3
HISTART 180C,HISTART 180C,directed,3
HISTART N180A,HISTART N180A,directed,3
HISTART N180B,HISTART N180B,directed,3
HISTART N180C,HISTART N180C,directed,3
HISTART N181,HISTART N181,directed,3
HISTART 182,HISTART 182,directed,3
HISTART N182,HISTART N182,directed,3
HISTART 183,HISTART 183,directed,3
HISTART 183E,HISTART 183E,directed,3
HISTART 185,HISTART 185,directed,3
HISTART 185A,HISTART 185A,directed,3
HISTART 185B,HISTART 185B,directed,3
HISTART 185D,HISTART 185D,directed,3
HISTART N185C,HISTART N185C,directed,3
HISTART 186A,HISTART 186A,directed,3
HISTART 186C,HISTART 186C,directed,3
HISTART N186C,HISTART N186C,directed,3
HISTART 187AC,HISTART 187AC,directed,3
HISTART 188,HISTART 188,directed,3
HISTART 188A,HISTART 188A,directed,3
HISTART 188C,HISTART 188C,directed,3
HISTART 189,HISTART 189,directed,3
HISTART C189,HISTART C189,directed,3
HISTART 190A,HISTART 190A,directed,3
HISTART 190B,HISTART 190B,directed,3
HISTART 190C,HISTART 190C,directed,3
HISTART 190D,HISTART 190D,directed,3
HISTART 190DH,HISTART 190DH,directed,3
HISTART 190E,HISTART 190E,directed,3
HISTART 190F,HISTART 190F,directed,3
HISTART 190G,HISTART 190G,directed,3
HISTART 190H,HISTART 190H,directed,3
HISTART 190M,HISTART 190M,directed,3
HISTART 190T,HISTART 190T,directed,3
HISTART N190A,HISTART N190A,directed,3
HISTART N190B,HISTART N190B,directed,3
HISTART N190C,HISTART N190C,directed,3
HISTART N190D,HISTART N190D,directed,3
HISTART N190E,HISTART N190E,directed,3
HISTART N190F,HISTART N190F,directed,3
HISTART N190G,HISTART N190G,directed,3
