source,target,type,weight
ART 8,ART 116,directed,3
ART 117,ART 116,directed,3
ART 8,ART 142,directed,3
ART 8,ART 162,directed,3
ART 23AC,ART 178,directed,3
ART 8,ART 116,directed,3
ART 117,ART 116,directed,3
ART 8,ART 142,directed,3
ART 8,ART 162,directed,3
ART 23AC,ART 178,directed,3
ART 8,ART 116,directed,3
ART 117,ART 116,directed,3
ART 8,ART 142,directed,3
ART 8,ART 162,directed,3
ART 23AC,ART 178,directed,3
ART 8,ART 116,directed,3
ART 117,ART 116,directed,3
ART 8,ART 142,directed,3
ART 8,ART 162,directed,3
ART 23AC,ART 178,directed,3
ART 8,ART 116,directed,3
ART 117,ART 116,directed,3
ART 8,ART 142,directed,3
ART 8,ART 162,directed,3
ART 23AC,ART 178,directed,3
ART 8,ART 116,directed,3
ART 117,ART 116,directed,3
ART 8,ART 142,directed,3
ART 8,ART 162,directed,3
ART 23AC,ART 178,directed,3
