source,target,type,weight
ASIANST 10,ASIANST 10,directed,3
ASIANST 98,ASIANST 98,directed,3
ASIANST 150,ASIANST 150,directed,3
ASIANST H195A,ASIANST H195A,directed,3
ASIANST H195B,ASIANST H195B,directed,3
ASIANST 197,ASIANST 197,directed,3
ASIANST 198,ASIANST 198,directed,3
ASIANST 199,ASIANST 199,directed,3
ASIANST 10,ASIANST 10,directed,3
ASIANST 98,ASIANST 98,directed,3
ASIANST 150,ASIANST 150,directed,3
ASIANST H195A,ASIANST H195A,directed,3
ASIANST H195B,ASIANST H195B,directed,3
ASIANST 197,ASIANST 197,directed,3
ASIANST 198,ASIANST 198,directed,3
ASIANST 199,ASIANST 199,directed,3
ASIANST 10,ASIANST 10,directed,3
ASIANST 98,ASIANST 98,directed,3
ASIANST 150,ASIANST 150,directed,3
ASIANST H195A,ASIANST H195A,directed,3
ASIANST H195B,ASIANST H195B,directed,3
ASIANST 197,ASIANST 197,directed,3
ASIANST 198,ASIANST 198,directed,3
ASIANST 199,ASIANST 199,directed,3
ASIANST 10,ASIANST 10,directed,3
ASIANST 98,ASIANST 98,directed,3
ASIANST 150,ASIANST 150,directed,3
ASIANST H195A,ASIANST H195A,directed,3
ASIANST H195B,ASIANST H195B,directed,3
ASIANST 197,ASIANST 197,directed,3
ASIANST 198,ASIANST 198,directed,3
ASIANST 199,ASIANST 199,directed,3
ASIANST 10,ASIANST 10,directed,3
ASIANST 98,ASIANST 98,directed,3
ASIANST 150,ASIANST 150,directed,3
ASIANST H195A,ASIANST H195A,directed,3
ASIANST H195B,ASIANST H195B,directed,3
ASIANST 197,ASIANST 197,directed,3
ASIANST 198,ASIANST 198,directed,3
ASIANST 199,ASIANST 199,directed,3
ASIANST 10,ASIANST 10,directed,3
ASIANST 98,ASIANST 98,directed,3
ASIANST 150,ASIANST 150,directed,3
ASIANST H195A,ASIANST H195A,directed,3
ASIANST H195B,ASIANST H195B,directed,3
ASIANST 197,ASIANST 197,directed,3
ASIANST 198,ASIANST 198,directed,3
ASIANST 199,ASIANST 199,directed,3
