source,target,type,weight
ASTRON 3,ASTRON 3,directed,3
ASTRON 7B,ASTRON 7B,directed,3
ASTRON 9,ASTRON 9,directed,3
ASTRON C10,ASTRON C10,directed,3
ASTRON N10,ASTRON N10,directed,3
ASTRON C12,ASTRON C12,directed,3
ASTRON W12,ASTRON W12,directed,3
ASTRON C13,ASTRON C13,directed,3
ASTRON 24,ASTRON 24,directed,3
ASTRON 39,ASTRON 39,directed,3
ASTRON 84,ASTRON 84,directed,3
ASTRON 98,ASTRON 98,directed,3
ASTRON 120,ASTRON 120,directed,3
ASTRON 121,ASTRON 121,directed,3
ASTRON 160,ASTRON 160,directed,3
ASTRON C161,ASTRON C161,directed,3
ASTRON C162,ASTRON C162,directed,3
ASTRON H195,ASTRON H195,directed,3
ASTRON 198,ASTRON 198,directed,3
ASTRON 199,ASTRON 199,directed,3
ASTRON 3,ASTRON 3,directed,3
ASTRON 7B,ASTRON 7B,directed,3
ASTRON 9,ASTRON 9,directed,3
ASTRON C10,ASTRON C10,directed,3
ASTRON N10,ASTRON N10,directed,3
ASTRON C12,ASTRON C12,directed,3
ASTRON W12,ASTRON W12,directed,3
ASTRON C13,ASTRON C13,directed,3
ASTRON 24,ASTRON 24,directed,3
ASTRON 39,ASTRON 39,directed,3
ASTRON 84,ASTRON 84,directed,3
ASTRON 98,ASTRON 98,directed,3
ASTRON 120,ASTRON 120,directed,3
ASTRON 121,ASTRON 121,directed,3
ASTRON 160,ASTRON 160,directed,3
ASTRON C161,ASTRON C161,directed,3
ASTRON C162,ASTRON C162,directed,3
ASTRON H195,ASTRON H195,directed,3
ASTRON 198,ASTRON 198,directed,3
ASTRON 199,ASTRON 199,directed,3
ASTRON 3,ASTRON 3,directed,3
ASTRON 7B,ASTRON 7B,directed,3
ASTRON 9,ASTRON 9,directed,3
ASTRON C10,ASTRON C10,directed,3
ASTRON N10,ASTRON N10,directed,3
ASTRON C12,ASTRON C12,directed,3
ASTRON W12,ASTRON W12,directed,3
ASTRON C13,ASTRON C13,directed,3
ASTRON 24,ASTRON 24,directed,3
ASTRON 39,ASTRON 39,directed,3
ASTRON 84,ASTRON 84,directed,3
ASTRON 98,ASTRON 98,directed,3
ASTRON 120,ASTRON 120,directed,3
ASTRON 121,ASTRON 121,directed,3
ASTRON 160,ASTRON 160,directed,3
ASTRON C161,ASTRON C161,directed,3
ASTRON C162,ASTRON C162,directed,3
ASTRON H195,ASTRON H195,directed,3
ASTRON 198,ASTRON 198,directed,3
ASTRON 199,ASTRON 199,directed,3
ASTRON 3,ASTRON 3,directed,3
ASTRON 7B,ASTRON 7B,directed,3
ASTRON 9,ASTRON 9,directed,3
ASTRON C10,ASTRON C10,directed,3
ASTRON N10,ASTRON N10,directed,3
ASTRON C12,ASTRON C12,directed,3
ASTRON W12,ASTRON W12,directed,3
ASTRON C13,ASTRON C13,directed,3
ASTRON 24,ASTRON 24,directed,3
ASTRON 39,ASTRON 39,directed,3
ASTRON 84,ASTRON 84,directed,3
ASTRON 98,ASTRON 98,directed,3
ASTRON 120,ASTRON 120,directed,3
ASTRON 121,ASTRON 121,directed,3
ASTRON 160,ASTRON 160,directed,3
ASTRON C161,ASTRON C161,directed,3
ASTRON C162,ASTRON C162,directed,3
ASTRON H195,ASTRON H195,directed,3
ASTRON 198,ASTRON 198,directed,3
ASTRON 199,ASTRON 199,directed,3
ASTRON 3,ASTRON 3,directed,3
ASTRON 7B,ASTRON 7B,directed,3
ASTRON 9,ASTRON 9,directed,3
ASTRON C10,ASTRON C10,directed,3
ASTRON N10,ASTRON N10,directed,3
ASTRON C12,ASTRON C12,directed,3
ASTRON W12,ASTRON W12,directed,3
ASTRON C13,ASTRON C13,directed,3
ASTRON 24,ASTRON 24,directed,3
ASTRON 39,ASTRON 39,directed,3
ASTRON 84,ASTRON 84,directed,3
ASTRON 98,ASTRON 98,directed,3
ASTRON 120,ASTRON 120,directed,3
ASTRON 121,ASTRON 121,directed,3
ASTRON 160,ASTRON 160,directed,3
ASTRON C161,ASTRON C161,directed,3
ASTRON C162,ASTRON C162,directed,3
ASTRON H195,ASTRON H195,directed,3
ASTRON 198,ASTRON 198,directed,3
ASTRON 199,ASTRON 199,directed,3
ASTRON 3,ASTRON 3,directed,3
ASTRON 7B,ASTRON 7B,directed,3
ASTRON 9,ASTRON 9,directed,3
ASTRON C10,ASTRON C10,directed,3
ASTRON N10,ASTRON N10,directed,3
ASTRON C12,ASTRON C12,directed,3
ASTRON W12,ASTRON W12,directed,3
ASTRON C13,ASTRON C13,directed,3
ASTRON 24,ASTRON 24,directed,3
ASTRON 39,ASTRON 39,directed,3
ASTRON 84,ASTRON 84,directed,3
ASTRON 98,ASTRON 98,directed,3
ASTRON 120,ASTRON 120,directed,3
ASTRON 121,ASTRON 121,directed,3
ASTRON 160,ASTRON 160,directed,3
ASTRON C161,ASTRON C161,directed,3
ASTRON C162,ASTRON C162,directed,3
ASTRON H195,ASTRON H195,directed,3
ASTRON 198,ASTRON 198,directed,3
ASTRON 199,ASTRON 199,directed,3
