source,target,type,weight
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
