source,target,type,weight
EPS 100A,EPS 100B,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS C82,EPS 103,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS 100A,EPS 100B,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS C82,EPS 103,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS 100A,EPS 100B,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS C82,EPS 103,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS 100A,EPS 100B,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS C82,EPS 103,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS 100A,EPS 100B,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS C82,EPS 103,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS 100A,EPS 100B,directed,3
EPS 50,EPS 101,directed,3
EPS 50,EPS 102,directed,3
EPS C82,EPS 103,directed,3
EPS 50,EPS 116,directed,3
EPS 119,EPS 118,directed,3
EPS 101,EPS 119,directed,3
EPS 50,EPS C182,directed,3
EPS 102,EPS C182,directed,3
EPS 3,EPS 3,directed,3
EPS 7,EPS 7,directed,3
EPS 10,EPS 10,directed,3
EPS C12,EPS C12,directed,3
EPS W12,EPS W12,directed,3
EPS 20,EPS 20,directed,3
EPS C20,EPS C20,directed,3
EPS 24,EPS 24,directed,3
EPS 39,EPS 39,directed,3
EPS 39A,EPS 39A,directed,3
EPS 80,EPS 80,directed,3
EPS 81,EPS 81,directed,3
EPS N82,EPS N82,directed,3
EPS 84,EPS 84,directed,3
EPS 88,EPS 88,directed,3
EPS 98,EPS 98,directed,3
EPS C100,EPS C100,directed,3
EPS 104,EPS 104,directed,3
EPS 108,EPS 108,directed,3
EPS 109,EPS 109,directed,3
EPS 111,EPS 111,directed,3
EPS 113,EPS 113,directed,3
EPS 115,EPS 115,directed,3
EPS 117,EPS 117,directed,3
EPS 122,EPS 122,directed,3
EPS 124,EPS 124,directed,3
EPS 125,EPS 125,directed,3
EPS C129,EPS C129,directed,3
EPS 130,EPS 130,directed,3
EPS 131,EPS 131,directed,3
EPS C146,EPS C146,directed,3
EPS 150,EPS 150,directed,3
EPS C162,EPS C162,directed,3
EPS C178,EPS C178,directed,3
EPS C180,EPS C180,directed,3
EPS C181,EPS C181,directed,3
EPS C183,EPS C183,directed,3
EPS H195,EPS H195,directed,3
EPS 197,EPS 197,directed,3
EPS 198,EPS 198,directed,3
EPS 199,EPS 199,directed,3
EPS 3,EPS 3,directed,3
EPS 7,EPS 7,directed,3
EPS 10,EPS 10,directed,3
EPS C12,EPS C12,directed,3
EPS W12,EPS W12,directed,3
EPS 20,EPS 20,directed,3
EPS C20,EPS C20,directed,3
EPS 24,EPS 24,directed,3
EPS 39,EPS 39,directed,3
EPS 39A,EPS 39A,directed,3
EPS 80,EPS 80,directed,3
EPS 81,EPS 81,directed,3
EPS N82,EPS N82,directed,3
EPS 84,EPS 84,directed,3
EPS 88,EPS 88,directed,3
EPS 98,EPS 98,directed,3
EPS C100,EPS C100,directed,3
EPS 104,EPS 104,directed,3
EPS 108,EPS 108,directed,3
EPS 109,EPS 109,directed,3
EPS 111,EPS 111,directed,3
EPS 113,EPS 113,directed,3
EPS 115,EPS 115,directed,3
EPS 117,EPS 117,directed,3
EPS 122,EPS 122,directed,3
EPS 124,EPS 124,directed,3
EPS 125,EPS 125,directed,3
EPS C129,EPS C129,directed,3
EPS 130,EPS 130,directed,3
EPS 131,EPS 131,directed,3
EPS C146,EPS C146,directed,3
EPS 150,EPS 150,directed,3
EPS C162,EPS C162,directed,3
EPS C178,EPS C178,directed,3
EPS C180,EPS C180,directed,3
EPS C181,EPS C181,directed,3
EPS C183,EPS C183,directed,3
EPS H195,EPS H195,directed,3
EPS 197,EPS 197,directed,3
EPS 198,EPS 198,directed,3
EPS 199,EPS 199,directed,3
EPS 3,EPS 3,directed,3
EPS 7,EPS 7,directed,3
EPS 10,EPS 10,directed,3
EPS C12,EPS C12,directed,3
EPS W12,EPS W12,directed,3
EPS 20,EPS 20,directed,3
EPS C20,EPS C20,directed,3
EPS 24,EPS 24,directed,3
EPS 39,EPS 39,directed,3
EPS 39A,EPS 39A,directed,3
EPS 80,EPS 80,directed,3
EPS 81,EPS 81,directed,3
EPS N82,EPS N82,directed,3
EPS 84,EPS 84,directed,3
EPS 88,EPS 88,directed,3
EPS 98,EPS 98,directed,3
EPS C100,EPS C100,directed,3
EPS 104,EPS 104,directed,3
EPS 108,EPS 108,directed,3
EPS 109,EPS 109,directed,3
EPS 111,EPS 111,directed,3
EPS 113,EPS 113,directed,3
EPS 115,EPS 115,directed,3
EPS 117,EPS 117,directed,3
EPS 122,EPS 122,directed,3
EPS 124,EPS 124,directed,3
EPS 125,EPS 125,directed,3
EPS C129,EPS C129,directed,3
EPS 130,EPS 130,directed,3
EPS 131,EPS 131,directed,3
