source,target,type,weight
CELTIC 15,CELTIC 105A,directed,3
CELTIC 85,CELTIC 105A,directed,3
CELTIC 15,CELTIC 145A,directed,3
CELTIC 85,CELTIC 145A,directed,3
CELTIC 145A,CELTIC 145B,directed,3
CELTIC 15,CELTIC 105A,directed,3
CELTIC 85,CELTIC 105A,directed,3
CELTIC 15,CELTIC 145A,directed,3
CELTIC 85,CELTIC 145A,directed,3
CELTIC 145A,CELTIC 145B,directed,3
CELTIC 15,CELTIC 105A,directed,3
CELTIC 85,CELTIC 105A,directed,3
CELTIC 15,CELTIC 145A,directed,3
CELTIC 85,CELTIC 145A,directed,3
CELTIC 145A,CELTIC 145B,directed,3
CELTIC 15,CELTIC 105A,directed,3
CELTIC 85,CELTIC 105A,directed,3
CELTIC 15,CELTIC 145A,directed,3
CELTIC 85,CELTIC 145A,directed,3
CELTIC 145A,CELTIC 145B,directed,3
CELTIC 15,CELTIC 105A,directed,3
CELTIC 85,CELTIC 105A,directed,3
CELTIC 15,CELTIC 145A,directed,3
CELTIC 85,CELTIC 145A,directed,3
CELTIC 145A,CELTIC 145B,directed,3
CELTIC 15,CELTIC 105A,directed,3
CELTIC 85,CELTIC 105A,directed,3
CELTIC 15,CELTIC 145A,directed,3
CELTIC 85,CELTIC 145A,directed,3
CELTIC 145A,CELTIC 145B,directed,3
