source,target,type,weight
CELTIC 102A,CELTIC 102B,directed,3
CELTIC 15,CELTIC 105A,directed,3
CELTIC 85,CELTIC 105A,directed,3
CELTIC 16,CELTIC 144A,directed,3
CELTIC 86,CELTIC 144A,directed,3
CELTIC 144A,CELTIC 144B,directed,3
CELTIC 15,CELTIC 145A,directed,3
CELTIC 85,CELTIC 145A,directed,3
CELTIC 145A,CELTIC 145B,directed,3
CELTIC 102A,CELTIC 102B,directed,3
CELTIC 15,CELTIC 105A,directed,3
CELTIC 85,CELTIC 105A,directed,3
CELTIC 16,CELTIC 144A,directed,3
CELTIC 86,CELTIC 144A,directed,3
CELTIC 144A,CELTIC 144B,directed,3
CELTIC 15,CELTIC 145A,directed,3
CELTIC 85,CELTIC 145A,directed,3
CELTIC 145A,CELTIC 145B,directed,3
CELTIC 102A,CELTIC 102B,directed,3
CELTIC 15,CELTIC 105A,directed,3
CELTIC 85,CELTIC 105A,directed,3
CELTIC 16,CELTIC 144A,directed,3
CELTIC 86,CELTIC 144A,directed,3
CELTIC 144A,CELTIC 144B,directed,3
CELTIC 15,CELTIC 145A,directed,3
CELTIC 85,CELTIC 145A,directed,3
CELTIC 145A,CELTIC 145B,directed,3
CELTIC 102A,CELTIC 102B,directed,3
CELTIC 15,CELTIC 105A,directed,3
CELTIC 85,CELTIC 105A,directed,3
CELTIC 16,CELTIC 144A,directed,3
CELTIC 86,CELTIC 144A,directed,3
CELTIC 144A,CELTIC 144B,directed,3
CELTIC 15,CELTIC 145A,directed,3
CELTIC 85,CELTIC 145A,directed,3
CELTIC 145A,CELTIC 145B,directed,3
CELTIC 102A,CELTIC 102B,directed,3
CELTIC 15,CELTIC 105A,directed,3
CELTIC 85,CELTIC 105A,directed,3
CELTIC 16,CELTIC 144A,directed,3
CELTIC 86,CELTIC 144A,directed,3
CELTIC 144A,CELTIC 144B,directed,3
CELTIC 15,CELTIC 145A,directed,3
CELTIC 85,CELTIC 145A,directed,3
CELTIC 145A,CELTIC 145B,directed,3
CELTIC 102A,CELTIC 102B,directed,3
CELTIC 15,CELTIC 105A,directed,3
CELTIC 85,CELTIC 105A,directed,3
CELTIC 16,CELTIC 144A,directed,3
CELTIC 86,CELTIC 144A,directed,3
CELTIC 144A,CELTIC 144B,directed,3
CELTIC 15,CELTIC 145A,directed,3
CELTIC 85,CELTIC 145A,directed,3
CELTIC 145A,CELTIC 145B,directed,3
CELTIC R1A,CELTIC R1A,directed,3
CELTIC R1B,CELTIC R1B,directed,3
CELTIC 70,CELTIC 70,directed,3
CELTIC 98,CELTIC 98,directed,3
CELTIC 99,CELTIC 99,directed,3
CELTIC 119A,CELTIC 119A,directed,3
CELTIC 119B,CELTIC 119B,directed,3
CELTIC 125,CELTIC 125,directed,3
CELTIC 128,CELTIC 128,directed,3
CELTIC 129,CELTIC 129,directed,3
CELTIC 138,CELTIC 138,directed,3
CELTIC 139,CELTIC 139,directed,3
CELTIC 146A,CELTIC 146A,directed,3
CELTIC 146B,CELTIC 146B,directed,3
CELTIC 161,CELTIC 161,directed,3
CELTIC 168,CELTIC 168,directed,3
CELTIC 170,CELTIC 170,directed,3
CELTIC 171,CELTIC 171,directed,3
CELTIC 173,CELTIC 173,directed,3
CELTIC H195A,CELTIC H195A,directed,3
CELTIC H195B,CELTIC H195B,directed,3
CELTIC 198,CELTIC 198,directed,3
CELTIC 199,CELTIC 199,directed,3
CELTIC R1A,CELTIC R1A,directed,3
CELTIC R1B,CELTIC R1B,directed,3
CELTIC 70,CELTIC 70,directed,3
CELTIC 98,CELTIC 98,directed,3
CELTIC 99,CELTIC 99,directed,3
