source,target,type,weight
CHEM 1AD,CHEM 1AD,directed,3
CHEM W1A,CHEM W1A,directed,3
CHEM 3AL,CHEM 3AL,directed,3
CHEM 3BL,CHEM 3BL,directed,3
CHEM N3AL,CHEM N3AL,directed,3
CHEM 4A,CHEM 4A,directed,3
CHEM 24,CHEM 24,directed,3
CHEM 32,CHEM 32,directed,3
CHEM 49,CHEM 49,directed,3
CHEM 96,CHEM 96,directed,3
CHEM 98,CHEM 98,directed,3
CHEM 98W,CHEM 98W,directed,3
CHEM 100,CHEM 100,directed,3
CHEM C110L,CHEM C110L,directed,3
CHEM 115,CHEM 115,directed,3
CHEM 149,CHEM 149,directed,3
CHEM C170L,CHEM C170L,directed,3
CHEM C178,CHEM C178,directed,3
CHEM C191,CHEM C191,directed,3
CHEM 192,CHEM 192,directed,3
CHEM H193,CHEM H193,directed,3
CHEM H194,CHEM H194,directed,3
CHEM 195,CHEM 195,directed,3
CHEM 196,CHEM 196,directed,3
CHEM 197,CHEM 197,directed,3
CHEM 198,CHEM 198,directed,3
CHEM 199,CHEM 199,directed,3
CHEM 1AD,CHEM 1AD,directed,3
CHEM W1A,CHEM W1A,directed,3
CHEM 3AL,CHEM 3AL,directed,3
CHEM 3BL,CHEM 3BL,directed,3
CHEM N3AL,CHEM N3AL,directed,3
CHEM 4A,CHEM 4A,directed,3
CHEM 24,CHEM 24,directed,3
CHEM 32,CHEM 32,directed,3
CHEM 49,CHEM 49,directed,3
CHEM 96,CHEM 96,directed,3
CHEM 98,CHEM 98,directed,3
CHEM 98W,CHEM 98W,directed,3
CHEM 100,CHEM 100,directed,3
CHEM C110L,CHEM C110L,directed,3
CHEM 115,CHEM 115,directed,3
CHEM 149,CHEM 149,directed,3
CHEM C170L,CHEM C170L,directed,3
CHEM C178,CHEM C178,directed,3
CHEM C191,CHEM C191,directed,3
CHEM 192,CHEM 192,directed,3
CHEM H193,CHEM H193,directed,3
CHEM H194,CHEM H194,directed,3
CHEM 195,CHEM 195,directed,3
CHEM 196,CHEM 196,directed,3
CHEM 197,CHEM 197,directed,3
CHEM 198,CHEM 198,directed,3
CHEM 199,CHEM 199,directed,3
CHEM 1AD,CHEM 1AD,directed,3
CHEM W1A,CHEM W1A,directed,3
CHEM 3AL,CHEM 3AL,directed,3
CHEM 3BL,CHEM 3BL,directed,3
CHEM N3AL,CHEM N3AL,directed,3
CHEM 4A,CHEM 4A,directed,3
CHEM 24,CHEM 24,directed,3
CHEM 32,CHEM 32,directed,3
CHEM 49,CHEM 49,directed,3
CHEM 96,CHEM 96,directed,3
CHEM 98,CHEM 98,directed,3
CHEM 98W,CHEM 98W,directed,3
CHEM 100,CHEM 100,directed,3
CHEM C110L,CHEM C110L,directed,3
CHEM 115,CHEM 115,directed,3
CHEM 149,CHEM 149,directed,3
CHEM C170L,CHEM C170L,directed,3
CHEM C178,CHEM C178,directed,3
CHEM C191,CHEM C191,directed,3
CHEM 192,CHEM 192,directed,3
CHEM H193,CHEM H193,directed,3
CHEM H194,CHEM H194,directed,3
CHEM 195,CHEM 195,directed,3
CHEM 196,CHEM 196,directed,3
CHEM 197,CHEM 197,directed,3
CHEM 198,CHEM 198,directed,3
CHEM 199,CHEM 199,directed,3
CHEM 1AD,CHEM 1AD,directed,3
CHEM W1A,CHEM W1A,directed,3
CHEM 3AL,CHEM 3AL,directed,3
CHEM 3BL,CHEM 3BL,directed,3
CHEM N3AL,CHEM N3AL,directed,3
CHEM 4A,CHEM 4A,directed,3
CHEM 24,CHEM 24,directed,3
CHEM 32,CHEM 32,directed,3
CHEM 49,CHEM 49,directed,3
CHEM 96,CHEM 96,directed,3
CHEM 98,CHEM 98,directed,3
CHEM 98W,CHEM 98W,directed,3
CHEM 100,CHEM 100,directed,3
CHEM C110L,CHEM C110L,directed,3
CHEM 115,CHEM 115,directed,3
CHEM 149,CHEM 149,directed,3
CHEM C170L,CHEM C170L,directed,3
CHEM C178,CHEM C178,directed,3
CHEM C191,CHEM C191,directed,3
CHEM 192,CHEM 192,directed,3
CHEM H193,CHEM H193,directed,3
CHEM H194,CHEM H194,directed,3
CHEM 195,CHEM 195,directed,3
CHEM 196,CHEM 196,directed,3
CHEM 197,CHEM 197,directed,3
CHEM 198,CHEM 198,directed,3
CHEM 199,CHEM 199,directed,3
CHEM 1AD,CHEM 1AD,directed,3
CHEM W1A,CHEM W1A,directed,3
CHEM 3AL,CHEM 3AL,directed,3
CHEM 3BL,CHEM 3BL,directed,3
CHEM N3AL,CHEM N3AL,directed,3
CHEM 4A,CHEM 4A,directed,3
CHEM 24,CHEM 24,directed,3
CHEM 32,CHEM 32,directed,3
CHEM 49,CHEM 49,directed,3
CHEM 96,CHEM 96,directed,3
CHEM 98,CHEM 98,directed,3
CHEM 98W,CHEM 98W,directed,3
CHEM 100,CHEM 100,directed,3
CHEM C110L,CHEM C110L,directed,3
CHEM 115,CHEM 115,directed,3
CHEM 149,CHEM 149,directed,3
CHEM C170L,CHEM C170L,directed,3
CHEM C178,CHEM C178,directed,3
CHEM C191,CHEM C191,directed,3
CHEM 192,CHEM 192,directed,3
CHEM H193,CHEM H193,directed,3
CHEM H194,CHEM H194,directed,3
CHEM 195,CHEM 195,directed,3
CHEM 196,CHEM 196,directed,3
CHEM 197,CHEM 197,directed,3
CHEM 198,CHEM 198,directed,3
CHEM 199,CHEM 199,directed,3
