source,target,type,weight
CHICANO 40,CHICANO 141,directed,3
CHICANO 40,CHICANO 142,directed,3
CHICANO 40,CHICANO 143,directed,3
CHICANO 40,CHICANO 141,directed,3
CHICANO 40,CHICANO 142,directed,3
CHICANO 40,CHICANO 143,directed,3
CHICANO 40,CHICANO 141,directed,3
CHICANO 40,CHICANO 142,directed,3
CHICANO 40,CHICANO 143,directed,3
CHICANO 40,CHICANO 141,directed,3
CHICANO 40,CHICANO 142,directed,3
CHICANO 40,CHICANO 143,directed,3
CHICANO 40,CHICANO 141,directed,3
CHICANO 40,CHICANO 142,directed,3
CHICANO 40,CHICANO 143,directed,3
