source,target,type,weight
CHICANO 5,CHICANO R1B,directed,3
CHICANO 40,CHICANO 141,directed,3
CHICANO 40,CHICANO 142,directed,3
CHICANO 40,CHICANO 143,directed,3
CHICANO 50,CHICANO 150B,directed,3
CHICANO 70,CHICANO 172,directed,3
CHICANO 70,CHICANO 174,directed,3
CHICANO 70,CHICANO 176,directed,3
CHICANO 5,CHICANO R1B,directed,3
CHICANO 40,CHICANO 141,directed,3
CHICANO 40,CHICANO 142,directed,3
CHICANO 40,CHICANO 143,directed,3
CHICANO 50,CHICANO 150B,directed,3
CHICANO 70,CHICANO 172,directed,3
CHICANO 70,CHICANO 174,directed,3
CHICANO 70,CHICANO 176,directed,3
CHICANO 5,CHICANO R1B,directed,3
CHICANO 40,CHICANO 141,directed,3
CHICANO 40,CHICANO 142,directed,3
CHICANO 40,CHICANO 143,directed,3
CHICANO 50,CHICANO 150B,directed,3
CHICANO 70,CHICANO 172,directed,3
CHICANO 70,CHICANO 174,directed,3
CHICANO 70,CHICANO 176,directed,3
CHICANO 5,CHICANO R1B,directed,3
CHICANO 40,CHICANO 141,directed,3
CHICANO 40,CHICANO 142,directed,3
CHICANO 40,CHICANO 143,directed,3
CHICANO 50,CHICANO 150B,directed,3
CHICANO 70,CHICANO 172,directed,3
CHICANO 70,CHICANO 174,directed,3
CHICANO 70,CHICANO 176,directed,3
CHICANO 5,CHICANO R1B,directed,3
CHICANO 40,CHICANO 141,directed,3
CHICANO 40,CHICANO 142,directed,3
CHICANO 40,CHICANO 143,directed,3
CHICANO 50,CHICANO 150B,directed,3
CHICANO 70,CHICANO 172,directed,3
CHICANO 70,CHICANO 174,directed,3
CHICANO 70,CHICANO 176,directed,3
CHICANO 1AX,CHICANO 1AX,directed,3
CHICANO R1A,CHICANO R1A,directed,3
CHICANO R1AN,CHICANO R1AN,directed,3
CHICANO 10,CHICANO 10,directed,3
CHICANO 20,CHICANO 20,directed,3
CHICANO 24,CHICANO 24,directed,3
CHICANO 39,CHICANO 39,directed,3
CHICANO 39A,CHICANO 39A,directed,3
CHICANO 97,CHICANO 97,directed,3
CHICANO 98,CHICANO 98,directed,3
CHICANO 99,CHICANO 99,directed,3
CHICANO 110,CHICANO 110,directed,3
CHICANO 130,CHICANO 130,directed,3
CHICANO 133,CHICANO 133,directed,3
CHICANO 135A,CHICANO 135A,directed,3
CHICANO 135B,CHICANO 135B,directed,3
CHICANO 135C,CHICANO 135C,directed,3
CHICANO 152,CHICANO 152,directed,3
CHICANO 159,CHICANO 159,directed,3
CHICANO 161,CHICANO 161,directed,3
