source,target,type,weight
CHINESE 10Y,CHINESE 110A,directed,3
CHINESE 110A,CHINESE 110B,directed,3
CHINESE 110A,CHINESE 120,directed,3
CHINESE 110A,CHINESE 122,directed,3
CHINESE 10Y,CHINESE 110A,directed,3
CHINESE 110A,CHINESE 110B,directed,3
CHINESE 110A,CHINESE 120,directed,3
CHINESE 110A,CHINESE 122,directed,3
CHINESE 10Y,CHINESE 110A,directed,3
CHINESE 110A,CHINESE 110B,directed,3
CHINESE 110A,CHINESE 120,directed,3
CHINESE 110A,CHINESE 122,directed,3
CHINESE 10Y,CHINESE 110A,directed,3
CHINESE 110A,CHINESE 110B,directed,3
CHINESE 110A,CHINESE 120,directed,3
CHINESE 110A,CHINESE 122,directed,3
CHINESE 10Y,CHINESE 110A,directed,3
CHINESE 110A,CHINESE 110B,directed,3
CHINESE 110A,CHINESE 120,directed,3
CHINESE 110A,CHINESE 122,directed,3
