name,size,about
CHINESE 10Y,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
CHINESE 110A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
CHINESE 110B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
CHINESE 120,1,"Terms offered: Fall 2012, Fall 2006, Fall 2004..."
CHINESE 122,1,"Terms offered: Spring 2016, Spring 2014, Fall 2007..."
CHINESE 10Y,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
CHINESE 110A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
CHINESE 110B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
CHINESE 120,1,"Terms offered: Fall 2012, Fall 2006, Fall 2004..."
CHINESE 122,1,"Terms offered: Spring 2016, Spring 2014, Fall 2007..."
CHINESE 10Y,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
CHINESE 110A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
CHINESE 110B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
CHINESE 120,1,"Terms offered: Fall 2012, Fall 2006, Fall 2004..."
CHINESE 122,1,"Terms offered: Spring 2016, Spring 2014, Fall 2007..."
CHINESE 10Y,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
CHINESE 110A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
CHINESE 110B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
CHINESE 120,1,"Terms offered: Fall 2012, Fall 2006, Fall 2004..."
CHINESE 122,1,"Terms offered: Spring 2016, Spring 2014, Fall 2007..."
CHINESE 10Y,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
CHINESE 110A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
CHINESE 110B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
CHINESE 120,1,"Terms offered: Fall 2012, Fall 2006, Fall 2004..."
CHINESE 122,1,"Terms offered: Spring 2016, Spring 2014, Fall 2007..."
