name,size,about
CIV ENG 11,1,"An introduction to key engineered systems (e.g., energy, water supply, building..."
CIV ENG 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
CIV ENG C30,1,A review of equilibrium for particles and rigid bodies. Application to truss st...
CIV ENG W30,1,A review of equilibrium for particles and rigid bodies. Application to truss st...
CIV ENG 60,1,Introduction to structure and properties of civil engineering materials such as...
CIV ENG 70,1,Principles of physical and structural geology; the influence of geological fact...
CIV ENG 88B,1,"In this course, we will pursue analysis of long-term records of coastal water l..."
CIV ENG C88,1,Cities become more dependent on the data flows that connect infrastructures bet...
CIV ENG 92,1,A course designed to familiarize the entering student with the nature and scope...
CIV ENG 93,1,Application of the concepts and methods of probability theory and statistical i...
CIV ENG 98,1,Supervised group study and research by lower division students....
CIV ENG 99,1,Supervised independent study by lower division students....
CIV ENG 100,1,"Fluid statics and dynamics, including laboratory experiments with technical rep..."
CIV ENG 101,1,Analysis of steady and unsteady open-channel flow and application to rivers and...
CIV ENG 103,1,Course addresses principles and practical aspects of hydrology. Topics in intro...
CIV ENG C103N,1,A quantitative introduction to the hydrology of the terrestrial environment inc...
CIV ENG 105,1,"Hands-on design course in applied fluid mechanics, hydrology and water resource..."
CIV ENG C106,1,This course is an introduction to air pollution and the chemistry of earth's at...
CIV ENG 107,1,Assessment of technological options for responding to climate change. Overview ...
CIV ENG 110,1,This course will familiarize students with the complex infrastructure used to m...
CIV ENG 111,1,Quantitative overview of air and water contaminants and their engineering contr...
CIV ENG 111L,1,This laboratory course is designed to accompany the lecture topics in Civil Eng...
CIV ENG 112,1,Engineering design and project management of environmental systems. Students wi...
CIV ENG 113,1,Ecological engineering approaches for treating contaminated water using natural...
CIV ENG 114,1,The scope of modern environmental engineering requires a fundamental knowledge ...
CIV ENG 115,1,"The application of principles of inorganic, physical, and dilute solution equil..."
CIV ENG C116,1,Chemical mechanisms of reactions controlling the fate and mobility of nutrients...
