name,size,about
CLASSIC 36,1,"Introduction to the philosophies of Socrates, Plato and Aristotle...."
CLASSIC 163,1,The course is designed to deal with a single topic or selection of topics in Gr...
CLASSIC 36,1,"Introduction to the philosophies of Socrates, Plato and Aristotle...."
CLASSIC 163,1,The course is designed to deal with a single topic or selection of topics in Gr...
CLASSIC 36,1,"Introduction to the philosophies of Socrates, Plato and Aristotle...."
CLASSIC 163,1,The course is designed to deal with a single topic or selection of topics in Gr...
CLASSIC 36,1,"Introduction to the philosophies of Socrates, Plato and Aristotle...."
CLASSIC 163,1,The course is designed to deal with a single topic or selection of topics in Gr...
CLASSIC 36,1,"Introduction to the philosophies of Socrates, Plato and Aristotle...."
CLASSIC 163,1,The course is designed to deal with a single topic or selection of topics in Gr...
