source,target,type,weight
COG SCI 1,COG SCI 1,directed,3
COG SCI 1B,COG SCI 1B,directed,3
COG SCI N1,COG SCI N1,directed,3
COG SCI 88,COG SCI 88,directed,3
COG SCI 98,COG SCI 98,directed,3
COG SCI 99,COG SCI 99,directed,3
COG SCI C100,COG SCI C100,directed,3
COG SCI N100,COG SCI N100,directed,3
COG SCI C101,COG SCI C101,directed,3
COG SCI C102,COG SCI C102,directed,3
COG SCI C126,COG SCI C126,directed,3
COG SCI C127,COG SCI C127,directed,3
COG SCI 131,COG SCI 131,directed,3
COG SCI C131,COG SCI C131,directed,3
COG SCI C140,COG SCI C140,directed,3
COG SCI C142,COG SCI C142,directed,3
COG SCI 144,COG SCI 144,directed,3
COG SCI 150,COG SCI 150,directed,3
COG SCI 170,COG SCI 170,directed,3
COG SCI 171,COG SCI 171,directed,3
COG SCI 172,COG SCI 172,directed,3
COG SCI 180,COG SCI 180,directed,3
COG SCI 181,COG SCI 181,directed,3
COG SCI 182,COG SCI 182,directed,3
COG SCI 190,COG SCI 190,directed,3
COG SCI H195A,COG SCI H195A,directed,3
COG SCI H195B,COG SCI H195B,directed,3
COG SCI 197,COG SCI 197,directed,3
COG SCI 198,COG SCI 198,directed,3
COG SCI 199,COG SCI 199,directed,3
COG SCI 1,COG SCI 1,directed,3
COG SCI 1B,COG SCI 1B,directed,3
COG SCI N1,COG SCI N1,directed,3
COG SCI 88,COG SCI 88,directed,3
COG SCI 98,COG SCI 98,directed,3
COG SCI 99,COG SCI 99,directed,3
COG SCI C100,COG SCI C100,directed,3
COG SCI N100,COG SCI N100,directed,3
COG SCI C101,COG SCI C101,directed,3
COG SCI C102,COG SCI C102,directed,3
COG SCI C126,COG SCI C126,directed,3
COG SCI C127,COG SCI C127,directed,3
COG SCI 131,COG SCI 131,directed,3
COG SCI C131,COG SCI C131,directed,3
COG SCI C140,COG SCI C140,directed,3
COG SCI C142,COG SCI C142,directed,3
COG SCI 144,COG SCI 144,directed,3
COG SCI 150,COG SCI 150,directed,3
COG SCI 170,COG SCI 170,directed,3
COG SCI 171,COG SCI 171,directed,3
COG SCI 172,COG SCI 172,directed,3
COG SCI 180,COG SCI 180,directed,3
COG SCI 181,COG SCI 181,directed,3
COG SCI 182,COG SCI 182,directed,3
COG SCI 190,COG SCI 190,directed,3
COG SCI H195A,COG SCI H195A,directed,3
COG SCI H195B,COG SCI H195B,directed,3
COG SCI 197,COG SCI 197,directed,3
COG SCI 198,COG SCI 198,directed,3
COG SCI 199,COG SCI 199,directed,3
COG SCI 1,COG SCI 1,directed,3
COG SCI 1B,COG SCI 1B,directed,3
COG SCI N1,COG SCI N1,directed,3
COG SCI 88,COG SCI 88,directed,3
COG SCI 98,COG SCI 98,directed,3
COG SCI 99,COG SCI 99,directed,3
COG SCI C100,COG SCI C100,directed,3
COG SCI N100,COG SCI N100,directed,3
COG SCI C101,COG SCI C101,directed,3
COG SCI C102,COG SCI C102,directed,3
COG SCI C126,COG SCI C126,directed,3
COG SCI C127,COG SCI C127,directed,3
COG SCI 131,COG SCI 131,directed,3
COG SCI C131,COG SCI C131,directed,3
COG SCI C140,COG SCI C140,directed,3
COG SCI C142,COG SCI C142,directed,3
COG SCI 144,COG SCI 144,directed,3
COG SCI 150,COG SCI 150,directed,3
COG SCI 170,COG SCI 170,directed,3
COG SCI 171,COG SCI 171,directed,3
COG SCI 172,COG SCI 172,directed,3
COG SCI 180,COG SCI 180,directed,3
COG SCI 181,COG SCI 181,directed,3
COG SCI 182,COG SCI 182,directed,3
COG SCI 190,COG SCI 190,directed,3
COG SCI H195A,COG SCI H195A,directed,3
COG SCI H195B,COG SCI H195B,directed,3
COG SCI 197,COG SCI 197,directed,3
COG SCI 198,COG SCI 198,directed,3
COG SCI 199,COG SCI 199,directed,3
COG SCI 1,COG SCI 1,directed,3
COG SCI 1B,COG SCI 1B,directed,3
COG SCI N1,COG SCI N1,directed,3
COG SCI 88,COG SCI 88,directed,3
COG SCI 98,COG SCI 98,directed,3
COG SCI 99,COG SCI 99,directed,3
COG SCI C100,COG SCI C100,directed,3
COG SCI N100,COG SCI N100,directed,3
COG SCI C101,COG SCI C101,directed,3
COG SCI C102,COG SCI C102,directed,3
COG SCI C126,COG SCI C126,directed,3
COG SCI C127,COG SCI C127,directed,3
COG SCI 131,COG SCI 131,directed,3
COG SCI C131,COG SCI C131,directed,3
COG SCI C140,COG SCI C140,directed,3
COG SCI C142,COG SCI C142,directed,3
COG SCI 144,COG SCI 144,directed,3
COG SCI 150,COG SCI 150,directed,3
COG SCI 170,COG SCI 170,directed,3
COG SCI 171,COG SCI 171,directed,3
COG SCI 172,COG SCI 172,directed,3
COG SCI 180,COG SCI 180,directed,3
COG SCI 181,COG SCI 181,directed,3
COG SCI 182,COG SCI 182,directed,3
COG SCI 190,COG SCI 190,directed,3
COG SCI H195A,COG SCI H195A,directed,3
COG SCI H195B,COG SCI H195B,directed,3
COG SCI 197,COG SCI 197,directed,3
COG SCI 198,COG SCI 198,directed,3
COG SCI 199,COG SCI 199,directed,3
COG SCI 1,COG SCI 1,directed,3
COG SCI 1B,COG SCI 1B,directed,3
COG SCI N1,COG SCI N1,directed,3
COG SCI 88,COG SCI 88,directed,3
COG SCI 98,COG SCI 98,directed,3
COG SCI 99,COG SCI 99,directed,3
COG SCI C100,COG SCI C100,directed,3
COG SCI N100,COG SCI N100,directed,3
COG SCI C101,COG SCI C101,directed,3
COG SCI C102,COG SCI C102,directed,3
COG SCI C126,COG SCI C126,directed,3
COG SCI C127,COG SCI C127,directed,3
COG SCI 131,COG SCI 131,directed,3
COG SCI C131,COG SCI C131,directed,3
COG SCI C140,COG SCI C140,directed,3
