name,size,about
COM LIT H1A,1,Expository writing based on analysis of selected masterpieces of ancient and mo...
COM LIT H1B,1,Expository writing based on analysis of selected masterpieces of ancient and mo...
COM LIT N1A,1,Expository writing based on analysis of selected masterpieces of ancient and mo...
COM LIT N1B,1,Expository writing based on analysis of selected masterpieces of ancient and mo...
COM LIT R1A,1,Expository writing based on analysis of selected masterpieces of ancient and mo...
COM LIT R1B,1,Expository writing based on analysis of selected masterpieces of ancient and mo...
COM LIT R2A,1,Expository writing done in connection with the reading of selected masterpieces...
COM LIT R2B,1,Expository writing done in connection with the reading of selected masterpieces...
COM LIT R3A,1,Expository writing done in connection with the reading of selected masterpieces...
COM LIT R3B,1,Expository writing done in connection with the reading of selected masterpieces...
COM LIT 20,1,"An introductory level exploration of a specific author, work, theme or literary..."
COM LIT 20A,1,An introduction to problems of the comparative study of literature and philosop...
COM LIT 20B,1,An introductory level exploration of the study of social and cultural issues in...
COM LIT 20C,1,An introductory level exploration of the study of literature and history. Exami...
COM LIT 24,1,The Freshman Seminar Program has been designed to provide new students with the...
COM LIT 39H,1,Freshman and sophomore seminars offer lower division students the opportunity t...
COM LIT N40,1,"A study of women as portrayed in literature, and of women writers. Selected rea..."
COM LIT 41A,1,Comparative study of masterpieces of world literature....
COM LIT 41C,1,Comparative study of masterpieces of world literature....
COM LIT 41D,1,Comparative study of masterpieces of world literature....
COM LIT 41E,1,Comparative study of masterpieces of world literature....
COM LIT N41A,1,Comparative study of masterpieces of world literature....
COM LIT N41B,1,Comparative study of masterpieces of world literature....
COM LIT N41C,1,Comparative study of masterpieces of world literature....
COM LIT N41D,1,Comparative study of masterpieces of world literature....
COM LIT 50,1,A creative writing workshop for students who wish to study the theory and pract...
COM LIT 60AC,1,Study of the ethnic diversity of American literature. Topics will vary from sem...
COM LIT N60AC,1,Study of the ethnic diversity of American literature. Topics will vary from sum...
COM LIT W60AC,1,Study of the ethnic diversity of American literature. Topics will vary from sem...
COM LIT 98,1,Group study in a field that may not coincide with that of any regular course an...
COM LIT 98BC,1,"Berkeley Connect is a mentoring program, offered through various academic depar..."
COM LIT 100,1,An introduction to problems of the comparative study of literature and culture....
COM LIT 100A,1,An introduction to problems of the comparative study of literatures of the worl...
COM LIT 100B,1,An introduction to problems of the comparative study of literatures of the worl...
