name,size,about
COMPSCI C8,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019, Spring 2019,..."
COMPSCI 61A,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019..."
COMPSCI 61B,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
COMPSCI 70,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019..."
COMPSCI 88,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
COMPSCI C100,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019, Spring 2019..."
COMPSCI 169A,1,Terms offered: Not yet offered...
COMPSCI 169L,1,Terms offered: Not yet offered...
COMPSCI L182,1,Terms offered: Spring 2020...
COMPSCI W182,1,Terms offered: Spring 2020...
COMPSCI 189,1,"Terms offered: Spring 2020, Fall 2019, Summer 2019 8 Week Session..."
COMPSCI C8,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019, Spring 2019,..."
COMPSCI 61A,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019..."
COMPSCI 61B,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
COMPSCI 70,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019..."
COMPSCI 88,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
COMPSCI C100,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019, Spring 2019..."
COMPSCI 169A,1,Terms offered: Not yet offered...
COMPSCI 169L,1,Terms offered: Not yet offered...
COMPSCI L182,1,Terms offered: Spring 2020...
COMPSCI W182,1,Terms offered: Spring 2020...
COMPSCI 189,1,"Terms offered: Spring 2020, Fall 2019, Summer 2019 8 Week Session..."
COMPSCI C8,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019, Spring 2019,..."
COMPSCI 61A,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019..."
COMPSCI 61B,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
COMPSCI 70,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019..."
COMPSCI 88,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
COMPSCI C100,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019, Spring 2019..."
COMPSCI 169A,1,Terms offered: Not yet offered...
COMPSCI 169L,1,Terms offered: Not yet offered...
COMPSCI L182,1,Terms offered: Spring 2020...
COMPSCI W182,1,Terms offered: Spring 2020...
COMPSCI 189,1,"Terms offered: Spring 2020, Fall 2019, Summer 2019 8 Week Session..."
COMPSCI C8,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019, Spring 2019,..."
COMPSCI 61A,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019..."
COMPSCI 61B,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
COMPSCI 70,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019..."
COMPSCI 88,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
COMPSCI C100,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019, Spring 2019..."
COMPSCI 169A,1,Terms offered: Not yet offered...
COMPSCI 169L,1,Terms offered: Not yet offered...
COMPSCI L182,1,Terms offered: Spring 2020...
COMPSCI W182,1,Terms offered: Spring 2020...
COMPSCI 189,1,"Terms offered: Spring 2020, Fall 2019, Summer 2019 8 Week Session..."
COMPSCI C8,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019, Spring 2019,..."
COMPSCI 61A,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019..."
COMPSCI 61B,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
COMPSCI 70,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019..."
COMPSCI 88,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
COMPSCI C100,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019, Spring 2019..."
COMPSCI 169A,1,Terms offered: Not yet offered...
COMPSCI 169L,1,Terms offered: Not yet offered...
COMPSCI L182,1,Terms offered: Spring 2020...
COMPSCI W182,1,Terms offered: Spring 2020...
COMPSCI 189,1,"Terms offered: Spring 2020, Fall 2019, Summer 2019 8 Week Session..."
COMPSCI C8,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019, Spring 2019,..."
COMPSCI 61A,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019..."
COMPSCI 61B,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
COMPSCI 70,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019..."
COMPSCI 88,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
COMPSCI C100,1,"Terms offered: Summer 2020 8 Week Session, Spring 2020, Fall 2019, Spring 2019..."
COMPSCI 169A,1,Terms offered: Not yet offered...
COMPSCI 169L,1,Terms offered: Not yet offered...
COMPSCI L182,1,Terms offered: Spring 2020...
COMPSCI W182,1,Terms offered: Spring 2020...
COMPSCI 189,1,"Terms offered: Spring 2020, Fall 2019, Summer 2019 8 Week Session..."
