source,target,type,weight
ARMENI 101A,ARMENI 102,directed,3
ARMENI 101B,ARMENI 102,directed,3
HUNGARI 1A,HUNGARI 1B,directed,3
HUNGARI 1A,HUNGARI 100,directed,3
HUNGARI 1B,HUNGARI 100,directed,3
ARMENI 101A,ARMENI 102,directed,3
ARMENI 101B,ARMENI 102,directed,3
HUNGARI 1A,HUNGARI 1B,directed,3
HUNGARI 1A,HUNGARI 100,directed,3
HUNGARI 1B,HUNGARI 100,directed,3
ARMENI 101A,ARMENI 102,directed,3
ARMENI 101B,ARMENI 102,directed,3
HUNGARI 1A,HUNGARI 1B,directed,3
HUNGARI 1A,HUNGARI 100,directed,3
HUNGARI 1B,HUNGARI 100,directed,3
ARMENI 101A,ARMENI 102,directed,3
ARMENI 101B,ARMENI 102,directed,3
HUNGARI 1A,HUNGARI 1B,directed,3
HUNGARI 1A,HUNGARI 100,directed,3
HUNGARI 1B,HUNGARI 100,directed,3
ARMENI 101A,ARMENI 102,directed,3
ARMENI 101B,ARMENI 102,directed,3
HUNGARI 1A,HUNGARI 1B,directed,3
HUNGARI 1A,HUNGARI 100,directed,3
HUNGARI 1B,HUNGARI 100,directed,3
