name,size,about
ARMENI 101A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
ARMENI 101B,1,"Terms offered: Spring 2019, Spring 2018, Spring 2017..."
ARMENI 102,1,"Terms offered: Spring 2020, Spring 2017..."
HUNGARI 1A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
HUNGARI 1B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
HUNGARI 100,1,"Terms offered: Spring 2020, Fall 2019, Fall 2017..."
ARMENI 101A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
ARMENI 101B,1,"Terms offered: Spring 2019, Spring 2018, Spring 2017..."
ARMENI 102,1,"Terms offered: Spring 2020, Spring 2017..."
HUNGARI 1A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
HUNGARI 1B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
HUNGARI 100,1,"Terms offered: Spring 2020, Fall 2019, Fall 2017..."
ARMENI 101A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
ARMENI 101B,1,"Terms offered: Spring 2019, Spring 2018, Spring 2017..."
ARMENI 102,1,"Terms offered: Spring 2020, Spring 2017..."
HUNGARI 1A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
HUNGARI 1B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
HUNGARI 100,1,"Terms offered: Spring 2020, Fall 2019, Fall 2017..."
ARMENI 101A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
ARMENI 101B,1,"Terms offered: Spring 2019, Spring 2018, Spring 2017..."
ARMENI 102,1,"Terms offered: Spring 2020, Spring 2017..."
HUNGARI 1A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
HUNGARI 1B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
HUNGARI 100,1,"Terms offered: Spring 2020, Fall 2019, Fall 2017..."
ARMENI 101A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
ARMENI 101B,1,"Terms offered: Spring 2019, Spring 2018, Spring 2017..."
ARMENI 102,1,"Terms offered: Spring 2020, Spring 2017..."
HUNGARI 1A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
HUNGARI 1B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
HUNGARI 100,1,"Terms offered: Spring 2020, Fall 2019, Fall 2017..."
