source,target,type,weight
THEATER 10,THEATER 105,directed,3
THEATER 14,THEATER 105,directed,3
THEATER 10,THEATER 109,directed,3
THEATER 10,THEATER 110A,directed,3
THEATER 109,THEATER 110A,directed,3
THEATER 10,THEATER 110B,directed,3
THEATER 109,THEATER 110B,directed,3
THEATER 110A,THEATER 111,directed,3
THEATER 110B,THEATER 111,directed,3
THEATER 111,THEATER 115,directed,3
THEATER 10,THEATER 162,directed,3
THEATER 162,THEATER 163,directed,3
THEATER 175A,THEATER 175B,directed,3
THEATER 10,THEATER 105,directed,3
THEATER 14,THEATER 105,directed,3
THEATER 10,THEATER 109,directed,3
THEATER 10,THEATER 110A,directed,3
THEATER 109,THEATER 110A,directed,3
THEATER 10,THEATER 110B,directed,3
THEATER 109,THEATER 110B,directed,3
THEATER 110A,THEATER 111,directed,3
THEATER 110B,THEATER 111,directed,3
THEATER 111,THEATER 115,directed,3
THEATER 10,THEATER 162,directed,3
THEATER 162,THEATER 163,directed,3
THEATER 175A,THEATER 175B,directed,3
THEATER 10,THEATER 105,directed,3
THEATER 14,THEATER 105,directed,3
THEATER 10,THEATER 109,directed,3
THEATER 10,THEATER 110A,directed,3
THEATER 109,THEATER 110A,directed,3
THEATER 10,THEATER 110B,directed,3
THEATER 109,THEATER 110B,directed,3
THEATER 110A,THEATER 111,directed,3
THEATER 110B,THEATER 111,directed,3
THEATER 111,THEATER 115,directed,3
THEATER 10,THEATER 162,directed,3
THEATER 162,THEATER 163,directed,3
THEATER 175A,THEATER 175B,directed,3
THEATER 10,THEATER 105,directed,3
THEATER 14,THEATER 105,directed,3
THEATER 10,THEATER 109,directed,3
THEATER 10,THEATER 110A,directed,3
THEATER 109,THEATER 110A,directed,3
THEATER 10,THEATER 110B,directed,3
THEATER 109,THEATER 110B,directed,3
THEATER 110A,THEATER 111,directed,3
THEATER 110B,THEATER 111,directed,3
THEATER 111,THEATER 115,directed,3
THEATER 10,THEATER 162,directed,3
THEATER 162,THEATER 163,directed,3
THEATER 175A,THEATER 175B,directed,3
THEATER 10,THEATER 105,directed,3
THEATER 14,THEATER 105,directed,3
THEATER 10,THEATER 109,directed,3
THEATER 10,THEATER 110A,directed,3
THEATER 109,THEATER 110A,directed,3
THEATER 10,THEATER 110B,directed,3
THEATER 109,THEATER 110B,directed,3
THEATER 110A,THEATER 111,directed,3
THEATER 110B,THEATER 111,directed,3
THEATER 111,THEATER 115,directed,3
THEATER 10,THEATER 162,directed,3
THEATER 162,THEATER 163,directed,3
THEATER 175A,THEATER 175B,directed,3
