source,target,type,weight
DEV STD 24,DEV STD 24,directed,3
DEV STD 150,DEV STD 150,directed,3
DEV STD 192,DEV STD 192,directed,3
DEV STD H195,DEV STD H195,directed,3
DEV STD 197,DEV STD 197,directed,3
DEV STD 198,DEV STD 198,directed,3
DEV STD 199,DEV STD 199,directed,3
DEV STD 24,DEV STD 24,directed,3
DEV STD 150,DEV STD 150,directed,3
DEV STD 192,DEV STD 192,directed,3
DEV STD H195,DEV STD H195,directed,3
DEV STD 197,DEV STD 197,directed,3
DEV STD 198,DEV STD 198,directed,3
DEV STD 199,DEV STD 199,directed,3
DEV STD 24,DEV STD 24,directed,3
DEV STD 150,DEV STD 150,directed,3
DEV STD 192,DEV STD 192,directed,3
DEV STD H195,DEV STD H195,directed,3
DEV STD 197,DEV STD 197,directed,3
DEV STD 198,DEV STD 198,directed,3
DEV STD 199,DEV STD 199,directed,3
DEV STD 24,DEV STD 24,directed,3
DEV STD 150,DEV STD 150,directed,3
DEV STD 192,DEV STD 192,directed,3
DEV STD H195,DEV STD H195,directed,3
DEV STD 197,DEV STD 197,directed,3
DEV STD 198,DEV STD 198,directed,3
DEV STD 199,DEV STD 199,directed,3
DEV STD 24,DEV STD 24,directed,3
DEV STD 150,DEV STD 150,directed,3
DEV STD 192,DEV STD 192,directed,3
DEV STD H195,DEV STD H195,directed,3
DEV STD 197,DEV STD 197,directed,3
DEV STD 198,DEV STD 198,directed,3
DEV STD 199,DEV STD 199,directed,3
