source,target,type,weight
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
