source,target,type,weight
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 108A,NUSCTX 108B,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 161A,NUSCTX 145,directed,3
NUSCTX 161B,NUSCTX 145,directed,3
NUSCTX 103,NUSCTX 160,directed,3
NUSCTX 103,NUSCTX 161A,directed,3
NUSCTX 160,NUSCTX 161A,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 103,NUSCTX 170,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 103,NUSCTX 190,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 108A,NUSCTX 108B,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 161A,NUSCTX 145,directed,3
NUSCTX 161B,NUSCTX 145,directed,3
NUSCTX 103,NUSCTX 160,directed,3
NUSCTX 103,NUSCTX 161A,directed,3
NUSCTX 160,NUSCTX 161A,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 103,NUSCTX 170,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 103,NUSCTX 190,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 108A,NUSCTX 108B,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 161A,NUSCTX 145,directed,3
NUSCTX 161B,NUSCTX 145,directed,3
NUSCTX 103,NUSCTX 160,directed,3
NUSCTX 103,NUSCTX 161A,directed,3
NUSCTX 160,NUSCTX 161A,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 103,NUSCTX 170,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 103,NUSCTX 190,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 108A,NUSCTX 108B,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 161A,NUSCTX 145,directed,3
NUSCTX 161B,NUSCTX 145,directed,3
NUSCTX 103,NUSCTX 160,directed,3
NUSCTX 103,NUSCTX 161A,directed,3
NUSCTX 160,NUSCTX 161A,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 103,NUSCTX 170,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 103,NUSCTX 190,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 108A,NUSCTX 108B,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 161A,NUSCTX 145,directed,3
NUSCTX 161B,NUSCTX 145,directed,3
NUSCTX 103,NUSCTX 160,directed,3
NUSCTX 103,NUSCTX 161A,directed,3
NUSCTX 160,NUSCTX 161A,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 103,NUSCTX 170,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 103,NUSCTX 190,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 11,NUSCTX 11,directed,3
NUSCTX 20,NUSCTX 20,directed,3
NUSCTX 24,NUSCTX 24,directed,3
NUSCTX 30,NUSCTX 30,directed,3
NUSCTX 98,NUSCTX 98,directed,3
NUSCTX C114,NUSCTX C114,directed,3
NUSCTX 115,NUSCTX 115,directed,3
NUSCTX 135,NUSCTX 135,directed,3
NUSCTX C159,NUSCTX C159,directed,3
NUSCTX 192,NUSCTX 192,directed,3
NUSCTX 194,NUSCTX 194,directed,3
NUSCTX H196,NUSCTX H196,directed,3
NUSCTX 197,NUSCTX 197,directed,3
NUSCTX 198,NUSCTX 198,directed,3
NUSCTX 199,NUSCTX 199,directed,3
NUSCTX 200,NUSCTX 200,directed,3
NUSCTX 211A,NUSCTX 211A,directed,3
NUSCTX 211B,NUSCTX 211B,directed,3
NUSCTX 250,NUSCTX 250,directed,3
NUSCTX 260,NUSCTX 260,directed,3
NUSCTX 290,NUSCTX 290,directed,3
NUSCTX 292,NUSCTX 292,directed,3
NUSCTX 293,NUSCTX 293,directed,3
NUSCTX 296A,NUSCTX 296A,directed,3
NUSCTX 296B,NUSCTX 296B,directed,3
NUSCTX 296C,NUSCTX 296C,directed,3
NUSCTX 296D,NUSCTX 296D,directed,3
NUSCTX 296E,NUSCTX 296E,directed,3
NUSCTX 296F,NUSCTX 296F,directed,3
NUSCTX 296G,NUSCTX 296G,directed,3
NUSCTX 296H,NUSCTX 296H,directed,3
NUSCTX 296I,NUSCTX 296I,directed,3
NUSCTX 296J,NUSCTX 296J,directed,3
NUSCTX 296K,NUSCTX 296K,directed,3
NUSCTX 296L,NUSCTX 296L,directed,3
NUSCTX 298,NUSCTX 298,directed,3
NUSCTX 299,NUSCTX 299,directed,3
NUSCTX 302,NUSCTX 302,directed,3
NUSCTX 375,NUSCTX 375,directed,3
NUSCTX 602,NUSCTX 602,directed,3
NUSCTX 11,NUSCTX 11,directed,3
NUSCTX 20,NUSCTX 20,directed,3
