source,target,type,weight
DUTCH 39A,DUTCH 39A,directed,3
DUTCH 100,DUTCH 100,directed,3
DUTCH 107,DUTCH 107,directed,3
DUTCH C164,DUTCH C164,directed,3
DUTCH 166,DUTCH 166,directed,3
DUTCH 170,DUTCH 170,directed,3
DUTCH C170,DUTCH C170,directed,3
DUTCH 171AC,DUTCH 171AC,directed,3
DUTCH 173,DUTCH 173,directed,3
DUTCH 174,DUTCH 174,directed,3
DUTCH 177,DUTCH 177,directed,3
DUTCH C178,DUTCH C178,directed,3
DUTCH 179,DUTCH 179,directed,3
DUTCH 190,DUTCH 190,directed,3
DUTCH 195,DUTCH 195,directed,3
DUTCH H196,DUTCH H196,directed,3
DUTCH 198,DUTCH 198,directed,3
DUTCH 199,DUTCH 199,directed,3
DUTCH 39A,DUTCH 39A,directed,3
DUTCH 100,DUTCH 100,directed,3
DUTCH 107,DUTCH 107,directed,3
DUTCH C164,DUTCH C164,directed,3
DUTCH 166,DUTCH 166,directed,3
DUTCH 170,DUTCH 170,directed,3
DUTCH C170,DUTCH C170,directed,3
DUTCH 171AC,DUTCH 171AC,directed,3
DUTCH 173,DUTCH 173,directed,3
DUTCH 174,DUTCH 174,directed,3
DUTCH 177,DUTCH 177,directed,3
DUTCH C178,DUTCH C178,directed,3
DUTCH 179,DUTCH 179,directed,3
DUTCH 190,DUTCH 190,directed,3
DUTCH 195,DUTCH 195,directed,3
DUTCH H196,DUTCH H196,directed,3
DUTCH 198,DUTCH 198,directed,3
DUTCH 199,DUTCH 199,directed,3
DUTCH 39A,DUTCH 39A,directed,3
DUTCH 100,DUTCH 100,directed,3
DUTCH 107,DUTCH 107,directed,3
DUTCH C164,DUTCH C164,directed,3
DUTCH 166,DUTCH 166,directed,3
DUTCH 170,DUTCH 170,directed,3
DUTCH C170,DUTCH C170,directed,3
DUTCH 171AC,DUTCH 171AC,directed,3
DUTCH 173,DUTCH 173,directed,3
DUTCH 174,DUTCH 174,directed,3
DUTCH 177,DUTCH 177,directed,3
DUTCH C178,DUTCH C178,directed,3
DUTCH 179,DUTCH 179,directed,3
DUTCH 190,DUTCH 190,directed,3
DUTCH 195,DUTCH 195,directed,3
DUTCH H196,DUTCH H196,directed,3
DUTCH 198,DUTCH 198,directed,3
DUTCH 199,DUTCH 199,directed,3
DUTCH 39A,DUTCH 39A,directed,3
DUTCH 100,DUTCH 100,directed,3
DUTCH 107,DUTCH 107,directed,3
DUTCH C164,DUTCH C164,directed,3
DUTCH 166,DUTCH 166,directed,3
DUTCH 170,DUTCH 170,directed,3
DUTCH C170,DUTCH C170,directed,3
DUTCH 171AC,DUTCH 171AC,directed,3
DUTCH 173,DUTCH 173,directed,3
DUTCH 174,DUTCH 174,directed,3
DUTCH 177,DUTCH 177,directed,3
DUTCH C178,DUTCH C178,directed,3
DUTCH 179,DUTCH 179,directed,3
DUTCH 190,DUTCH 190,directed,3
DUTCH 195,DUTCH 195,directed,3
DUTCH H196,DUTCH H196,directed,3
DUTCH 198,DUTCH 198,directed,3
DUTCH 199,DUTCH 199,directed,3
DUTCH 39A,DUTCH 39A,directed,3
DUTCH 100,DUTCH 100,directed,3
DUTCH 107,DUTCH 107,directed,3
DUTCH C164,DUTCH C164,directed,3
DUTCH 166,DUTCH 166,directed,3
DUTCH 170,DUTCH 170,directed,3
DUTCH C170,DUTCH C170,directed,3
DUTCH 171AC,DUTCH 171AC,directed,3
DUTCH 173,DUTCH 173,directed,3
DUTCH 174,DUTCH 174,directed,3
DUTCH 177,DUTCH 177,directed,3
DUTCH C178,DUTCH C178,directed,3
DUTCH 179,DUTCH 179,directed,3
DUTCH 190,DUTCH 190,directed,3
DUTCH 195,DUTCH 195,directed,3
DUTCH H196,DUTCH H196,directed,3
DUTCH 198,DUTCH 198,directed,3
DUTCH 199,DUTCH 199,directed,3
