source,target,type,weight
EA LANG R1B,EA LANG R1B,directed,3
EA LANG 24,EA LANG 24,directed,3
EA LANG 39,EA LANG 39,directed,3
EA LANG C50,EA LANG C50,directed,3
EA LANG 84,EA LANG 84,directed,3
EA LANG 101,EA LANG 101,directed,3
EA LANG 105,EA LANG 105,directed,3
EA LANG 106,EA LANG 106,directed,3
EA LANG 107,EA LANG 107,directed,3
EA LANG 108,EA LANG 108,directed,3
EA LANG 109,EA LANG 109,directed,3
EA LANG 110,EA LANG 110,directed,3
EA LANG 111,EA LANG 111,directed,3
EA LANG 112,EA LANG 112,directed,3
EA LANG 114,EA LANG 114,directed,3
EA LANG 115,EA LANG 115,directed,3
EA LANG 116,EA LANG 116,directed,3
EA LANG 117,EA LANG 117,directed,3
EA LANG 118,EA LANG 118,directed,3
EA LANG 119,EA LANG 119,directed,3
EA LANG C120,EA LANG C120,directed,3
EA LANG C126,EA LANG C126,directed,3
EA LANG C128,EA LANG C128,directed,3
EA LANG C130,EA LANG C130,directed,3
EA LANG C132,EA LANG C132,directed,3
EA LANG C134,EA LANG C134,directed,3
EA LANG C135,EA LANG C135,directed,3
EA LANG C175,EA LANG C175,directed,3
EA LANG 180,EA LANG 180,directed,3
EA LANG 181,EA LANG 181,directed,3
EA LANG 191,EA LANG 191,directed,3
EA LANG H195A,EA LANG H195A,directed,3
EA LANG H195B,EA LANG H195B,directed,3
EA LANG 198,EA LANG 198,directed,3
EA LANG 199,EA LANG 199,directed,3
EA LANG R1B,EA LANG R1B,directed,3
EA LANG 24,EA LANG 24,directed,3
EA LANG 39,EA LANG 39,directed,3
EA LANG C50,EA LANG C50,directed,3
EA LANG 84,EA LANG 84,directed,3
EA LANG 101,EA LANG 101,directed,3
EA LANG 105,EA LANG 105,directed,3
EA LANG 106,EA LANG 106,directed,3
EA LANG 107,EA LANG 107,directed,3
EA LANG 108,EA LANG 108,directed,3
EA LANG 109,EA LANG 109,directed,3
EA LANG 110,EA LANG 110,directed,3
EA LANG 111,EA LANG 111,directed,3
EA LANG 112,EA LANG 112,directed,3
EA LANG 114,EA LANG 114,directed,3
EA LANG 115,EA LANG 115,directed,3
EA LANG 116,EA LANG 116,directed,3
EA LANG 117,EA LANG 117,directed,3
EA LANG 118,EA LANG 118,directed,3
EA LANG 119,EA LANG 119,directed,3
EA LANG C120,EA LANG C120,directed,3
EA LANG C126,EA LANG C126,directed,3
EA LANG C128,EA LANG C128,directed,3
EA LANG C130,EA LANG C130,directed,3
EA LANG C132,EA LANG C132,directed,3
EA LANG C134,EA LANG C134,directed,3
EA LANG C135,EA LANG C135,directed,3
EA LANG C175,EA LANG C175,directed,3
EA LANG 180,EA LANG 180,directed,3
EA LANG 181,EA LANG 181,directed,3
EA LANG 191,EA LANG 191,directed,3
EA LANG H195A,EA LANG H195A,directed,3
EA LANG H195B,EA LANG H195B,directed,3
EA LANG 198,EA LANG 198,directed,3
EA LANG 199,EA LANG 199,directed,3
EA LANG R1B,EA LANG R1B,directed,3
EA LANG 24,EA LANG 24,directed,3
EA LANG 39,EA LANG 39,directed,3
EA LANG C50,EA LANG C50,directed,3
EA LANG 84,EA LANG 84,directed,3
EA LANG 101,EA LANG 101,directed,3
EA LANG 105,EA LANG 105,directed,3
EA LANG 106,EA LANG 106,directed,3
EA LANG 107,EA LANG 107,directed,3
EA LANG 108,EA LANG 108,directed,3
EA LANG 109,EA LANG 109,directed,3
EA LANG 110,EA LANG 110,directed,3
EA LANG 111,EA LANG 111,directed,3
EA LANG 112,EA LANG 112,directed,3
EA LANG 114,EA LANG 114,directed,3
EA LANG 115,EA LANG 115,directed,3
EA LANG 116,EA LANG 116,directed,3
EA LANG 117,EA LANG 117,directed,3
EA LANG 118,EA LANG 118,directed,3
EA LANG 119,EA LANG 119,directed,3
EA LANG C120,EA LANG C120,directed,3
EA LANG C126,EA LANG C126,directed,3
EA LANG C128,EA LANG C128,directed,3
EA LANG C130,EA LANG C130,directed,3
EA LANG C132,EA LANG C132,directed,3
EA LANG C134,EA LANG C134,directed,3
EA LANG C135,EA LANG C135,directed,3
EA LANG C175,EA LANG C175,directed,3
EA LANG 180,EA LANG 180,directed,3
EA LANG 181,EA LANG 181,directed,3
EA LANG 191,EA LANG 191,directed,3
EA LANG H195A,EA LANG H195A,directed,3
EA LANG H195B,EA LANG H195B,directed,3
EA LANG 198,EA LANG 198,directed,3
EA LANG 199,EA LANG 199,directed,3
EA LANG R1B,EA LANG R1B,directed,3
EA LANG 24,EA LANG 24,directed,3
EA LANG 39,EA LANG 39,directed,3
EA LANG C50,EA LANG C50,directed,3
EA LANG 84,EA LANG 84,directed,3
EA LANG 101,EA LANG 101,directed,3
EA LANG 105,EA LANG 105,directed,3
EA LANG 106,EA LANG 106,directed,3
EA LANG 107,EA LANG 107,directed,3
EA LANG 108,EA LANG 108,directed,3
EA LANG 109,EA LANG 109,directed,3
EA LANG 110,EA LANG 110,directed,3
EA LANG 111,EA LANG 111,directed,3
EA LANG 112,EA LANG 112,directed,3
EA LANG 114,EA LANG 114,directed,3
EA LANG 115,EA LANG 115,directed,3
EA LANG 116,EA LANG 116,directed,3
EA LANG 117,EA LANG 117,directed,3
EA LANG 118,EA LANG 118,directed,3
EA LANG 119,EA LANG 119,directed,3
EA LANG C120,EA LANG C120,directed,3
EA LANG C126,EA LANG C126,directed,3
EA LANG C128,EA LANG C128,directed,3
EA LANG C130,EA LANG C130,directed,3
EA LANG C132,EA LANG C132,directed,3
EA LANG C134,EA LANG C134,directed,3
EA LANG C135,EA LANG C135,directed,3
EA LANG C175,EA LANG C175,directed,3
EA LANG 180,EA LANG 180,directed,3
EA LANG 181,EA LANG 181,directed,3
EA LANG 191,EA LANG 191,directed,3
EA LANG H195A,EA LANG H195A,directed,3
EA LANG H195B,EA LANG H195B,directed,3
EA LANG 198,EA LANG 198,directed,3
EA LANG 199,EA LANG 199,directed,3
EA LANG R1B,EA LANG R1B,directed,3
EA LANG 24,EA LANG 24,directed,3
EA LANG 39,EA LANG 39,directed,3
EA LANG C50,EA LANG C50,directed,3
EA LANG 84,EA LANG 84,directed,3
EA LANG 101,EA LANG 101,directed,3
EA LANG 105,EA LANG 105,directed,3
EA LANG 106,EA LANG 106,directed,3
EA LANG 107,EA LANG 107,directed,3
EA LANG 108,EA LANG 108,directed,3
EA LANG 109,EA LANG 109,directed,3
EA LANG 110,EA LANG 110,directed,3
EA LANG 111,EA LANG 111,directed,3
EA LANG 112,EA LANG 112,directed,3
EA LANG 114,EA LANG 114,directed,3
EA LANG 115,EA LANG 115,directed,3
EA LANG 116,EA LANG 116,directed,3
EA LANG 117,EA LANG 117,directed,3
EA LANG 118,EA LANG 118,directed,3
EA LANG 119,EA LANG 119,directed,3
EA LANG C120,EA LANG C120,directed,3
EA LANG C126,EA LANG C126,directed,3
EA LANG C128,EA LANG C128,directed,3
EA LANG C130,EA LANG C130,directed,3
EA LANG C132,EA LANG C132,directed,3
EA LANG C134,EA LANG C134,directed,3
EA LANG C135,EA LANG C135,directed,3
EA LANG C175,EA LANG C175,directed,3
EA LANG 180,EA LANG 180,directed,3
EA LANG 181,EA LANG 181,directed,3
EA LANG 191,EA LANG 191,directed,3
EA LANG H195A,EA LANG H195A,directed,3
EA LANG H195B,EA LANG H195B,directed,3
EA LANG 198,EA LANG 198,directed,3
EA LANG 199,EA LANG 199,directed,3
