source,target,type,weight
ECON C3,ECON C3,directed,3
ECON 24,ECON 24,directed,3
ECON 84,ECON 84,directed,3
ECON 98,ECON 98,directed,3
ECON C103,ECON C103,directed,3
ECON 105,ECON 105,directed,3
ECON C110,ECON C110,directed,3
ECON N110,ECON N110,directed,3
ECON 139,ECON 139,directed,3
ECON 144,ECON 144,directed,3
ECON N152,ECON N152,directed,3
ECON 162,ECON 162,directed,3
ECON C181,ECON C181,directed,3
ECON N181,ECON N181,directed,3
ECON H195A,ECON H195A,directed,3
ECON H195AS,ECON H195AS,directed,3
ECON H195B,ECON H195B,directed,3
ECON H195BS,ECON H195BS,directed,3
ECON 196,ECON 196,directed,3
ECON 197,ECON 197,directed,3
ECON 198,ECON 198,directed,3
ECON 199,ECON 199,directed,3
ECON C3,ECON C3,directed,3
ECON 24,ECON 24,directed,3
ECON 84,ECON 84,directed,3
ECON 98,ECON 98,directed,3
ECON C103,ECON C103,directed,3
ECON 105,ECON 105,directed,3
ECON C110,ECON C110,directed,3
ECON N110,ECON N110,directed,3
ECON 139,ECON 139,directed,3
ECON 144,ECON 144,directed,3
ECON N152,ECON N152,directed,3
ECON 162,ECON 162,directed,3
ECON C181,ECON C181,directed,3
ECON N181,ECON N181,directed,3
ECON H195A,ECON H195A,directed,3
ECON H195AS,ECON H195AS,directed,3
ECON H195B,ECON H195B,directed,3
ECON H195BS,ECON H195BS,directed,3
ECON 196,ECON 196,directed,3
ECON 197,ECON 197,directed,3
ECON 198,ECON 198,directed,3
ECON 199,ECON 199,directed,3
ECON C3,ECON C3,directed,3
ECON 24,ECON 24,directed,3
ECON 84,ECON 84,directed,3
ECON 98,ECON 98,directed,3
ECON C103,ECON C103,directed,3
ECON 105,ECON 105,directed,3
ECON C110,ECON C110,directed,3
ECON N110,ECON N110,directed,3
ECON 139,ECON 139,directed,3
ECON 144,ECON 144,directed,3
ECON N152,ECON N152,directed,3
ECON 162,ECON 162,directed,3
ECON C181,ECON C181,directed,3
ECON N181,ECON N181,directed,3
ECON H195A,ECON H195A,directed,3
ECON H195AS,ECON H195AS,directed,3
ECON H195B,ECON H195B,directed,3
ECON H195BS,ECON H195BS,directed,3
ECON 196,ECON 196,directed,3
ECON 197,ECON 197,directed,3
ECON 198,ECON 198,directed,3
ECON 199,ECON 199,directed,3
ECON C3,ECON C3,directed,3
ECON 24,ECON 24,directed,3
ECON 84,ECON 84,directed,3
ECON 98,ECON 98,directed,3
ECON C103,ECON C103,directed,3
ECON 105,ECON 105,directed,3
ECON C110,ECON C110,directed,3
ECON N110,ECON N110,directed,3
ECON 139,ECON 139,directed,3
ECON 144,ECON 144,directed,3
ECON N152,ECON N152,directed,3
ECON 162,ECON 162,directed,3
ECON C181,ECON C181,directed,3
ECON N181,ECON N181,directed,3
ECON H195A,ECON H195A,directed,3
ECON H195AS,ECON H195AS,directed,3
ECON H195B,ECON H195B,directed,3
ECON H195BS,ECON H195BS,directed,3
ECON 196,ECON 196,directed,3
ECON 197,ECON 197,directed,3
ECON 198,ECON 198,directed,3
ECON 199,ECON 199,directed,3
ECON C3,ECON C3,directed,3
ECON 24,ECON 24,directed,3
ECON 84,ECON 84,directed,3
ECON 98,ECON 98,directed,3
ECON C103,ECON C103,directed,3
ECON 105,ECON 105,directed,3
ECON C110,ECON C110,directed,3
ECON N110,ECON N110,directed,3
ECON 139,ECON 139,directed,3
ECON 144,ECON 144,directed,3
ECON N152,ECON N152,directed,3
ECON 162,ECON 162,directed,3
ECON C181,ECON C181,directed,3
ECON N181,ECON N181,directed,3
ECON H195A,ECON H195A,directed,3
ECON H195AS,ECON H195AS,directed,3
ECON H195B,ECON H195B,directed,3
ECON H195BS,ECON H195BS,directed,3
ECON 196,ECON 196,directed,3
ECON 197,ECON 197,directed,3
ECON 198,ECON 198,directed,3
ECON 199,ECON 199,directed,3
