name,size,about
EL ENG 24,1,"Terms offered: Fall 2017, Spring 2017, Spring 2016..."
EL ENG 25,1,Terms offered: Fall 2011...
EL ENG 39,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 42,1,"Terms offered: Fall 2013, Summer 2013 8 Week Session, Spring 2013..."
EL ENG 49,1,"Terms offered: Spring 2020, Spring 2019, Fall 2018..."
EL ENG 84,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018..."
EL ENG 97,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG 98,1,"Terms offered: Fall 2016, Spring 2016, Fall 2015..."
EL ENG 99,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG 105,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG C106A,1,"Terms offered: Fall 2017, Fall 2016, Fall 2015..."
EL ENG C106B,1,"Terms offered: Spring 2017, Spring 2016..."
EL ENG 113,1,"Terms offered: Fall 2019, Spring 2019, Spring 2018..."
EL ENG 117,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 118,1,"Terms offered: Fall 2019, Spring 2019, Fall 2017..."
EL ENG 120,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 121,1,"Terms offered: Spring 2016, Fall 2014, Fall 2013..."
EL ENG 122,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 123,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 126,1,"Terms offered: Spring 2017, Fall 2016, Spring 2016..."
EL ENG C128,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 130,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 134,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 137A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 137B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 140,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018..."
EL ENG 142,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 143,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 144,1,"Terms offered: Fall 2015, Fall 2014, Fall 2013..."
EL ENG C145B,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG C145L,1,"Terms offered: Fall 2014, Fall 2013, Fall 2012..."
EL ENG C145M,1,"Terms offered: Spring 2013, Spring 2012, Spring 2011..."
EL ENG C145O,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013, Spring 2012..."
EL ENG 146L,1,Terms offered: Spring 2015...
EL ENG 147,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 192,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 194,1,"Terms offered: Spring 2020, Fall 2018, Spring 2018..."
EL ENG H196A,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG H196B,1,"Terms offered: Spring 2016, Spring 2015, Spring 2014..."
EL ENG 197,1,"Terms offered: Spring 2018, Spring 2016, Fall 2015..."
EL ENG 198,1,"Terms offered: Spring 2019, Fall 2018, Spring 2018..."
EL ENG 199,1,"Terms offered: Fall 2018, Spring 2018, Fall 2017..."
NUC ENG 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
NUC ENG 100,1,The class provides students with an overview of the contemporary nuclear energy...
NUC ENG 101,1,"Energetics and kinetics of nuclear reactions and radioactive decay, fission, fu..."
NUC ENG 102,1,Laboratory course in nuclear physics. Experiments will allow students to direct...
NUC ENG 104,1,"Basic science of radiation measurement, nuclear instrumentation, neutronics, ra..."
NUC ENG 107,1,"Introduction to medical imaging physics and systems, including x-ray computed t..."
NUC ENG 120,1,Effects of irradiation on the atomic and mechanical properties of materials in ...
NUC ENG 124,1,"Components and material flowsheets for nuclear fuel cycle, waste characteristic..."
NUC ENG 130,1,Use of nuclear measurement techniques to detect clandestine movement and/or pos...
NUC ENG 150,1,"Neutron interactions, nuclear fission, and chain reacting systematics in therma..."
NUC ENG 155,1,Computational methods used to analyze radiation transport described by various ...
NUC ENG 156,1,This course provides an introduction to the field of nuclear criticality safety...
NUC ENG 161,1,Energy conversion in nuclear power systems; design of fission reactors; thermal...
NUC ENG 162,1,"Interaction of radiation with matter; physical, chemical, and biological effect..."
NUC ENG 167,1,"Project-based class for design and licensing of nuclear facilities, including a..."
NUC ENG 170A,1,Design of various fission and fusion power systems and other physically based a...
NUC ENG 170B,1,A systems approach to the development of procedures for nuclear medicine and ra...
NUC ENG 175,1,Methodological approaches for the quantification of technological risk and risk...
NUC ENG 180,1,Introduction to energy production by controlled thermonuclear reactions. Nuclea...
NUC ENG H194,1,Supervised research. Students who have completed three or more upper division c...
NUC ENG 198,1,Group studies of selected topics....
NUC ENG 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
NUC ENG S199,1,Supervised independent study. Please see section of the for description and pre...
NUC ENG 200M,1,Overview of the elements of nuclear technology in use today for the production ...
NUC ENG 201,1,"Interaction of gamma rays, neutrons, and charged particles with matter; nuclear..."
NUC ENG 204,1,Advanced concepts in the detection of ionizing radiation relevant for basic and...
