name,size,about
ENGIN 1,1,This course provides the framework for engineering an empowered life through le...
ENGIN 7,1,"Elements of procedural and object-oriented programming. Induction, iteration, a..."
ENGIN W7,1,"Elements of procedural and object-oriented programming. Induction, iteration, a..."
ENGIN 11,1,"Introduction to basic concepts in radiation detection and radioactivity, electr..."
ENGIN 24,1,The Berkeley Seminar Program is designed to provide students with the opportuni...
ENGIN 25,1,Development of 3-dimensional visualization skills for engineering design. Sketc...
ENGIN 26,1,Three-dimensional modeling for engineering design. This course will emphasize t...
ENGIN 27,1,"Geometric dimensioning and tolerancing (GD&T), tolerance analysis for fabricati..."
ENGIN 39B,1,Freshman and sophomore seminars offer lower division students the opportunity t...
ENGIN 39E,1,Freshman and sophomore seminars offer lower division students the opportunity t...
ENGIN 39F,1,Freshman and sophomore seminars offer lower division students the opportunity t...
ENGIN 40,1,Fundamental laws of thermodynamics for simple substances; application to flow p...
ENGIN 47,1,May be taken only with permission of the Dean of the College of Engineering. St...
ENGIN 78,1,This course introduces engineering students to elements of statistics and proba...
ENGIN 92,1,"This series of lectures provides students, especially undeclared Engineering st..."
ENGIN 93,1,Weekly seminar with different speakers on energy-related topics. The goal is to...
ENGIN 98,1,"Seminars for group study of selected topics, which will vary from year to year...."
ENGIN 117,1,Methods of theoretical engineering analysis; techniques for analyzing partial d...
ENGIN 120,1,"Economic analysis for engineering decision making: Capital flows, effect of tim..."
ENGIN 125,1,How should engineers analyze and resolve the ethical issues inherent in enginee...
ENGIN 128,1,Advanced graphics tools for engineering design. Parametric solid modeling. Asse...
ENGIN 147,1,May be taken only with permission of the Dean of the College of Engineering. St...
ENGIN 150,1,"The course emphasizes elementary modeling, numerical methods & their implementa..."
ENGIN 157AC,1,"This course engages students at the intersection of environmental justice, soci..."
ENGIN 177,1,"The course builds an understanding, demonstrates engineering uses, and provides..."
ENGIN 180,1,The course is concerned with giving students the tools to prepare for the field...
ENGIN 185,1,This course provides engineering majors with the fundamental skills for effecti...
ENGIN 187,1,The course examines the challenges of innovation beyond new technology developm...
ENGIN 194,1,Students who have completed a satisfactory number of advanced courses may pursu...
ENGIN 198,1,Group study of selected topics....
ENGIN 1,1,This course provides the framework for engineering an empowered life through le...
ENGIN 7,1,"Elements of procedural and object-oriented programming. Induction, iteration, a..."
ENGIN W7,1,"Elements of procedural and object-oriented programming. Induction, iteration, a..."
ENGIN 11,1,"Introduction to basic concepts in radiation detection and radioactivity, electr..."
ENGIN 24,1,The Berkeley Seminar Program is designed to provide students with the opportuni...
ENGIN 25,1,Development of 3-dimensional visualization skills for engineering design. Sketc...
ENGIN 26,1,Three-dimensional modeling for engineering design. This course will emphasize t...
ENGIN 27,1,"Geometric dimensioning and tolerancing (GD&T), tolerance analysis for fabricati..."
ENGIN 39B,1,Freshman and sophomore seminars offer lower division students the opportunity t...
ENGIN 39E,1,Freshman and sophomore seminars offer lower division students the opportunity t...
ENGIN 39F,1,Freshman and sophomore seminars offer lower division students the opportunity t...
ENGIN 40,1,Fundamental laws of thermodynamics for simple substances; application to flow p...
ENGIN 47,1,May be taken only with permission of the Dean of the College of Engineering. St...
ENGIN 78,1,This course introduces engineering students to elements of statistics and proba...
ENGIN 92,1,"This series of lectures provides students, especially undeclared Engineering st..."
ENGIN 93,1,Weekly seminar with different speakers on energy-related topics. The goal is to...
ENGIN 98,1,"Seminars for group study of selected topics, which will vary from year to year...."
ENGIN 117,1,Methods of theoretical engineering analysis; techniques for analyzing partial d...
ENGIN 120,1,"Economic analysis for engineering decision making: Capital flows, effect of tim..."
ENGIN 125,1,How should engineers analyze and resolve the ethical issues inherent in enginee...
ENGIN 128,1,Advanced graphics tools for engineering design. Parametric solid modeling. Asse...
ENGIN 147,1,May be taken only with permission of the Dean of the College of Engineering. St...
ENGIN 150,1,"The course emphasizes elementary modeling, numerical methods & their implementa..."
ENGIN 157AC,1,"This course engages students at the intersection of environmental justice, soci..."
ENGIN 177,1,"The course builds an understanding, demonstrates engineering uses, and provides..."
ENGIN 180,1,The course is concerned with giving students the tools to prepare for the field...
ENGIN 185,1,This course provides engineering majors with the fundamental skills for effecti...
ENGIN 187,1,The course examines the challenges of innovation beyond new technology developm...
ENGIN 194,1,Students who have completed a satisfactory number of advanced courses may pursu...
ENGIN 198,1,Group study of selected topics....
ENGIN 1,1,This course provides the framework for engineering an empowered life through le...
ENGIN 7,1,"Elements of procedural and object-oriented programming. Induction, iteration, a..."
ENGIN W7,1,"Elements of procedural and object-oriented programming. Induction, iteration, a..."
ENGIN 11,1,"Introduction to basic concepts in radiation detection and radioactivity, electr..."
ENGIN 24,1,The Berkeley Seminar Program is designed to provide students with the opportuni...
ENGIN 25,1,Development of 3-dimensional visualization skills for engineering design. Sketc...
ENGIN 26,1,Three-dimensional modeling for engineering design. This course will emphasize t...
ENGIN 27,1,"Geometric dimensioning and tolerancing (GD&T), tolerance analysis for fabricati..."
ENGIN 39B,1,Freshman and sophomore seminars offer lower division students the opportunity t...
ENGIN 39E,1,Freshman and sophomore seminars offer lower division students the opportunity t...
ENGIN 39F,1,Freshman and sophomore seminars offer lower division students the opportunity t...
ENGIN 40,1,Fundamental laws of thermodynamics for simple substances; application to flow p...
ENGIN 47,1,May be taken only with permission of the Dean of the College of Engineering. St...
ENGIN 78,1,This course introduces engineering students to elements of statistics and proba...
ENGIN 92,1,"This series of lectures provides students, especially undeclared Engineering st..."
ENGIN 93,1,Weekly seminar with different speakers on energy-related topics. The goal is to...
ENGIN 98,1,"Seminars for group study of selected topics, which will vary from year to year...."
ENGIN 117,1,Methods of theoretical engineering analysis; techniques for analyzing partial d...
ENGIN 120,1,"Economic analysis for engineering decision making: Capital flows, effect of tim..."
ENGIN 125,1,How should engineers analyze and resolve the ethical issues inherent in enginee...
ENGIN 128,1,Advanced graphics tools for engineering design. Parametric solid modeling. Asse...
ENGIN 147,1,May be taken only with permission of the Dean of the College of Engineering. St...
ENGIN 150,1,"The course emphasizes elementary modeling, numerical methods & their implementa..."
ENGIN 157AC,1,"This course engages students at the intersection of environmental justice, soci..."
ENGIN 177,1,"The course builds an understanding, demonstrates engineering uses, and provides..."
ENGIN 180,1,The course is concerned with giving students the tools to prepare for the field...
ENGIN 185,1,This course provides engineering majors with the fundamental skills for effecti...
ENGIN 187,1,The course examines the challenges of innovation beyond new technology developm...
ENGIN 194,1,Students who have completed a satisfactory number of advanced courses may pursu...
ENGIN 198,1,Group study of selected topics....
ENGIN 1,1,This course provides the framework for engineering an empowered life through le...
ENGIN 7,1,"Elements of procedural and object-oriented programming. Induction, iteration, a..."
ENGIN W7,1,"Elements of procedural and object-oriented programming. Induction, iteration, a..."
ENGIN 11,1,"Introduction to basic concepts in radiation detection and radioactivity, electr..."
ENGIN 24,1,The Berkeley Seminar Program is designed to provide students with the opportuni...
ENGIN 25,1,Development of 3-dimensional visualization skills for engineering design. Sketc...
ENGIN 26,1,Three-dimensional modeling for engineering design. This course will emphasize t...
ENGIN 27,1,"Geometric dimensioning and tolerancing (GD&T), tolerance analysis for fabricati..."
ENGIN 39B,1,Freshman and sophomore seminars offer lower division students the opportunity t...
ENGIN 39E,1,Freshman and sophomore seminars offer lower division students the opportunity t...
ENGIN 39F,1,Freshman and sophomore seminars offer lower division students the opportunity t...
ENGIN 40,1,Fundamental laws of thermodynamics for simple substances; application to flow p...
ENGIN 47,1,May be taken only with permission of the Dean of the College of Engineering. St...
ENGIN 78,1,This course introduces engineering students to elements of statistics and proba...
ENGIN 92,1,"This series of lectures provides students, especially undeclared Engineering st..."
ENGIN 93,1,Weekly seminar with different speakers on energy-related topics. The goal is to...
ENGIN 98,1,"Seminars for group study of selected topics, which will vary from year to year...."
ENGIN 117,1,Methods of theoretical engineering analysis; techniques for analyzing partial d...
ENGIN 120,1,"Economic analysis for engineering decision making: Capital flows, effect of tim..."
ENGIN 125,1,How should engineers analyze and resolve the ethical issues inherent in enginee...
ENGIN 128,1,Advanced graphics tools for engineering design. Parametric solid modeling. Asse...
ENGIN 147,1,May be taken only with permission of the Dean of the College of Engineering. St...
ENGIN 150,1,"The course emphasizes elementary modeling, numerical methods & their implementa..."
ENGIN 157AC,1,"This course engages students at the intersection of environmental justice, soci..."
ENGIN 177,1,"The course builds an understanding, demonstrates engineering uses, and provides..."
ENGIN 180,1,The course is concerned with giving students the tools to prepare for the field...
ENGIN 185,1,This course provides engineering majors with the fundamental skills for effecti...
ENGIN 187,1,The course examines the challenges of innovation beyond new technology developm...
ENGIN 194,1,Students who have completed a satisfactory number of advanced courses may pursu...
ENGIN 198,1,Group study of selected topics....
ENGIN 1,1,This course provides the framework for engineering an empowered life through le...
ENGIN 7,1,"Elements of procedural and object-oriented programming. Induction, iteration, a..."
ENGIN W7,1,"Elements of procedural and object-oriented programming. Induction, iteration, a..."
ENGIN 11,1,"Introduction to basic concepts in radiation detection and radioactivity, electr..."
ENGIN 24,1,The Berkeley Seminar Program is designed to provide students with the opportuni...
ENGIN 25,1,Development of 3-dimensional visualization skills for engineering design. Sketc...
ENGIN 26,1,Three-dimensional modeling for engineering design. This course will emphasize t...
ENGIN 27,1,"Geometric dimensioning and tolerancing (GD&T), tolerance analysis for fabricati..."
