source,target,type,weight
ENGIN 1,ENGIN 1,directed,3
ENGIN 7,ENGIN 7,directed,3
ENGIN W7,ENGIN W7,directed,3
ENGIN 11,ENGIN 11,directed,3
ENGIN 24,ENGIN 24,directed,3
ENGIN 25,ENGIN 25,directed,3
ENGIN 26,ENGIN 26,directed,3
ENGIN 27,ENGIN 27,directed,3
ENGIN 39B,ENGIN 39B,directed,3
ENGIN 39E,ENGIN 39E,directed,3
ENGIN 39F,ENGIN 39F,directed,3
ENGIN 40,ENGIN 40,directed,3
ENGIN 47,ENGIN 47,directed,3
ENGIN 78,ENGIN 78,directed,3
ENGIN 92,ENGIN 92,directed,3
ENGIN 93,ENGIN 93,directed,3
ENGIN 98,ENGIN 98,directed,3
ENGIN 117,ENGIN 117,directed,3
ENGIN 120,ENGIN 120,directed,3
ENGIN 125,ENGIN 125,directed,3
ENGIN 128,ENGIN 128,directed,3
ENGIN 147,ENGIN 147,directed,3
ENGIN 150,ENGIN 150,directed,3
ENGIN 157AC,ENGIN 157AC,directed,3
ENGIN 177,ENGIN 177,directed,3
ENGIN 180,ENGIN 180,directed,3
ENGIN 185,ENGIN 185,directed,3
ENGIN 187,ENGIN 187,directed,3
ENGIN 194,ENGIN 194,directed,3
ENGIN 198,ENGIN 198,directed,3
ENGIN 1,ENGIN 1,directed,3
ENGIN 7,ENGIN 7,directed,3
ENGIN W7,ENGIN W7,directed,3
ENGIN 11,ENGIN 11,directed,3
ENGIN 24,ENGIN 24,directed,3
ENGIN 25,ENGIN 25,directed,3
ENGIN 26,ENGIN 26,directed,3
ENGIN 27,ENGIN 27,directed,3
ENGIN 39B,ENGIN 39B,directed,3
ENGIN 39E,ENGIN 39E,directed,3
ENGIN 39F,ENGIN 39F,directed,3
ENGIN 40,ENGIN 40,directed,3
ENGIN 47,ENGIN 47,directed,3
ENGIN 78,ENGIN 78,directed,3
ENGIN 92,ENGIN 92,directed,3
ENGIN 93,ENGIN 93,directed,3
ENGIN 98,ENGIN 98,directed,3
ENGIN 117,ENGIN 117,directed,3
ENGIN 120,ENGIN 120,directed,3
ENGIN 125,ENGIN 125,directed,3
ENGIN 128,ENGIN 128,directed,3
ENGIN 147,ENGIN 147,directed,3
ENGIN 150,ENGIN 150,directed,3
ENGIN 157AC,ENGIN 157AC,directed,3
ENGIN 177,ENGIN 177,directed,3
ENGIN 180,ENGIN 180,directed,3
ENGIN 185,ENGIN 185,directed,3
ENGIN 187,ENGIN 187,directed,3
ENGIN 194,ENGIN 194,directed,3
ENGIN 198,ENGIN 198,directed,3
ENGIN 1,ENGIN 1,directed,3
ENGIN 7,ENGIN 7,directed,3
ENGIN W7,ENGIN W7,directed,3
ENGIN 11,ENGIN 11,directed,3
ENGIN 24,ENGIN 24,directed,3
ENGIN 25,ENGIN 25,directed,3
ENGIN 26,ENGIN 26,directed,3
ENGIN 27,ENGIN 27,directed,3
ENGIN 39B,ENGIN 39B,directed,3
ENGIN 39E,ENGIN 39E,directed,3
ENGIN 39F,ENGIN 39F,directed,3
ENGIN 40,ENGIN 40,directed,3
ENGIN 47,ENGIN 47,directed,3
ENGIN 78,ENGIN 78,directed,3
ENGIN 92,ENGIN 92,directed,3
ENGIN 93,ENGIN 93,directed,3
ENGIN 98,ENGIN 98,directed,3
ENGIN 117,ENGIN 117,directed,3
ENGIN 120,ENGIN 120,directed,3
ENGIN 125,ENGIN 125,directed,3
ENGIN 128,ENGIN 128,directed,3
ENGIN 147,ENGIN 147,directed,3
ENGIN 150,ENGIN 150,directed,3
ENGIN 157AC,ENGIN 157AC,directed,3
ENGIN 177,ENGIN 177,directed,3
ENGIN 180,ENGIN 180,directed,3
ENGIN 185,ENGIN 185,directed,3
ENGIN 187,ENGIN 187,directed,3
ENGIN 194,ENGIN 194,directed,3
ENGIN 198,ENGIN 198,directed,3
ENGIN 1,ENGIN 1,directed,3
ENGIN 7,ENGIN 7,directed,3
ENGIN W7,ENGIN W7,directed,3
ENGIN 11,ENGIN 11,directed,3
ENGIN 24,ENGIN 24,directed,3
ENGIN 25,ENGIN 25,directed,3
ENGIN 26,ENGIN 26,directed,3
ENGIN 27,ENGIN 27,directed,3
ENGIN 39B,ENGIN 39B,directed,3
ENGIN 39E,ENGIN 39E,directed,3
ENGIN 39F,ENGIN 39F,directed,3
ENGIN 40,ENGIN 40,directed,3
ENGIN 47,ENGIN 47,directed,3
ENGIN 78,ENGIN 78,directed,3
ENGIN 92,ENGIN 92,directed,3
ENGIN 93,ENGIN 93,directed,3
ENGIN 98,ENGIN 98,directed,3
ENGIN 117,ENGIN 117,directed,3
ENGIN 120,ENGIN 120,directed,3
ENGIN 125,ENGIN 125,directed,3
ENGIN 128,ENGIN 128,directed,3
ENGIN 147,ENGIN 147,directed,3
ENGIN 150,ENGIN 150,directed,3
ENGIN 157AC,ENGIN 157AC,directed,3
ENGIN 177,ENGIN 177,directed,3
ENGIN 180,ENGIN 180,directed,3
ENGIN 185,ENGIN 185,directed,3
ENGIN 187,ENGIN 187,directed,3
ENGIN 194,ENGIN 194,directed,3
ENGIN 198,ENGIN 198,directed,3
ENGIN 1,ENGIN 1,directed,3
ENGIN 7,ENGIN 7,directed,3
ENGIN W7,ENGIN W7,directed,3
ENGIN 11,ENGIN 11,directed,3
ENGIN 24,ENGIN 24,directed,3
ENGIN 25,ENGIN 25,directed,3
ENGIN 26,ENGIN 26,directed,3
ENGIN 27,ENGIN 27,directed,3
ENGIN 39B,ENGIN 39B,directed,3
ENGIN 39E,ENGIN 39E,directed,3
ENGIN 39F,ENGIN 39F,directed,3
ENGIN 40,ENGIN 40,directed,3
ENGIN 47,ENGIN 47,directed,3
ENGIN 78,ENGIN 78,directed,3
ENGIN 92,ENGIN 92,directed,3
ENGIN 93,ENGIN 93,directed,3
ENGIN 98,ENGIN 98,directed,3
ENGIN 117,ENGIN 117,directed,3
ENGIN 120,ENGIN 120,directed,3
ENGIN 125,ENGIN 125,directed,3
ENGIN 128,ENGIN 128,directed,3
ENGIN 147,ENGIN 147,directed,3
ENGIN 150,ENGIN 150,directed,3
ENGIN 157AC,ENGIN 157AC,directed,3
ENGIN 177,ENGIN 177,directed,3
ENGIN 180,ENGIN 180,directed,3
ENGIN 185,ENGIN 185,directed,3
ENGIN 187,ENGIN 187,directed,3
ENGIN 194,ENGIN 194,directed,3
ENGIN 198,ENGIN 198,directed,3
