source,target,type,weight
ENGLISH 117S,ENGLISH 117T,directed,3
ENGLISH 117S,ENGLISH 117T,directed,3
ENGLISH 117S,ENGLISH 117T,directed,3
ENGLISH 117S,ENGLISH 117T,directed,3
ENGLISH 117S,ENGLISH 117T,directed,3
ENGLISH R1A,ENGLISH R1A,directed,3
ENGLISH R1AN,ENGLISH R1AN,directed,3
ENGLISH R1B,ENGLISH R1B,directed,3
ENGLISH 17,ENGLISH 17,directed,3
ENGLISH 20,ENGLISH 20,directed,3
ENGLISH 24,ENGLISH 24,directed,3
ENGLISH 25,ENGLISH 25,directed,3
ENGLISH 26,ENGLISH 26,directed,3
ENGLISH 27,ENGLISH 27,directed,3
ENGLISH 28,ENGLISH 28,directed,3
ENGLISH 31AC,ENGLISH 31AC,directed,3
ENGLISH 33,ENGLISH 33,directed,3
ENGLISH 37,ENGLISH 37,directed,3
ENGLISH 39A,ENGLISH 39A,directed,3
ENGLISH 43A,ENGLISH 43A,directed,3
ENGLISH 43B,ENGLISH 43B,directed,3
ENGLISH 43N,ENGLISH 43N,directed,3
ENGLISH 45A,ENGLISH 45A,directed,3
ENGLISH 45B,ENGLISH 45B,directed,3
ENGLISH 45C,ENGLISH 45C,directed,3
ENGLISH 53,ENGLISH 53,directed,3
ENGLISH C77,ENGLISH C77,directed,3
ENGLISH 80K,ENGLISH 80K,directed,3
ENGLISH 84,ENGLISH 84,directed,3
ENGLISH 98,ENGLISH 98,directed,3
ENGLISH 98BC,ENGLISH 98BC,directed,3
ENGLISH 99,ENGLISH 99,directed,3
ENGLISH 101,ENGLISH 101,directed,3
ENGLISH 102,ENGLISH 102,directed,3
ENGLISH 104,ENGLISH 104,directed,3
ENGLISH 105,ENGLISH 105,directed,3
ENGLISH 107,ENGLISH 107,directed,3
ENGLISH 110,ENGLISH 110,directed,3
ENGLISH 111,ENGLISH 111,directed,3
ENGLISH 112,ENGLISH 112,directed,3
ENGLISH 114A,ENGLISH 114A,directed,3
ENGLISH 114B,ENGLISH 114B,directed,3
ENGLISH 115A,ENGLISH 115A,directed,3
ENGLISH 115B,ENGLISH 115B,directed,3
ENGLISH 116,ENGLISH 116,directed,3
ENGLISH 117A,ENGLISH 117A,directed,3
ENGLISH 117B,ENGLISH 117B,directed,3
ENGLISH 117F,ENGLISH 117F,directed,3
