source,target,type,weight
ENVECON 39D,ENVECON 39D,directed,3
ENVECON 98,ENVECON 98,directed,3
ENVECON C101,ENVECON C101,directed,3
ENVECON C102,ENVECON C102,directed,3
ENVECON C115,ENVECON C115,directed,3
ENVECON C118,ENVECON C118,directed,3
ENVECON 131,ENVECON 131,directed,3
ENVECON 140AC,ENVECON 140AC,directed,3
ENVECON 143,ENVECON 143,directed,3
ENVECON 147,ENVECON 147,directed,3
ENVECON C151,ENVECON C151,directed,3
ENVECON 153,ENVECON 153,directed,3
ENVECON 154,ENVECON 154,directed,3
ENVECON C175,ENVECON C175,directed,3
ENVECON C176,ENVECON C176,directed,3
ENVECON C181,ENVECON C181,directed,3
ENVECON C183,ENVECON C183,directed,3
ENVECON 195,ENVECON 195,directed,3
ENVECON 196,ENVECON 196,directed,3
ENVECON H196,ENVECON H196,directed,3
ENVECON 197,ENVECON 197,directed,3
ENVECON 198,ENVECON 198,directed,3
ENVECON 199,ENVECON 199,directed,3
ENVECON 39D,ENVECON 39D,directed,3
ENVECON 98,ENVECON 98,directed,3
ENVECON C101,ENVECON C101,directed,3
ENVECON C102,ENVECON C102,directed,3
ENVECON C115,ENVECON C115,directed,3
ENVECON C118,ENVECON C118,directed,3
ENVECON 131,ENVECON 131,directed,3
ENVECON 140AC,ENVECON 140AC,directed,3
ENVECON 143,ENVECON 143,directed,3
ENVECON 147,ENVECON 147,directed,3
ENVECON C151,ENVECON C151,directed,3
ENVECON 153,ENVECON 153,directed,3
ENVECON 154,ENVECON 154,directed,3
ENVECON C175,ENVECON C175,directed,3
ENVECON C176,ENVECON C176,directed,3
ENVECON C181,ENVECON C181,directed,3
ENVECON C183,ENVECON C183,directed,3
ENVECON 195,ENVECON 195,directed,3
ENVECON 196,ENVECON 196,directed,3
ENVECON H196,ENVECON H196,directed,3
ENVECON 197,ENVECON 197,directed,3
ENVECON 198,ENVECON 198,directed,3
ENVECON 199,ENVECON 199,directed,3
ENVECON 39D,ENVECON 39D,directed,3
ENVECON 98,ENVECON 98,directed,3
ENVECON C101,ENVECON C101,directed,3
ENVECON C102,ENVECON C102,directed,3
ENVECON C115,ENVECON C115,directed,3
ENVECON C118,ENVECON C118,directed,3
ENVECON 131,ENVECON 131,directed,3
ENVECON 140AC,ENVECON 140AC,directed,3
ENVECON 143,ENVECON 143,directed,3
ENVECON 147,ENVECON 147,directed,3
ENVECON C151,ENVECON C151,directed,3
ENVECON 153,ENVECON 153,directed,3
ENVECON 154,ENVECON 154,directed,3
ENVECON C175,ENVECON C175,directed,3
ENVECON C176,ENVECON C176,directed,3
ENVECON C181,ENVECON C181,directed,3
ENVECON C183,ENVECON C183,directed,3
ENVECON 195,ENVECON 195,directed,3
ENVECON 196,ENVECON 196,directed,3
ENVECON H196,ENVECON H196,directed,3
ENVECON 197,ENVECON 197,directed,3
ENVECON 198,ENVECON 198,directed,3
ENVECON 199,ENVECON 199,directed,3
ENVECON 39D,ENVECON 39D,directed,3
ENVECON 98,ENVECON 98,directed,3
ENVECON C101,ENVECON C101,directed,3
ENVECON C102,ENVECON C102,directed,3
ENVECON C115,ENVECON C115,directed,3
ENVECON C118,ENVECON C118,directed,3
ENVECON 131,ENVECON 131,directed,3
ENVECON 140AC,ENVECON 140AC,directed,3
ENVECON 143,ENVECON 143,directed,3
ENVECON 147,ENVECON 147,directed,3
ENVECON C151,ENVECON C151,directed,3
ENVECON 153,ENVECON 153,directed,3
ENVECON 154,ENVECON 154,directed,3
ENVECON C175,ENVECON C175,directed,3
ENVECON C176,ENVECON C176,directed,3
ENVECON C181,ENVECON C181,directed,3
ENVECON C183,ENVECON C183,directed,3
ENVECON 195,ENVECON 195,directed,3
ENVECON 196,ENVECON 196,directed,3
ENVECON H196,ENVECON H196,directed,3
ENVECON 197,ENVECON 197,directed,3
ENVECON 198,ENVECON 198,directed,3
ENVECON 199,ENVECON 199,directed,3
ENVECON 39D,ENVECON 39D,directed,3
ENVECON 98,ENVECON 98,directed,3
ENVECON C101,ENVECON C101,directed,3
ENVECON C102,ENVECON C102,directed,3
ENVECON C115,ENVECON C115,directed,3
ENVECON C118,ENVECON C118,directed,3
ENVECON 131,ENVECON 131,directed,3
ENVECON 140AC,ENVECON 140AC,directed,3
ENVECON 143,ENVECON 143,directed,3
ENVECON 147,ENVECON 147,directed,3
ENVECON C151,ENVECON C151,directed,3
ENVECON 153,ENVECON 153,directed,3
ENVECON 154,ENVECON 154,directed,3
ENVECON C175,ENVECON C175,directed,3
ENVECON C176,ENVECON C176,directed,3
ENVECON C181,ENVECON C181,directed,3
ENVECON C183,ENVECON C183,directed,3
ENVECON 195,ENVECON 195,directed,3
ENVECON 196,ENVECON 196,directed,3
ENVECON H196,ENVECON H196,directed,3
ENVECON 197,ENVECON 197,directed,3
ENVECON 198,ENVECON 198,directed,3
ENVECON 199,ENVECON 199,directed,3
