source,target,type,weight
ETH STD 10AC,ETH STD 10AC,directed,3
ETH STD 11AC,ETH STD 11AC,directed,3
ETH STD 20AC,ETH STD 20AC,directed,3
ETH STD 21AC,ETH STD 21AC,directed,3
ETH STD 24,ETH STD 24,directed,3
ETH STD 39,ETH STD 39,directed,3
ETH STD 41AC,ETH STD 41AC,directed,3
ETH STD N41AC,ETH STD N41AC,directed,3
ETH STD C73AC,ETH STD C73AC,directed,3
ETH STD 97,ETH STD 97,directed,3
ETH STD 98,ETH STD 98,directed,3
ETH STD 98BC,ETH STD 98BC,directed,3
ETH STD 99,ETH STD 99,directed,3
ETH STD 100,ETH STD 100,directed,3
ETH STD N100,ETH STD N100,directed,3
ETH STD 101A,ETH STD 101A,directed,3
ETH STD 101B,ETH STD 101B,directed,3
ETH STD 103A,ETH STD 103A,directed,3
ETH STD 103B,ETH STD 103B,directed,3
ETH STD 103C,ETH STD 103C,directed,3
ETH STD 103E,ETH STD 103E,directed,3
ETH STD 122AC,ETH STD 122AC,directed,3
ETH STD 126,ETH STD 126,directed,3
ETH STD C126,ETH STD C126,directed,3
ETH STD 130,ETH STD 130,directed,3
ETH STD N130,ETH STD N130,directed,3
ETH STD 135,ETH STD 135,directed,3
ETH STD C135A,ETH STD C135A,directed,3
ETH STD 136,ETH STD 136,directed,3
ETH STD 141,ETH STD 141,directed,3
ETH STD 144AC,ETH STD 144AC,directed,3
ETH STD N144,ETH STD N144,directed,3
ETH STD 145,ETH STD 145,directed,3
ETH STD 147,ETH STD 147,directed,3
ETH STD 147AC,ETH STD 147AC,directed,3
ETH STD N147,ETH STD N147,directed,3
ETH STD 150,ETH STD 150,directed,3
ETH STD 159AC,ETH STD 159AC,directed,3
ETH STD 173AC,ETH STD 173AC,directed,3
ETH STD 174,ETH STD 174,directed,3
ETH STD 175,ETH STD 175,directed,3
ETH STD 176,ETH STD 176,directed,3
ETH STD 180,ETH STD 180,directed,3
ETH STD 180L,ETH STD 180L,directed,3
ETH STD N180,ETH STD N180,directed,3
ETH STD 181AC,ETH STD 181AC,directed,3
ETH STD C181,ETH STD C181,directed,3
ETH STD 182AC,ETH STD 182AC,directed,3
