name,size,about
ETH STD 10AC,1,"This course explores the role of ""race"" and ethnicity in the history of what be..."
ETH STD 11AC,1,"This explores the work of key theorists of race, ethnicity, and de-colonization..."
ETH STD 20AC,1,"The University, its relationship to corporate structures, legislative bodies, c..."
ETH STD 21AC,1,This survey course will examine the historical experiences of European immigran...
ETH STD 24,1,The Freshman Seminar Program has been designed to provide new students with the...
ETH STD 39,1,Freshman and sophomore seminars offer lower division students the opportunity t...
ETH STD 41AC,1,"An introductory, comparative, and interdisciplinary study of Native American, M..."
ETH STD N41AC,1,"An introductory, comparative, and interdisciplinary study of Native American, M..."
ETH STD C73AC,1,"This course examines the history of indigenous, aboriginal, native, or ""tribal""..."
ETH STD 97,1,Supervised community field study....
ETH STD 98,1,Group study of selected topics which will vary from semester to semester....
ETH STD 98BC,1,"Berkeley Connect is a mentoring program, offered through various academic depar..."
ETH STD 99,1,Individual research on a topic which will lead to the writing of major paper. R...
ETH STD 100,1,"Analysis of how selected works (poetry, short stories, novels, drama, and oral ..."
ETH STD N100,1,"Analysis of how selected works (poetry, short stories, novels, drama, and oral ..."
ETH STD 101A,1,The course provides an overview of social science methods used in ethnic studie...
ETH STD 101B,1,The course provides an introduction to basic theoretical approaches to the lite...
ETH STD 103A,1,"Designed primarily to give majors in Asian American studies, Chicano studies, L..."
ETH STD 103B,1,"Designed primarily to give majors in Asian American studies, Chicano studies, L..."
ETH STD 103C,1,"Designed primarily to give majors in Asian American studies, Chicano studies, L..."
ETH STD 103E,1,"Designed primarily to give majors in Asian American studies, Chicano studies, L..."
ETH STD 122AC,1,The depiction of race and ethnic relations in American films from the 1960s to ...
ETH STD 126,1,"Course focuses on the production of sexualities, sexual identification, and gen..."
ETH STD C126,1,"Course focuses on the production of sexualities, sexual identification, and gen..."
ETH STD 130,1,How and why did American society become racially and ethnically diverse? This c...
ETH STD N130,1,A comparative and historical study of racial inequality from 1600 to the presen...
ETH STD 135,1,"The myth, reality and history of U.S. immigration. This course discusses issues..."
ETH STD C135A,1,This course is designed to allow students to delve into the topic of migration ...
ETH STD 136,1,Examines patterns of women's immigration to the U.S. in specific socio-historic...
ETH STD 141,1,A critical and comparative analysis of contemporary politics and issues affecti...
ETH STD 144AC,1,"Intensive histori-legal survey of racism in the United States, exploring the le..."
