name,size,about
FILM R1A,1,Rhetorical approach to reading and writing argumentative discourse with a film ...
FILM R1B,1,"Intensive argumentative writing stimulated through selected readings, films, an..."
FILM R1A,1,Rhetorical approach to reading and writing argumentative discourse with a film ...
FILM R1B,1,"Intensive argumentative writing stimulated through selected readings, films, an..."
FILM R1A,1,Rhetorical approach to reading and writing argumentative discourse with a film ...
FILM R1B,1,"Intensive argumentative writing stimulated through selected readings, films, an..."
FILM R1A,1,Rhetorical approach to reading and writing argumentative discourse with a film ...
FILM R1B,1,"Intensive argumentative writing stimulated through selected readings, films, an..."
FILM R1A,1,Rhetorical approach to reading and writing argumentative discourse with a film ...
FILM R1B,1,"Intensive argumentative writing stimulated through selected readings, films, an..."
