source,target,type,weight
FILM 10,FILM 10,directed,3
FILM 20,FILM 20,directed,3
FILM 30,FILM 30,directed,3
FILM 35,FILM 35,directed,3
FILM 39,FILM 39,directed,3
FILM 45,FILM 45,directed,3
FILM 50,FILM 50,directed,3
FILM 75,FILM 75,directed,3
FILM 84,FILM 84,directed,3
FILM 98,FILM 98,directed,3
FILM 108,FILM 108,directed,3
FILM C115,FILM C115,directed,3
FILM 125,FILM 125,directed,3
FILM 135,FILM 135,directed,3
FILM 140AC,FILM 140AC,directed,3
FILM 145,FILM 145,directed,3
FILM 155,FILM 155,directed,3
FILM 160,FILM 160,directed,3
FILM 170,FILM 170,directed,3
FILM 176,FILM 176,directed,3
FILM 177,FILM 177,directed,3
FILM 178,FILM 178,directed,3
FILM 179,FILM 179,directed,3
FILM 180,FILM 180,directed,3
FILM 181,FILM 181,directed,3
FILM 182,FILM 182,directed,3
FILM 184,FILM 184,directed,3
FILM 185,FILM 185,directed,3
FILM 186,FILM 186,directed,3
FILM 187,FILM 187,directed,3
FILM 190,FILM 190,directed,3
FILM 194,FILM 194,directed,3
FILM H195,FILM H195,directed,3
FILM 197A,FILM 197A,directed,3
FILM 197B,FILM 197B,directed,3
FILM 197C,FILM 197C,directed,3
FILM 10,FILM 10,directed,3
FILM 20,FILM 20,directed,3
FILM 30,FILM 30,directed,3
FILM 35,FILM 35,directed,3
FILM 39,FILM 39,directed,3
FILM 45,FILM 45,directed,3
FILM 50,FILM 50,directed,3
FILM 75,FILM 75,directed,3
FILM 84,FILM 84,directed,3
FILM 98,FILM 98,directed,3
FILM 108,FILM 108,directed,3
FILM C115,FILM C115,directed,3
FILM 125,FILM 125,directed,3
FILM 135,FILM 135,directed,3
FILM 140AC,FILM 140AC,directed,3
FILM 145,FILM 145,directed,3
FILM 155,FILM 155,directed,3
FILM 160,FILM 160,directed,3
FILM 170,FILM 170,directed,3
FILM 176,FILM 176,directed,3
FILM 177,FILM 177,directed,3
FILM 178,FILM 178,directed,3
FILM 179,FILM 179,directed,3
FILM 180,FILM 180,directed,3
FILM 181,FILM 181,directed,3
FILM 182,FILM 182,directed,3
FILM 184,FILM 184,directed,3
FILM 185,FILM 185,directed,3
FILM 186,FILM 186,directed,3
FILM 187,FILM 187,directed,3
FILM 190,FILM 190,directed,3
FILM 194,FILM 194,directed,3
FILM H195,FILM H195,directed,3
FILM 197A,FILM 197A,directed,3
FILM 197B,FILM 197B,directed,3
FILM 197C,FILM 197C,directed,3
FILM 10,FILM 10,directed,3
FILM 20,FILM 20,directed,3
FILM 30,FILM 30,directed,3
FILM 35,FILM 35,directed,3
FILM 39,FILM 39,directed,3
FILM 45,FILM 45,directed,3
FILM 50,FILM 50,directed,3
FILM 75,FILM 75,directed,3
FILM 84,FILM 84,directed,3
FILM 98,FILM 98,directed,3
FILM 108,FILM 108,directed,3
FILM C115,FILM C115,directed,3
FILM 125,FILM 125,directed,3
FILM 135,FILM 135,directed,3
FILM 140AC,FILM 140AC,directed,3
FILM 145,FILM 145,directed,3
FILM 155,FILM 155,directed,3
FILM 160,FILM 160,directed,3
FILM 170,FILM 170,directed,3
FILM 176,FILM 176,directed,3
FILM 177,FILM 177,directed,3
FILM 178,FILM 178,directed,3
FILM 179,FILM 179,directed,3
FILM 180,FILM 180,directed,3
FILM 181,FILM 181,directed,3
FILM 182,FILM 182,directed,3
FILM 184,FILM 184,directed,3
FILM 185,FILM 185,directed,3
FILM 186,FILM 186,directed,3
FILM 187,FILM 187,directed,3
FILM 190,FILM 190,directed,3
FILM 194,FILM 194,directed,3
FILM H195,FILM H195,directed,3
FILM 197A,FILM 197A,directed,3
FILM 197B,FILM 197B,directed,3
FILM 197C,FILM 197C,directed,3
FILM 10,FILM 10,directed,3
FILM 20,FILM 20,directed,3
FILM 30,FILM 30,directed,3
FILM 35,FILM 35,directed,3
FILM 39,FILM 39,directed,3
FILM 45,FILM 45,directed,3
FILM 50,FILM 50,directed,3
FILM 75,FILM 75,directed,3
FILM 84,FILM 84,directed,3
FILM 98,FILM 98,directed,3
FILM 108,FILM 108,directed,3
FILM C115,FILM C115,directed,3
FILM 125,FILM 125,directed,3
FILM 135,FILM 135,directed,3
FILM 140AC,FILM 140AC,directed,3
FILM 145,FILM 145,directed,3
FILM 155,FILM 155,directed,3
FILM 160,FILM 160,directed,3
FILM 170,FILM 170,directed,3
FILM 176,FILM 176,directed,3
