source,target,type,weight
FRENCH R1A,FRENCH R1A,directed,3
FRENCH R1B,FRENCH R1B,directed,3
FRENCH 24,FRENCH 24,directed,3
FRENCH 40,FRENCH 40,directed,3
FRENCH 42AC,FRENCH 42AC,directed,3
FRENCH 43A,FRENCH 43A,directed,3
FRENCH 43B,FRENCH 43B,directed,3
FRENCH 80,FRENCH 80,directed,3
FRENCH 138,FRENCH 138,directed,3
FRENCH 140A,FRENCH 140A,directed,3
FRENCH 140B,FRENCH 140B,directed,3
FRENCH 140C,FRENCH 140C,directed,3
FRENCH 140D,FRENCH 140D,directed,3
FRENCH 142AC,FRENCH 142AC,directed,3
FRENCH 147,FRENCH 147,directed,3
FRENCH H195A,FRENCH H195A,directed,3
FRENCH H195B,FRENCH H195B,directed,3
FRENCH 197,FRENCH 197,directed,3
FRENCH 198,FRENCH 198,directed,3
FRENCH 199,FRENCH 199,directed,3
FRENCH R1A,FRENCH R1A,directed,3
FRENCH R1B,FRENCH R1B,directed,3
FRENCH 24,FRENCH 24,directed,3
FRENCH 40,FRENCH 40,directed,3
FRENCH 42AC,FRENCH 42AC,directed,3
FRENCH 43A,FRENCH 43A,directed,3
FRENCH 43B,FRENCH 43B,directed,3
FRENCH 80,FRENCH 80,directed,3
FRENCH 138,FRENCH 138,directed,3
FRENCH 140A,FRENCH 140A,directed,3
FRENCH 140B,FRENCH 140B,directed,3
FRENCH 140C,FRENCH 140C,directed,3
FRENCH 140D,FRENCH 140D,directed,3
FRENCH 142AC,FRENCH 142AC,directed,3
FRENCH 147,FRENCH 147,directed,3
FRENCH H195A,FRENCH H195A,directed,3
FRENCH H195B,FRENCH H195B,directed,3
FRENCH 197,FRENCH 197,directed,3
FRENCH 198,FRENCH 198,directed,3
FRENCH 199,FRENCH 199,directed,3
FRENCH R1A,FRENCH R1A,directed,3
FRENCH R1B,FRENCH R1B,directed,3
FRENCH 24,FRENCH 24,directed,3
FRENCH 40,FRENCH 40,directed,3
FRENCH 42AC,FRENCH 42AC,directed,3
FRENCH 43A,FRENCH 43A,directed,3
FRENCH 43B,FRENCH 43B,directed,3
FRENCH 80,FRENCH 80,directed,3
FRENCH 138,FRENCH 138,directed,3
FRENCH 140A,FRENCH 140A,directed,3
FRENCH 140B,FRENCH 140B,directed,3
FRENCH 140C,FRENCH 140C,directed,3
FRENCH 140D,FRENCH 140D,directed,3
FRENCH 142AC,FRENCH 142AC,directed,3
FRENCH 147,FRENCH 147,directed,3
FRENCH H195A,FRENCH H195A,directed,3
FRENCH H195B,FRENCH H195B,directed,3
FRENCH 197,FRENCH 197,directed,3
FRENCH 198,FRENCH 198,directed,3
FRENCH 199,FRENCH 199,directed,3
FRENCH R1A,FRENCH R1A,directed,3
FRENCH R1B,FRENCH R1B,directed,3
FRENCH 24,FRENCH 24,directed,3
FRENCH 40,FRENCH 40,directed,3
FRENCH 42AC,FRENCH 42AC,directed,3
FRENCH 43A,FRENCH 43A,directed,3
FRENCH 43B,FRENCH 43B,directed,3
FRENCH 80,FRENCH 80,directed,3
FRENCH 138,FRENCH 138,directed,3
FRENCH 140A,FRENCH 140A,directed,3
FRENCH 140B,FRENCH 140B,directed,3
FRENCH 140C,FRENCH 140C,directed,3
FRENCH 140D,FRENCH 140D,directed,3
FRENCH 142AC,FRENCH 142AC,directed,3
FRENCH 147,FRENCH 147,directed,3
FRENCH H195A,FRENCH H195A,directed,3
FRENCH H195B,FRENCH H195B,directed,3
FRENCH 197,FRENCH 197,directed,3
FRENCH 198,FRENCH 198,directed,3
FRENCH 199,FRENCH 199,directed,3
FRENCH R1A,FRENCH R1A,directed,3
FRENCH R1B,FRENCH R1B,directed,3
FRENCH 24,FRENCH 24,directed,3
FRENCH 40,FRENCH 40,directed,3
FRENCH 42AC,FRENCH 42AC,directed,3
FRENCH 43A,FRENCH 43A,directed,3
FRENCH 43B,FRENCH 43B,directed,3
FRENCH 80,FRENCH 80,directed,3
FRENCH 138,FRENCH 138,directed,3
FRENCH 140A,FRENCH 140A,directed,3
FRENCH 140B,FRENCH 140B,directed,3
FRENCH 140C,FRENCH 140C,directed,3
FRENCH 140D,FRENCH 140D,directed,3
FRENCH 142AC,FRENCH 142AC,directed,3
FRENCH 147,FRENCH 147,directed,3
FRENCH H195A,FRENCH H195A,directed,3
FRENCH H195B,FRENCH H195B,directed,3
FRENCH 197,FRENCH 197,directed,3
FRENCH 198,FRENCH 198,directed,3
FRENCH 199,FRENCH 199,directed,3
