source,target,type,weight
FRENCH 1,FRENCH 2,directed,3
FRENCH 2,FRENCH 3,directed,3
FRENCH 3,FRENCH 4,directed,3
FRENCH 2,FRENCH 13,directed,3
FRENCH 2,FRENCH N13,directed,3
FRENCH 3,FRENCH 14,directed,3
FRENCH 13,FRENCH 14,directed,3
FRENCH 3,FRENCH N14,directed,3
FRENCH 3,FRENCH 35,directed,3
FRENCH 4,FRENCH 102,directed,3
FRENCH 102,FRENCH 103A,directed,3
FRENCH 102,FRENCH 103B,directed,3
FRENCH 102,FRENCH 112A,directed,3
FRENCH 102,FRENCH 112B,directed,3
FRENCH 102,FRENCH 114A,directed,3
FRENCH 102,FRENCH 116A,directed,3
FRENCH 102,FRENCH 117A,directed,3
FRENCH 102,FRENCH 117B,directed,3
FRENCH 102,FRENCH 118A,directed,3
FRENCH 102,FRENCH 118B,directed,3
FRENCH 102,FRENCH 119A,directed,3
FRENCH 102,FRENCH 119B,directed,3
FRENCH 102,FRENCH 120A,directed,3
FRENCH 102,FRENCH 120B,directed,3
FRENCH 102,FRENCH 121A,directed,3
FRENCH 102,FRENCH 121B,directed,3
FRENCH 102,FRENCH 122A,directed,3
FRENCH 102,FRENCH 122B,directed,3
FRENCH 102,FRENCH 123,directed,3
FRENCH 102,FRENCH 124A,directed,3
FRENCH 102,FRENCH 125A,directed,3
FRENCH 102,FRENCH 126,directed,3
FRENCH 102,FRENCH 139,directed,3
FRENCH 102,FRENCH 141,directed,3
FRENCH 102,FRENCH 145,directed,3
FRENCH 102,FRENCH 146A,directed,3
FRENCH 102,FRENCH 148,directed,3
FRENCH 102,FRENCH 150A,directed,3
FRENCH 102,FRENCH 150B,directed,3
FRENCH 102,FRENCH 151A,directed,3
FRENCH 102,FRENCH 151B,directed,3
FRENCH 102,FRENCH 161A,directed,3
FRENCH 102,FRENCH 161B,directed,3
FRENCH 102,FRENCH 162A,directed,3
FRENCH 102,FRENCH 162B,directed,3
FRENCH 102,FRENCH 170,directed,3
FRENCH 102,FRENCH 171A,directed,3
FRENCH 102,FRENCH 171B,directed,3
FRENCH 102,FRENCH 172A,directed,3
FRENCH 102,FRENCH 173,directed,3
FRENCH 102,FRENCH 174,directed,3
FRENCH 102,FRENCH 175A,directed,3
FRENCH 102,FRENCH 176,directed,3
FRENCH 102,FRENCH 177A,directed,3
FRENCH 170,FRENCH 177A,directed,3
FRENCH 102,FRENCH 177B,directed,3
FRENCH 170,FRENCH 177B,directed,3
FRENCH 102,FRENCH 178A,directed,3
FRENCH 170,FRENCH 178A,directed,3
FRENCH 102,FRENCH 178B,directed,3
FRENCH 170,FRENCH 178B,directed,3
FRENCH 102,FRENCH 180A,directed,3
FRENCH 102,FRENCH 180B,directed,3
FRENCH 102,FRENCH 180C,directed,3
FRENCH 102,FRENCH 180D,directed,3
FRENCH 102,FRENCH 183A,directed,3
FRENCH 102,FRENCH 183B,directed,3
FRENCH 102,FRENCH 185,directed,3
FRENCH 1,FRENCH 2,directed,3
FRENCH 2,FRENCH 3,directed,3
FRENCH 3,FRENCH 4,directed,3
FRENCH 2,FRENCH 13,directed,3
FRENCH 2,FRENCH N13,directed,3
FRENCH 3,FRENCH 14,directed,3
FRENCH 13,FRENCH 14,directed,3
FRENCH 3,FRENCH N14,directed,3
FRENCH 3,FRENCH 35,directed,3
FRENCH 4,FRENCH 102,directed,3
FRENCH 102,FRENCH 103A,directed,3
FRENCH 102,FRENCH 103B,directed,3
FRENCH 102,FRENCH 112A,directed,3
FRENCH 102,FRENCH 112B,directed,3
FRENCH 102,FRENCH 114A,directed,3
FRENCH 102,FRENCH 116A,directed,3
FRENCH 102,FRENCH 117A,directed,3
FRENCH 102,FRENCH 117B,directed,3
FRENCH 102,FRENCH 118A,directed,3
FRENCH 102,FRENCH 118B,directed,3
FRENCH 102,FRENCH 119A,directed,3
FRENCH 102,FRENCH 119B,directed,3
FRENCH 102,FRENCH 120A,directed,3
FRENCH 102,FRENCH 120B,directed,3
FRENCH 102,FRENCH 121A,directed,3
FRENCH 102,FRENCH 121B,directed,3
FRENCH 102,FRENCH 122A,directed,3
FRENCH 102,FRENCH 122B,directed,3
FRENCH 102,FRENCH 123,directed,3
FRENCH 102,FRENCH 124A,directed,3
FRENCH 102,FRENCH 125A,directed,3
FRENCH 102,FRENCH 126,directed,3
FRENCH 102,FRENCH 139,directed,3
FRENCH 102,FRENCH 141,directed,3
FRENCH 102,FRENCH 145,directed,3
FRENCH 102,FRENCH 146A,directed,3
FRENCH 102,FRENCH 148,directed,3
FRENCH 102,FRENCH 150A,directed,3
FRENCH 102,FRENCH 150B,directed,3
FRENCH 102,FRENCH 151A,directed,3
FRENCH 102,FRENCH 151B,directed,3
FRENCH 102,FRENCH 161A,directed,3
FRENCH 102,FRENCH 161B,directed,3
FRENCH 102,FRENCH 162A,directed,3
FRENCH 102,FRENCH 162B,directed,3
FRENCH 102,FRENCH 170,directed,3
FRENCH 102,FRENCH 171A,directed,3
FRENCH 102,FRENCH 171B,directed,3
FRENCH 102,FRENCH 172A,directed,3
FRENCH 102,FRENCH 173,directed,3
FRENCH 102,FRENCH 174,directed,3
FRENCH 102,FRENCH 175A,directed,3
FRENCH 102,FRENCH 176,directed,3
FRENCH 102,FRENCH 177A,directed,3
FRENCH 170,FRENCH 177A,directed,3
FRENCH 102,FRENCH 177B,directed,3
FRENCH 170,FRENCH 177B,directed,3
FRENCH 102,FRENCH 178A,directed,3
FRENCH 170,FRENCH 178A,directed,3
FRENCH 102,FRENCH 178B,directed,3
