name,size,about
GWS N1B,1,Training and instruction in expository writing in conjunction with reading lite...
GWS R1B,1,Training and instruction in expository writing in conjunction with reading lite...
GWS 14,1,"The production of gender, sexuality, and processes of racialization in contempo..."
GWS 24,1,The Freshman and Sophomore Seminars program has been designed to provide new st...
GWS 39A,1,Freshman and sophomore seminars offer lower division students the opportunity t...
GWS 40,1,"The findings of feminist scholarship as they apply to a particular problem, fie..."
GWS 50AC,1,A multi-disciplinary course designed to provide students with an opportunity to...
GWS 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
GWS 97,1,Internship Program: Field work in an organization concerned with women's issues...
GWS 98,1,Seminars for the group study of selected topics not covered by regularly schedu...
GWS 99,1,Individual research by lower division students only....
GWS 100AC,1,This course is designed to provide students with an opportunity to work with fa...
GWS 102,1,"An overview of transnational feminist theories and practices, which address the..."
GWS 111,1,This course is designed to provide students with an opportunity to work closely...
GWS 115,1,This class provides students the opportunity to do supervised community service...
GWS 116AC,1,This class will examine various forms of activist practices and create possibil...
GWS 120,1,This course will survey the history of women in the United States from approxim...
GWS 126,1,Focusing on the creative process while engaging in critical debates on politics...
GWS 129,1,Examines gender and embodiment in interdisciplinary transnational perspective. ...
GWS 130AC,1,"Examines the role of gender in health care status, in definitions and experienc..."
GWS 131,1,"Examines historical and contemporary scientific studies of gender, sexuality, c..."
GWS 132AC,1,"Focusing on the interconnected ways that race, gender, and sexuality are constr..."
GWS 133AC,1,"Explores various ways that human groups and interests, particularly in the Unit..."
GWS 134,1,"Explores gender and age as interrelated dimensions of social structure, meaning..."
GWS C138,1,The 21st century has seen powerful critiques of both growing economic inequalit...
GWS 139,1,"This course uses gender as a lens to examine the nature, meaning, and organizat..."
GWS 140,1,This course introduces students to the interdisciplinary field of feminist cult...
GWS 141,1,"An introduction to women and gender in ""development."" Addresses theories of ""de..."
GWS 142,1,Examines differences and similarities in women's lives in the Muslim/Arab world...
GWS 143,1,This course examines new patterns of inequality as they relate to the feminizat...
GWS 144,1,"This course engages with contemporary narrations produced by and about lesbian,..."
GWS C146A,1,This course examines modern literary cultures that construct ways of seeing div...
GWS C146B,1,This course examines modern visual cultures that construct ways of seeing diver...
GWS 155,1,"What economic, social, and cultural forces impel women to migrate and shape the..."
GWS H195,1,Entails writing a bachelor's honors thesis pertaining to the student's major in...
GWS C196W,1,Students work in selected internship programs approved in advance by the facult...
GWS 197,1,Internship Program: Field work in an organization concerned with women's issues...
GWS 198,1,Seminars for group study of selected topics not covered by regularly scheduled ...
GWS 199,1,Reading and conference with the instructor in a field that does not coincide wi...
LGBT 20AC,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
LGBT 98,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013..."
LGBT 100,1,"Terms offered: Fall 2016, Fall 2015, Spring 2015..."
LGBT 145,1,"Terms offered: Spring 2020, Spring 2019, Fall 2016..."
LGBT 146,1,"Terms offered: Spring 2018, Spring 2017, Spring 2016..."
LGBT C146A,1,"Terms offered: Fall 2018, Fall 2017, Fall 2016..."
LGBT C146B,1,"Terms offered: Spring 2020, Spring 2014..."
LGBT C147B,1,"Terms offered: Fall 2019, Spring 2019, Spring 2015, Fall 2013..."
LGBT C148,1,"Terms offered: Spring 2016, Spring 2015, Spring 2011..."
LGBT 198,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013..."
GWS N1B,1,Training and instruction in expository writing in conjunction with reading lite...
GWS R1B,1,Training and instruction in expository writing in conjunction with reading lite...
GWS 14,1,"The production of gender, sexuality, and processes of racialization in contempo..."
GWS 24,1,The Freshman and Sophomore Seminars program has been designed to provide new st...
GWS 39A,1,Freshman and sophomore seminars offer lower division students the opportunity t...
GWS 40,1,"The findings of feminist scholarship as they apply to a particular problem, fie..."
GWS 50AC,1,A multi-disciplinary course designed to provide students with an opportunity to...
GWS 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
GWS 97,1,Internship Program: Field work in an organization concerned with women's issues...
GWS 98,1,Seminars for the group study of selected topics not covered by regularly schedu...
