source,target,type,weight
PLANTBI 120L,PLANTBI 120,directed,3
PLANTBI 120,PLANTBI 120L,directed,3
PLANTBI 20,PLANTBI 165,directed,3
PLANTBI 120L,PLANTBI 120,directed,3
PLANTBI 120,PLANTBI 120L,directed,3
PLANTBI 20,PLANTBI 165,directed,3
PLANTBI 120L,PLANTBI 120,directed,3
PLANTBI 120,PLANTBI 120L,directed,3
PLANTBI 20,PLANTBI 165,directed,3
PLANTBI 120L,PLANTBI 120,directed,3
PLANTBI 120,PLANTBI 120L,directed,3
PLANTBI 20,PLANTBI 165,directed,3
PLANTBI 120L,PLANTBI 120,directed,3
PLANTBI 120,PLANTBI 120L,directed,3
PLANTBI 20,PLANTBI 165,directed,3
