source,target,type,weight
GEOG 20,GEOG 110,directed,3
GEOG 140A,GEOG 140B,directed,3
GEOG 149A,GEOG 149B,directed,3
GEOG 20,GEOG 110,directed,3
GEOG 140A,GEOG 140B,directed,3
GEOG 149A,GEOG 149B,directed,3
GEOG 20,GEOG 110,directed,3
GEOG 140A,GEOG 140B,directed,3
GEOG 149A,GEOG 149B,directed,3
GEOG 20,GEOG 110,directed,3
GEOG 140A,GEOG 140B,directed,3
GEOG 149A,GEOG 149B,directed,3
GEOG 20,GEOG 110,directed,3
GEOG 140A,GEOG 140B,directed,3
GEOG 149A,GEOG 149B,directed,3
GEOG N1,GEOG N1,directed,3
GEOG 4,GEOG 4,directed,3
GEOG N4,GEOG N4,directed,3
GEOG 10,GEOG 10,directed,3
GEOG 10AC,GEOG 10AC,directed,3
GEOG N20,GEOG N20,directed,3
GEOG 24,GEOG 24,directed,3
GEOG 31,GEOG 31,directed,3
GEOG C32,GEOG C32,directed,3
GEOG 35,GEOG 35,directed,3
GEOG 37,GEOG 37,directed,3
GEOG 40,GEOG 40,directed,3
GEOG 50AC,GEOG 50AC,directed,3
GEOG N50AC,GEOG N50AC,directed,3
GEOG C55,GEOG C55,directed,3
GEOG 70AC,GEOG 70AC,directed,3
GEOG 80,GEOG 80,directed,3
GEOG N80,GEOG N80,directed,3
GEOG 88,GEOG 88,directed,3
GEOG 98,GEOG 98,directed,3
GEOG 100,GEOG 100,directed,3
GEOG C112,GEOG C112,directed,3
GEOG 123,GEOG 123,directed,3
GEOG 124,GEOG 124,directed,3
GEOG 125,GEOG 125,directed,3
GEOG 129,GEOG 129,directed,3
GEOG 130,GEOG 130,directed,3
GEOG N130,GEOG N130,directed,3
GEOG C135,GEOG C135,directed,3
GEOG C136,GEOG C136,directed,3
GEOG 137,GEOG 137,directed,3
GEOG 138,GEOG 138,directed,3
GEOG C139,GEOG C139,directed,3
GEOG 142,GEOG 142,directed,3
GEOG 143,GEOG 143,directed,3
GEOG 144,GEOG 144,directed,3
GEOG C145,GEOG C145,directed,3
GEOG C146,GEOG C146,directed,3
GEOG 147,GEOG 147,directed,3
GEOG C148,GEOG C148,directed,3
GEOG C155,GEOG C155,directed,3
GEOG 157,GEOG 157,directed,3
GEOG C157,GEOG C157,directed,3
GEOG 159AC,GEOG 159AC,directed,3
GEOG 160,GEOG 160,directed,3
GEOG 160B,GEOG 160B,directed,3
GEOG C160A,GEOG C160A,directed,3
GEOG C160B,GEOG C160B,directed,3
GEOG 164,GEOG 164,directed,3
GEOG 167AC,GEOG 167AC,directed,3
GEOG 170,GEOG 170,directed,3
GEOG 171,GEOG 171,directed,3
GEOG 172,GEOG 172,directed,3
GEOG 173A,GEOG 173A,directed,3
GEOG 175,GEOG 175,directed,3
GEOG C179A,GEOG C179A,directed,3
GEOG C179B,GEOG C179B,directed,3
GEOG 180,GEOG 180,directed,3
GEOG 181,GEOG 181,directed,3
GEOG 182,GEOG 182,directed,3
GEOG 183,GEOG 183,directed,3
GEOG 185,GEOG 185,directed,3
GEOG 186,GEOG 186,directed,3
GEOG 187,GEOG 187,directed,3
GEOG C188,GEOG C188,directed,3
GEOG H195A,GEOG H195A,directed,3
GEOG H195B,GEOG H195B,directed,3
GEOG 197,GEOG 197,directed,3
GEOG 198,GEOG 198,directed,3
GEOG 199,GEOG 199,directed,3
GEOG N1,GEOG N1,directed,3
GEOG 4,GEOG 4,directed,3
GEOG N4,GEOG N4,directed,3
GEOG 10,GEOG 10,directed,3
GEOG 10AC,GEOG 10AC,directed,3
GEOG N20,GEOG N20,directed,3
GEOG 24,GEOG 24,directed,3
GEOG 31,GEOG 31,directed,3
