name,size,about
EPS 50,1,An introduction to the physical and chemical processes that have shaped the ear...
EPS 101,1,"Geological mapping, field observation, and problem-solving in the Berkeley hill..."
EPS 102,1,Formation and evolution of the earth. Nucleosynthesis; formation of the solar s...
EPS 104,1,"Linear systems. Linear inverse problems, least squares; generalized inverse, re..."
EPS 116,1,Introduction to the geometry and mechanics of brittle and ductile geologic stru...
EPS 118,1,"Advanced geological mapping, intensive field observation, and problem solving i..."
EPS 119,1,Two to four weekend field trips to localities of geological interest....
EPS 130,1,Generation of seismic waves. Synthetic accelerograms. Instrumentation to measur...
EPS C182,1,"Fluid dynamics, radiative transfer, and the kinetics, spectroscopy, and measure..."
EPS 204,1,Wave propagation in elastic solids; effects of anelasticity and anistropy; repr...
EPS 207,1,"Group problem solving of current seismological topics. Analysis, inversion, and..."
EPS 210,1,"Overview of geological, petrological, and geochemical analysis of ore forming p..."
EPS 216,1,This course is a graduate course designed to introduce students in the earth sc...
EPS 271,1,"Geological mapping, field observation, and problem solving in the Berkeley hill..."
EPS 50,1,An introduction to the physical and chemical processes that have shaped the ear...
EPS 101,1,"Geological mapping, field observation, and problem-solving in the Berkeley hill..."
EPS 102,1,Formation and evolution of the earth. Nucleosynthesis; formation of the solar s...
EPS 104,1,"Linear systems. Linear inverse problems, least squares; generalized inverse, re..."
EPS 116,1,Introduction to the geometry and mechanics of brittle and ductile geologic stru...
EPS 118,1,"Advanced geological mapping, intensive field observation, and problem solving i..."
EPS 119,1,Two to four weekend field trips to localities of geological interest....
EPS 130,1,Generation of seismic waves. Synthetic accelerograms. Instrumentation to measur...
EPS C182,1,"Fluid dynamics, radiative transfer, and the kinetics, spectroscopy, and measure..."
EPS 204,1,Wave propagation in elastic solids; effects of anelasticity and anistropy; repr...
EPS 207,1,"Group problem solving of current seismological topics. Analysis, inversion, and..."
EPS 210,1,"Overview of geological, petrological, and geochemical analysis of ore forming p..."
EPS 216,1,This course is a graduate course designed to introduce students in the earth sc...
EPS 271,1,"Geological mapping, field observation, and problem solving in the Berkeley hill..."
EPS 50,1,An introduction to the physical and chemical processes that have shaped the ear...
EPS 101,1,"Geological mapping, field observation, and problem-solving in the Berkeley hill..."
EPS 102,1,Formation and evolution of the earth. Nucleosynthesis; formation of the solar s...
EPS 104,1,"Linear systems. Linear inverse problems, least squares; generalized inverse, re..."
EPS 116,1,Introduction to the geometry and mechanics of brittle and ductile geologic stru...
EPS 118,1,"Advanced geological mapping, intensive field observation, and problem solving i..."
EPS 119,1,Two to four weekend field trips to localities of geological interest....
EPS 130,1,Generation of seismic waves. Synthetic accelerograms. Instrumentation to measur...
EPS C182,1,"Fluid dynamics, radiative transfer, and the kinetics, spectroscopy, and measure..."
EPS 204,1,Wave propagation in elastic solids; effects of anelasticity and anistropy; repr...
EPS 207,1,"Group problem solving of current seismological topics. Analysis, inversion, and..."
EPS 210,1,"Overview of geological, petrological, and geochemical analysis of ore forming p..."
EPS 216,1,This course is a graduate course designed to introduce students in the earth sc...
EPS 271,1,"Geological mapping, field observation, and problem solving in the Berkeley hill..."
EPS 50,1,An introduction to the physical and chemical processes that have shaped the ear...
EPS 101,1,"Geological mapping, field observation, and problem-solving in the Berkeley hill..."
EPS 102,1,Formation and evolution of the earth. Nucleosynthesis; formation of the solar s...
EPS 104,1,"Linear systems. Linear inverse problems, least squares; generalized inverse, re..."
EPS 116,1,Introduction to the geometry and mechanics of brittle and ductile geologic stru...
EPS 118,1,"Advanced geological mapping, intensive field observation, and problem solving i..."
EPS 119,1,Two to four weekend field trips to localities of geological interest....
EPS 130,1,Generation of seismic waves. Synthetic accelerograms. Instrumentation to measur...
EPS C182,1,"Fluid dynamics, radiative transfer, and the kinetics, spectroscopy, and measure..."
EPS 204,1,Wave propagation in elastic solids; effects of anelasticity and anistropy; repr...
EPS 207,1,"Group problem solving of current seismological topics. Analysis, inversion, and..."
EPS 210,1,"Overview of geological, petrological, and geochemical analysis of ore forming p..."
EPS 216,1,This course is a graduate course designed to introduce students in the earth sc...
EPS 271,1,"Geological mapping, field observation, and problem solving in the Berkeley hill..."
EPS 50,1,An introduction to the physical and chemical processes that have shaped the ear...
EPS 101,1,"Geological mapping, field observation, and problem-solving in the Berkeley hill..."
EPS 102,1,Formation and evolution of the earth. Nucleosynthesis; formation of the solar s...
EPS 104,1,"Linear systems. Linear inverse problems, least squares; generalized inverse, re..."
EPS 116,1,Introduction to the geometry and mechanics of brittle and ductile geologic stru...
EPS 118,1,"Advanced geological mapping, intensive field observation, and problem solving i..."
EPS 119,1,Two to four weekend field trips to localities of geological interest....
EPS 130,1,Generation of seismic waves. Synthetic accelerograms. Instrumentation to measur...
EPS C182,1,"Fluid dynamics, radiative transfer, and the kinetics, spectroscopy, and measure..."
EPS 204,1,Wave propagation in elastic solids; effects of anelasticity and anistropy; repr...
EPS 207,1,"Group problem solving of current seismological topics. Analysis, inversion, and..."
EPS 210,1,"Overview of geological, petrological, and geochemical analysis of ore forming p..."
EPS 216,1,This course is a graduate course designed to introduce students in the earth sc...
EPS 271,1,"Geological mapping, field observation, and problem solving in the Berkeley hill..."
