source,target,type,weight
GERMAN 1,GERMAN 2,directed,3
GERMAN 1G,GERMAN 2G,directed,3
GERMAN 2,GERMAN 3,directed,3
GERMAN 3,GERMAN 4,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 4,GERMAN 40,directed,3
GERMAN 4,GERMAN 41,directed,3
GERMAN 4,GERMAN 101,directed,3
GERMAN 4,GERMAN 102A,directed,3
GERMAN 100,GERMAN 113,directed,3
GERMAN 101,GERMAN 113,directed,3
GERMAN 100,GERMAN 175B,directed,3
GERMAN H196B,GERMAN H196A,directed,3
GERMAN H196A,GERMAN H196B,directed,3
GERMAN 1,GERMAN 2,directed,3
GERMAN 1G,GERMAN 2G,directed,3
GERMAN 2,GERMAN 3,directed,3
GERMAN 3,GERMAN 4,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 4,GERMAN 40,directed,3
GERMAN 4,GERMAN 41,directed,3
GERMAN 4,GERMAN 101,directed,3
GERMAN 4,GERMAN 102A,directed,3
GERMAN 100,GERMAN 113,directed,3
GERMAN 101,GERMAN 113,directed,3
GERMAN 100,GERMAN 175B,directed,3
GERMAN H196B,GERMAN H196A,directed,3
GERMAN H196A,GERMAN H196B,directed,3
GERMAN 1,GERMAN 2,directed,3
GERMAN 1G,GERMAN 2G,directed,3
GERMAN 2,GERMAN 3,directed,3
GERMAN 3,GERMAN 4,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 4,GERMAN 40,directed,3
GERMAN 4,GERMAN 41,directed,3
GERMAN 4,GERMAN 101,directed,3
GERMAN 4,GERMAN 102A,directed,3
GERMAN 100,GERMAN 113,directed,3
GERMAN 101,GERMAN 113,directed,3
GERMAN 100,GERMAN 175B,directed,3
GERMAN H196B,GERMAN H196A,directed,3
GERMAN H196A,GERMAN H196B,directed,3
GERMAN 1,GERMAN 2,directed,3
GERMAN 1G,GERMAN 2G,directed,3
GERMAN 2,GERMAN 3,directed,3
GERMAN 3,GERMAN 4,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 4,GERMAN 40,directed,3
GERMAN 4,GERMAN 41,directed,3
GERMAN 4,GERMAN 101,directed,3
GERMAN 4,GERMAN 102A,directed,3
GERMAN 100,GERMAN 113,directed,3
GERMAN 101,GERMAN 113,directed,3
GERMAN 100,GERMAN 175B,directed,3
GERMAN H196B,GERMAN H196A,directed,3
GERMAN H196A,GERMAN H196B,directed,3
GERMAN 1,GERMAN 2,directed,3
GERMAN 1G,GERMAN 2G,directed,3
GERMAN 2,GERMAN 3,directed,3
GERMAN 3,GERMAN 4,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 4,GERMAN 40,directed,3
GERMAN 4,GERMAN 41,directed,3
GERMAN 4,GERMAN 101,directed,3
GERMAN 4,GERMAN 102A,directed,3
GERMAN 100,GERMAN 113,directed,3
GERMAN 101,GERMAN 113,directed,3
GERMAN 100,GERMAN 175B,directed,3
GERMAN H196B,GERMAN H196A,directed,3
GERMAN H196A,GERMAN H196B,directed,3
GERMAN 1E,GERMAN 1E,directed,3
GERMAN R5A,GERMAN R5A,directed,3
GERMAN 21,GERMAN 21,directed,3
GERMAN 24,GERMAN 24,directed,3
GERMAN C25,GERMAN C25,directed,3
GERMAN 39A,GERMAN 39A,directed,3
GERMAN 39H,GERMAN 39H,directed,3
GERMAN 39L,GERMAN 39L,directed,3
GERMAN 39P,GERMAN 39P,directed,3
GERMAN 39R,GERMAN 39R,directed,3
GERMAN C75,GERMAN C75,directed,3
GERMAN 98,GERMAN 98,directed,3
GERMAN 99,GERMAN 99,directed,3
GERMAN 102D,GERMAN 102D,directed,3
GERMAN 103,GERMAN 103,directed,3
GERMAN 104,GERMAN 104,directed,3
GERMAN 105,GERMAN 105,directed,3
GERMAN C106,GERMAN C106,directed,3
GERMAN 107,GERMAN 107,directed,3
GERMAN 108,GERMAN 108,directed,3
GERMAN 110,GERMAN 110,directed,3
GERMAN 112,GERMAN 112,directed,3
GERMAN C113,GERMAN C113,directed,3
GERMAN 119,GERMAN 119,directed,3
GERMAN 123,GERMAN 123,directed,3
GERMAN 131,GERMAN 131,directed,3
GERMAN 140,GERMAN 140,directed,3
GERMAN 147,GERMAN 147,directed,3
GERMAN 148,GERMAN 148,directed,3
GERMAN 151,GERMAN 151,directed,3
GERMAN 152,GERMAN 152,directed,3
GERMAN 155,GERMAN 155,directed,3
GERMAN 156,GERMAN 156,directed,3
GERMAN 157A,GERMAN 157A,directed,3
GERMAN 157B,GERMAN 157B,directed,3
GERMAN 157C,GERMAN 157C,directed,3
GERMAN 157D,GERMAN 157D,directed,3
GERMAN 160A,GERMAN 160A,directed,3
GERMAN 160B,GERMAN 160B,directed,3
GERMAN 160C,GERMAN 160C,directed,3
GERMAN 160D,GERMAN 160D,directed,3
GERMAN 160E,GERMAN 160E,directed,3
GERMAN 160K,GERMAN 160K,directed,3
GERMAN 160L,GERMAN 160L,directed,3
GERMAN 170,GERMAN 170,directed,3
GERMAN 172,GERMAN 172,directed,3
GERMAN 173,GERMAN 173,directed,3
GERMAN 174,GERMAN 174,directed,3
GERMAN 176,GERMAN 176,directed,3
GERMAN 177,GERMAN 177,directed,3
GERMAN 178,GERMAN 178,directed,3
GERMAN 179,GERMAN 179,directed,3
GERMAN 182,GERMAN 182,directed,3
GERMAN 186,GERMAN 186,directed,3
GERMAN H196,GERMAN H196,directed,3
GERMAN 198,GERMAN 198,directed,3
GERMAN 199,GERMAN 199,directed,3
GERMAN 1E,GERMAN 1E,directed,3
GERMAN R5A,GERMAN R5A,directed,3
GERMAN 21,GERMAN 21,directed,3
GERMAN 24,GERMAN 24,directed,3
GERMAN C25,GERMAN C25,directed,3
GERMAN 39A,GERMAN 39A,directed,3
GERMAN 39H,GERMAN 39H,directed,3
GERMAN 39L,GERMAN 39L,directed,3
GERMAN 39P,GERMAN 39P,directed,3
GERMAN 39R,GERMAN 39R,directed,3
GERMAN C75,GERMAN C75,directed,3
GERMAN 98,GERMAN 98,directed,3
GERMAN 99,GERMAN 99,directed,3
GERMAN 102D,GERMAN 102D,directed,3
GERMAN 103,GERMAN 103,directed,3
GERMAN 104,GERMAN 104,directed,3
GERMAN 105,GERMAN 105,directed,3
GERMAN C106,GERMAN C106,directed,3
GERMAN 107,GERMAN 107,directed,3
GERMAN 108,GERMAN 108,directed,3
GERMAN 110,GERMAN 110,directed,3
GERMAN 112,GERMAN 112,directed,3
GERMAN C113,GERMAN C113,directed,3
GERMAN 119,GERMAN 119,directed,3
GERMAN 123,GERMAN 123,directed,3
GERMAN 131,GERMAN 131,directed,3
GERMAN 140,GERMAN 140,directed,3
GERMAN 147,GERMAN 147,directed,3
GERMAN 148,GERMAN 148,directed,3
GERMAN 151,GERMAN 151,directed,3
GERMAN 152,GERMAN 152,directed,3
GERMAN 155,GERMAN 155,directed,3
GERMAN 156,GERMAN 156,directed,3
GERMAN 157A,GERMAN 157A,directed,3
GERMAN 157B,GERMAN 157B,directed,3
GERMAN 157C,GERMAN 157C,directed,3
GERMAN 157D,GERMAN 157D,directed,3
GERMAN 160A,GERMAN 160A,directed,3
GERMAN 160B,GERMAN 160B,directed,3
GERMAN 160C,GERMAN 160C,directed,3
GERMAN 160D,GERMAN 160D,directed,3
GERMAN 160E,GERMAN 160E,directed,3
GERMAN 160K,GERMAN 160K,directed,3
GERMAN 160L,GERMAN 160L,directed,3
GERMAN 170,GERMAN 170,directed,3
GERMAN 172,GERMAN 172,directed,3
GERMAN 173,GERMAN 173,directed,3
GERMAN 174,GERMAN 174,directed,3
GERMAN 176,GERMAN 176,directed,3
GERMAN 177,GERMAN 177,directed,3
GERMAN 178,GERMAN 178,directed,3
GERMAN 179,GERMAN 179,directed,3
GERMAN 182,GERMAN 182,directed,3
GERMAN 186,GERMAN 186,directed,3
GERMAN H196,GERMAN H196,directed,3
GERMAN 198,GERMAN 198,directed,3
GERMAN 199,GERMAN 199,directed,3
GERMAN 1E,GERMAN 1E,directed,3
GERMAN R5A,GERMAN R5A,directed,3
GERMAN 21,GERMAN 21,directed,3
GERMAN 24,GERMAN 24,directed,3
GERMAN C25,GERMAN C25,directed,3
GERMAN 39A,GERMAN 39A,directed,3
GERMAN 39H,GERMAN 39H,directed,3
GERMAN 39L,GERMAN 39L,directed,3
GERMAN 39P,GERMAN 39P,directed,3
GERMAN 39R,GERMAN 39R,directed,3
GERMAN C75,GERMAN C75,directed,3
GERMAN 98,GERMAN 98,directed,3
GERMAN 99,GERMAN 99,directed,3
GERMAN 102D,GERMAN 102D,directed,3
GERMAN 103,GERMAN 103,directed,3
GERMAN 104,GERMAN 104,directed,3
GERMAN 105,GERMAN 105,directed,3
GERMAN C106,GERMAN C106,directed,3
GERMAN 107,GERMAN 107,directed,3
GERMAN 108,GERMAN 108,directed,3
GERMAN 110,GERMAN 110,directed,3
GERMAN 112,GERMAN 112,directed,3
GERMAN C113,GERMAN C113,directed,3
GERMAN 119,GERMAN 119,directed,3
GERMAN 123,GERMAN 123,directed,3
GERMAN 131,GERMAN 131,directed,3
GERMAN 140,GERMAN 140,directed,3
GERMAN 147,GERMAN 147,directed,3
GERMAN 148,GERMAN 148,directed,3
GERMAN 151,GERMAN 151,directed,3
GERMAN 152,GERMAN 152,directed,3
GERMAN 155,GERMAN 155,directed,3
GERMAN 156,GERMAN 156,directed,3
GERMAN 157A,GERMAN 157A,directed,3
GERMAN 157B,GERMAN 157B,directed,3
GERMAN 157C,GERMAN 157C,directed,3
GERMAN 157D,GERMAN 157D,directed,3
GERMAN 160A,GERMAN 160A,directed,3
GERMAN 160B,GERMAN 160B,directed,3
GERMAN 160C,GERMAN 160C,directed,3
GERMAN 160D,GERMAN 160D,directed,3
GERMAN 160E,GERMAN 160E,directed,3
GERMAN 160K,GERMAN 160K,directed,3
GERMAN 160L,GERMAN 160L,directed,3
GERMAN 170,GERMAN 170,directed,3
GERMAN 172,GERMAN 172,directed,3
GERMAN 173,GERMAN 173,directed,3
GERMAN 174,GERMAN 174,directed,3
GERMAN 176,GERMAN 176,directed,3
GERMAN 177,GERMAN 177,directed,3
GERMAN 178,GERMAN 178,directed,3
GERMAN 179,GERMAN 179,directed,3
GERMAN 182,GERMAN 182,directed,3
GERMAN 186,GERMAN 186,directed,3
GERMAN H196,GERMAN H196,directed,3
GERMAN 198,GERMAN 198,directed,3
GERMAN 199,GERMAN 199,directed,3
GERMAN 1E,GERMAN 1E,directed,3
GERMAN R5A,GERMAN R5A,directed,3
GERMAN 21,GERMAN 21,directed,3
GERMAN 24,GERMAN 24,directed,3
GERMAN C25,GERMAN C25,directed,3
GERMAN 39A,GERMAN 39A,directed,3
GERMAN 39H,GERMAN 39H,directed,3
GERMAN 39L,GERMAN 39L,directed,3
GERMAN 39P,GERMAN 39P,directed,3
GERMAN 39R,GERMAN 39R,directed,3
GERMAN C75,GERMAN C75,directed,3
GERMAN 98,GERMAN 98,directed,3
GERMAN 99,GERMAN 99,directed,3
GERMAN 102D,GERMAN 102D,directed,3
GERMAN 103,GERMAN 103,directed,3
GERMAN 104,GERMAN 104,directed,3
GERMAN 105,GERMAN 105,directed,3
GERMAN C106,GERMAN C106,directed,3
GERMAN 107,GERMAN 107,directed,3
GERMAN 108,GERMAN 108,directed,3
GERMAN 110,GERMAN 110,directed,3
GERMAN 112,GERMAN 112,directed,3
GERMAN C113,GERMAN C113,directed,3
GERMAN 119,GERMAN 119,directed,3
GERMAN 123,GERMAN 123,directed,3
GERMAN 131,GERMAN 131,directed,3
GERMAN 140,GERMAN 140,directed,3
GERMAN 147,GERMAN 147,directed,3
GERMAN 148,GERMAN 148,directed,3
GERMAN 151,GERMAN 151,directed,3
GERMAN 152,GERMAN 152,directed,3
GERMAN 155,GERMAN 155,directed,3
GERMAN 156,GERMAN 156,directed,3
GERMAN 157A,GERMAN 157A,directed,3
GERMAN 157B,GERMAN 157B,directed,3
GERMAN 157C,GERMAN 157C,directed,3
GERMAN 157D,GERMAN 157D,directed,3
GERMAN 160A,GERMAN 160A,directed,3
GERMAN 160B,GERMAN 160B,directed,3
GERMAN 160C,GERMAN 160C,directed,3
GERMAN 160D,GERMAN 160D,directed,3
GERMAN 160E,GERMAN 160E,directed,3
GERMAN 160K,GERMAN 160K,directed,3
GERMAN 160L,GERMAN 160L,directed,3
GERMAN 170,GERMAN 170,directed,3
GERMAN 172,GERMAN 172,directed,3
GERMAN 173,GERMAN 173,directed,3
GERMAN 174,GERMAN 174,directed,3
GERMAN 176,GERMAN 176,directed,3
GERMAN 177,GERMAN 177,directed,3
GERMAN 178,GERMAN 178,directed,3
GERMAN 179,GERMAN 179,directed,3
GERMAN 182,GERMAN 182,directed,3
GERMAN 186,GERMAN 186,directed,3
GERMAN H196,GERMAN H196,directed,3
GERMAN 198,GERMAN 198,directed,3
GERMAN 199,GERMAN 199,directed,3
GERMAN 1E,GERMAN 1E,directed,3
GERMAN R5A,GERMAN R5A,directed,3
GERMAN 21,GERMAN 21,directed,3
GERMAN 24,GERMAN 24,directed,3
GERMAN C25,GERMAN C25,directed,3
GERMAN 39A,GERMAN 39A,directed,3
GERMAN 39H,GERMAN 39H,directed,3
GERMAN 39L,GERMAN 39L,directed,3
GERMAN 39P,GERMAN 39P,directed,3
GERMAN 39R,GERMAN 39R,directed,3
GERMAN C75,GERMAN C75,directed,3
GERMAN 98,GERMAN 98,directed,3
GERMAN 99,GERMAN 99,directed,3
GERMAN 102D,GERMAN 102D,directed,3
GERMAN 103,GERMAN 103,directed,3
GERMAN 104,GERMAN 104,directed,3
GERMAN 105,GERMAN 105,directed,3
GERMAN C106,GERMAN C106,directed,3
GERMAN 107,GERMAN 107,directed,3
GERMAN 108,GERMAN 108,directed,3
GERMAN 110,GERMAN 110,directed,3
GERMAN 112,GERMAN 112,directed,3
GERMAN C113,GERMAN C113,directed,3
GERMAN 119,GERMAN 119,directed,3
GERMAN 123,GERMAN 123,directed,3
GERMAN 131,GERMAN 131,directed,3
GERMAN 140,GERMAN 140,directed,3
GERMAN 147,GERMAN 147,directed,3
GERMAN 148,GERMAN 148,directed,3
GERMAN 151,GERMAN 151,directed,3
GERMAN 152,GERMAN 152,directed,3
GERMAN 155,GERMAN 155,directed,3
GERMAN 156,GERMAN 156,directed,3
GERMAN 157A,GERMAN 157A,directed,3
GERMAN 157B,GERMAN 157B,directed,3
GERMAN 157C,GERMAN 157C,directed,3
GERMAN 157D,GERMAN 157D,directed,3
GERMAN 160A,GERMAN 160A,directed,3
GERMAN 160B,GERMAN 160B,directed,3
GERMAN 160C,GERMAN 160C,directed,3
GERMAN 160D,GERMAN 160D,directed,3
GERMAN 160E,GERMAN 160E,directed,3
GERMAN 160K,GERMAN 160K,directed,3
GERMAN 160L,GERMAN 160L,directed,3
GERMAN 170,GERMAN 170,directed,3
GERMAN 172,GERMAN 172,directed,3
GERMAN 173,GERMAN 173,directed,3
GERMAN 174,GERMAN 174,directed,3
GERMAN 176,GERMAN 176,directed,3
GERMAN 177,GERMAN 177,directed,3
GERMAN 178,GERMAN 178,directed,3
GERMAN 179,GERMAN 179,directed,3
GERMAN 182,GERMAN 182,directed,3
GERMAN 186,GERMAN 186,directed,3
GERMAN H196,GERMAN H196,directed,3
GERMAN 198,GERMAN 198,directed,3
GERMAN 199,GERMAN 199,directed,3
