source,target,type,weight
GLOBAL 10A,GLOBAL 10A,directed,3
GLOBAL 10B,GLOBAL 10B,directed,3
GLOBAL C10A,GLOBAL C10A,directed,3
GLOBAL 24,GLOBAL 24,directed,3
GLOBAL 45,GLOBAL 45,directed,3
GLOBAL 100D,GLOBAL 100D,directed,3
GLOBAL 100P,GLOBAL 100P,directed,3
GLOBAL 100S,GLOBAL 100S,directed,3
GLOBAL C100D,GLOBAL C100D,directed,3
GLOBAL 102,GLOBAL 102,directed,3
GLOBAL H102,GLOBAL H102,directed,3
GLOBAL 105,GLOBAL 105,directed,3
GLOBAL 110E,GLOBAL 110E,directed,3
GLOBAL 110K,GLOBAL 110K,directed,3
GLOBAL 110L,GLOBAL 110L,directed,3
GLOBAL 110M,GLOBAL 110M,directed,3
GLOBAL 110Q,GLOBAL 110Q,directed,3
GLOBAL 111Q,GLOBAL 111Q,directed,3
GLOBAL 121,GLOBAL 121,directed,3
GLOBAL 122L,GLOBAL 122L,directed,3
GLOBAL 123L,GLOBAL 123L,directed,3
GLOBAL C128,GLOBAL C128,directed,3
GLOBAL 131M,GLOBAL 131M,directed,3
GLOBAL 132,GLOBAL 132,directed,3
GLOBAL 133,GLOBAL 133,directed,3
GLOBAL 134,GLOBAL 134,directed,3
GLOBAL 140,GLOBAL 140,directed,3
GLOBAL 141,GLOBAL 141,directed,3
GLOBAL 142,GLOBAL 142,directed,3
GLOBAL 143Q,GLOBAL 143Q,directed,3
GLOBAL 150E,GLOBAL 150E,directed,3
GLOBAL 150Q,GLOBAL 150Q,directed,3
GLOBAL 151Q,GLOBAL 151Q,directed,3
GLOBAL 153P,GLOBAL 153P,directed,3
GLOBAL 154M,GLOBAL 154M,directed,3
GLOBAL 172,GLOBAL 172,directed,3
GLOBAL 173,GLOBAL 173,directed,3
GLOBAL 176,GLOBAL 176,directed,3
GLOBAL 177,GLOBAL 177,directed,3
GLOBAL 194,GLOBAL 194,directed,3
GLOBAL H195,GLOBAL H195,directed,3
GLOBAL 197,GLOBAL 197,directed,3
GLOBAL 198,GLOBAL 198,directed,3
GLOBAL 199,GLOBAL 199,directed,3
GLOBAL 210,GLOBAL 210,directed,3
GLOBAL 375,GLOBAL 375,directed,3
GLOBAL 10A,GLOBAL 10A,directed,3
GLOBAL 10B,GLOBAL 10B,directed,3
GLOBAL C10A,GLOBAL C10A,directed,3
GLOBAL 24,GLOBAL 24,directed,3
GLOBAL 45,GLOBAL 45,directed,3
GLOBAL 100D,GLOBAL 100D,directed,3
GLOBAL 100P,GLOBAL 100P,directed,3
GLOBAL 100S,GLOBAL 100S,directed,3
GLOBAL C100D,GLOBAL C100D,directed,3
GLOBAL 102,GLOBAL 102,directed,3
GLOBAL H102,GLOBAL H102,directed,3
GLOBAL 105,GLOBAL 105,directed,3
GLOBAL 110E,GLOBAL 110E,directed,3
GLOBAL 110K,GLOBAL 110K,directed,3
GLOBAL 110L,GLOBAL 110L,directed,3
GLOBAL 110M,GLOBAL 110M,directed,3
GLOBAL 110Q,GLOBAL 110Q,directed,3
GLOBAL 111Q,GLOBAL 111Q,directed,3
GLOBAL 121,GLOBAL 121,directed,3
GLOBAL 122L,GLOBAL 122L,directed,3
GLOBAL 123L,GLOBAL 123L,directed,3
GLOBAL C128,GLOBAL C128,directed,3
GLOBAL 131M,GLOBAL 131M,directed,3
GLOBAL 132,GLOBAL 132,directed,3
GLOBAL 133,GLOBAL 133,directed,3
GLOBAL 134,GLOBAL 134,directed,3
GLOBAL 140,GLOBAL 140,directed,3
GLOBAL 141,GLOBAL 141,directed,3
GLOBAL 142,GLOBAL 142,directed,3
GLOBAL 143Q,GLOBAL 143Q,directed,3
GLOBAL 150E,GLOBAL 150E,directed,3
GLOBAL 150Q,GLOBAL 150Q,directed,3
GLOBAL 151Q,GLOBAL 151Q,directed,3
GLOBAL 153P,GLOBAL 153P,directed,3
GLOBAL 154M,GLOBAL 154M,directed,3
GLOBAL 172,GLOBAL 172,directed,3
GLOBAL 173,GLOBAL 173,directed,3
GLOBAL 176,GLOBAL 176,directed,3
GLOBAL 177,GLOBAL 177,directed,3
GLOBAL 194,GLOBAL 194,directed,3
GLOBAL H195,GLOBAL H195,directed,3
GLOBAL 197,GLOBAL 197,directed,3
GLOBAL 198,GLOBAL 198,directed,3
GLOBAL 199,GLOBAL 199,directed,3
GLOBAL 210,GLOBAL 210,directed,3
GLOBAL 375,GLOBAL 375,directed,3
GLOBAL 10A,GLOBAL 10A,directed,3
GLOBAL 10B,GLOBAL 10B,directed,3
GLOBAL C10A,GLOBAL C10A,directed,3
GLOBAL 24,GLOBAL 24,directed,3
GLOBAL 45,GLOBAL 45,directed,3
GLOBAL 100D,GLOBAL 100D,directed,3
GLOBAL 100P,GLOBAL 100P,directed,3
GLOBAL 100S,GLOBAL 100S,directed,3
GLOBAL C100D,GLOBAL C100D,directed,3
GLOBAL 102,GLOBAL 102,directed,3
GLOBAL H102,GLOBAL H102,directed,3
GLOBAL 105,GLOBAL 105,directed,3
GLOBAL 110E,GLOBAL 110E,directed,3
GLOBAL 110K,GLOBAL 110K,directed,3
GLOBAL 110L,GLOBAL 110L,directed,3
GLOBAL 110M,GLOBAL 110M,directed,3
GLOBAL 110Q,GLOBAL 110Q,directed,3
GLOBAL 111Q,GLOBAL 111Q,directed,3
GLOBAL 121,GLOBAL 121,directed,3
GLOBAL 122L,GLOBAL 122L,directed,3
GLOBAL 123L,GLOBAL 123L,directed,3
GLOBAL C128,GLOBAL C128,directed,3
GLOBAL 131M,GLOBAL 131M,directed,3
GLOBAL 132,GLOBAL 132,directed,3
GLOBAL 133,GLOBAL 133,directed,3
GLOBAL 134,GLOBAL 134,directed,3
GLOBAL 140,GLOBAL 140,directed,3
GLOBAL 141,GLOBAL 141,directed,3
GLOBAL 142,GLOBAL 142,directed,3
GLOBAL 143Q,GLOBAL 143Q,directed,3
GLOBAL 150E,GLOBAL 150E,directed,3
GLOBAL 150Q,GLOBAL 150Q,directed,3
GLOBAL 151Q,GLOBAL 151Q,directed,3
GLOBAL 153P,GLOBAL 153P,directed,3
GLOBAL 154M,GLOBAL 154M,directed,3
GLOBAL 172,GLOBAL 172,directed,3
GLOBAL 173,GLOBAL 173,directed,3
GLOBAL 176,GLOBAL 176,directed,3
GLOBAL 177,GLOBAL 177,directed,3
GLOBAL 194,GLOBAL 194,directed,3
GLOBAL H195,GLOBAL H195,directed,3
GLOBAL 197,GLOBAL 197,directed,3
GLOBAL 198,GLOBAL 198,directed,3
GLOBAL 199,GLOBAL 199,directed,3
GLOBAL 210,GLOBAL 210,directed,3
GLOBAL 375,GLOBAL 375,directed,3
GLOBAL 10A,GLOBAL 10A,directed,3
GLOBAL 10B,GLOBAL 10B,directed,3
GLOBAL C10A,GLOBAL C10A,directed,3
GLOBAL 24,GLOBAL 24,directed,3
GLOBAL 45,GLOBAL 45,directed,3
GLOBAL 100D,GLOBAL 100D,directed,3
GLOBAL 100P,GLOBAL 100P,directed,3
GLOBAL 100S,GLOBAL 100S,directed,3
GLOBAL C100D,GLOBAL C100D,directed,3
GLOBAL 102,GLOBAL 102,directed,3
GLOBAL H102,GLOBAL H102,directed,3
GLOBAL 105,GLOBAL 105,directed,3
GLOBAL 110E,GLOBAL 110E,directed,3
GLOBAL 110K,GLOBAL 110K,directed,3
GLOBAL 110L,GLOBAL 110L,directed,3
GLOBAL 110M,GLOBAL 110M,directed,3
GLOBAL 110Q,GLOBAL 110Q,directed,3
GLOBAL 111Q,GLOBAL 111Q,directed,3
GLOBAL 121,GLOBAL 121,directed,3
GLOBAL 122L,GLOBAL 122L,directed,3
GLOBAL 123L,GLOBAL 123L,directed,3
GLOBAL C128,GLOBAL C128,directed,3
GLOBAL 131M,GLOBAL 131M,directed,3
GLOBAL 132,GLOBAL 132,directed,3
GLOBAL 133,GLOBAL 133,directed,3
GLOBAL 134,GLOBAL 134,directed,3
GLOBAL 140,GLOBAL 140,directed,3
GLOBAL 141,GLOBAL 141,directed,3
GLOBAL 142,GLOBAL 142,directed,3
GLOBAL 143Q,GLOBAL 143Q,directed,3
GLOBAL 150E,GLOBAL 150E,directed,3
GLOBAL 150Q,GLOBAL 150Q,directed,3
GLOBAL 151Q,GLOBAL 151Q,directed,3
GLOBAL 153P,GLOBAL 153P,directed,3
GLOBAL 154M,GLOBAL 154M,directed,3
GLOBAL 172,GLOBAL 172,directed,3
GLOBAL 173,GLOBAL 173,directed,3
GLOBAL 176,GLOBAL 176,directed,3
GLOBAL 177,GLOBAL 177,directed,3
GLOBAL 194,GLOBAL 194,directed,3
GLOBAL H195,GLOBAL H195,directed,3
GLOBAL 197,GLOBAL 197,directed,3
GLOBAL 198,GLOBAL 198,directed,3
GLOBAL 199,GLOBAL 199,directed,3
GLOBAL 210,GLOBAL 210,directed,3
GLOBAL 375,GLOBAL 375,directed,3
GLOBAL 10A,GLOBAL 10A,directed,3
GLOBAL 10B,GLOBAL 10B,directed,3
GLOBAL C10A,GLOBAL C10A,directed,3
GLOBAL 24,GLOBAL 24,directed,3
GLOBAL 45,GLOBAL 45,directed,3
GLOBAL 100D,GLOBAL 100D,directed,3
GLOBAL 100P,GLOBAL 100P,directed,3
GLOBAL 100S,GLOBAL 100S,directed,3
GLOBAL C100D,GLOBAL C100D,directed,3
GLOBAL 102,GLOBAL 102,directed,3
GLOBAL H102,GLOBAL H102,directed,3
GLOBAL 105,GLOBAL 105,directed,3
GLOBAL 110E,GLOBAL 110E,directed,3
GLOBAL 110K,GLOBAL 110K,directed,3
GLOBAL 110L,GLOBAL 110L,directed,3
GLOBAL 110M,GLOBAL 110M,directed,3
GLOBAL 110Q,GLOBAL 110Q,directed,3
GLOBAL 111Q,GLOBAL 111Q,directed,3
GLOBAL 121,GLOBAL 121,directed,3
GLOBAL 122L,GLOBAL 122L,directed,3
GLOBAL 123L,GLOBAL 123L,directed,3
GLOBAL C128,GLOBAL C128,directed,3
GLOBAL 131M,GLOBAL 131M,directed,3
GLOBAL 132,GLOBAL 132,directed,3
GLOBAL 133,GLOBAL 133,directed,3
GLOBAL 134,GLOBAL 134,directed,3
GLOBAL 140,GLOBAL 140,directed,3
GLOBAL 141,GLOBAL 141,directed,3
GLOBAL 142,GLOBAL 142,directed,3
GLOBAL 143Q,GLOBAL 143Q,directed,3
GLOBAL 150E,GLOBAL 150E,directed,3
GLOBAL 150Q,GLOBAL 150Q,directed,3
GLOBAL 151Q,GLOBAL 151Q,directed,3
GLOBAL 153P,GLOBAL 153P,directed,3
GLOBAL 154M,GLOBAL 154M,directed,3
GLOBAL 172,GLOBAL 172,directed,3
GLOBAL 173,GLOBAL 173,directed,3
GLOBAL 176,GLOBAL 176,directed,3
GLOBAL 177,GLOBAL 177,directed,3
GLOBAL 194,GLOBAL 194,directed,3
GLOBAL H195,GLOBAL H195,directed,3
GLOBAL 197,GLOBAL 197,directed,3
GLOBAL 198,GLOBAL 198,directed,3
GLOBAL 199,GLOBAL 199,directed,3
GLOBAL 210,GLOBAL 210,directed,3
GLOBAL 375,GLOBAL 375,directed,3
