name,size,about
GREEK 1,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
GREEK 2,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
GREEK 1,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
GREEK 2,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
GREEK 1,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
GREEK 2,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
GREEK 1,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
GREEK 2,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
GREEK 1,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
GREEK 2,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
