source,target,type,weight
GREEK 99,GREEK 99,directed,3
GREEK 160,GREEK 160,directed,3
GREEK H195A,GREEK H195A,directed,3
GREEK H195B,GREEK H195B,directed,3
GREEK 199,GREEK 199,directed,3
GREEK 99,GREEK 99,directed,3
GREEK 160,GREEK 160,directed,3
GREEK H195A,GREEK H195A,directed,3
GREEK H195B,GREEK H195B,directed,3
GREEK 199,GREEK 199,directed,3
GREEK 99,GREEK 99,directed,3
GREEK 160,GREEK 160,directed,3
GREEK H195A,GREEK H195A,directed,3
GREEK H195B,GREEK H195B,directed,3
GREEK 199,GREEK 199,directed,3
GREEK 99,GREEK 99,directed,3
GREEK 160,GREEK 160,directed,3
GREEK H195A,GREEK H195A,directed,3
GREEK H195B,GREEK H195B,directed,3
GREEK 199,GREEK 199,directed,3
GREEK 99,GREEK 99,directed,3
GREEK 160,GREEK 160,directed,3
GREEK H195A,GREEK H195A,directed,3
GREEK H195B,GREEK H195B,directed,3
GREEK 199,GREEK 199,directed,3
