source,target,type,weight
HISTORY 1,HISTORY 1,directed,3
HISTORY R1B,HISTORY R1B,directed,3
HISTORY 2,HISTORY 2,directed,3
HISTORY 3,HISTORY 3,directed,3
HISTORY 4A,HISTORY 4A,directed,3
HISTORY 4B,HISTORY 4B,directed,3
HISTORY 5,HISTORY 5,directed,3
HISTORY 6A,HISTORY 6A,directed,3
HISTORY 6B,HISTORY 6B,directed,3
HISTORY 7A,HISTORY 7A,directed,3
HISTORY 7B,HISTORY 7B,directed,3
HISTORY 8A,HISTORY 8A,directed,3
HISTORY 8B,HISTORY 8B,directed,3
HISTORY 10,HISTORY 10,directed,3
HISTORY 11,HISTORY 11,directed,3
HISTORY 12,HISTORY 12,directed,3
HISTORY 14,HISTORY 14,directed,3
HISTORY 20,HISTORY 20,directed,3
HISTORY 24,HISTORY 24,directed,3
HISTORY 30,HISTORY 30,directed,3
HISTORY 39A,HISTORY 39A,directed,3
HISTORY 39B,HISTORY 39B,directed,3
HISTORY 39C,HISTORY 39C,directed,3
HISTORY 39D,HISTORY 39D,directed,3
HISTORY 39F,HISTORY 39F,directed,3
HISTORY 39G,HISTORY 39G,directed,3
HISTORY 39H,HISTORY 39H,directed,3
HISTORY 39I,HISTORY 39I,directed,3
HISTORY 39T,HISTORY 39T,directed,3
HISTORY 39U,HISTORY 39U,directed,3
HISTORY 39W,HISTORY 39W,directed,3
HISTORY 39Y,HISTORY 39Y,directed,3
HISTORY 84,HISTORY 84,directed,3
HISTORY 88,HISTORY 88,directed,3
HISTORY 98,HISTORY 98,directed,3
HISTORY 98BC,HISTORY 98BC,directed,3
HISTORY 100AC,HISTORY 100AC,directed,3
HISTORY 100AP,HISTORY 100AP,directed,3
HISTORY 100B,HISTORY 100B,directed,3
HISTORY 100BP,HISTORY 100BP,directed,3
HISTORY 100D,HISTORY 100D,directed,3
HISTORY 100E,HISTORY 100E,directed,3
HISTORY 100F,HISTORY 100F,directed,3
HISTORY 100H,HISTORY 100H,directed,3
HISTORY 100L,HISTORY 100L,directed,3
HISTORY 100M,HISTORY 100M,directed,3
HISTORY 100S,HISTORY 100S,directed,3
HISTORY 100ST,HISTORY 100ST,directed,3
HISTORY 100U,HISTORY 100U,directed,3
HISTORY 100UP,HISTORY 100UP,directed,3
HISTORY N100,HISTORY N100,directed,3
HISTORY 101,HISTORY 101,directed,3
HISTORY 103A,HISTORY 103A,directed,3
HISTORY 103B,HISTORY 103B,directed,3
HISTORY 103C,HISTORY 103C,directed,3
HISTORY 103D,HISTORY 103D,directed,3
HISTORY 103E,HISTORY 103E,directed,3
HISTORY 103F,HISTORY 103F,directed,3
HISTORY 103H,HISTORY 103H,directed,3
HISTORY 103M,HISTORY 103M,directed,3
HISTORY 103S,HISTORY 103S,directed,3
HISTORY 103U,HISTORY 103U,directed,3
HISTORY 104,HISTORY 104,directed,3
HISTORY 105A,HISTORY 105A,directed,3
HISTORY 105B,HISTORY 105B,directed,3
HISTORY 106A,HISTORY 106A,directed,3
HISTORY 106B,HISTORY 106B,directed,3
HISTORY 108,HISTORY 108,directed,3
HISTORY 109A,HISTORY 109A,directed,3
HISTORY 109B,HISTORY 109B,directed,3
HISTORY 109C,HISTORY 109C,directed,3
HISTORY 111A,HISTORY 111A,directed,3
HISTORY 111B,HISTORY 111B,directed,3
HISTORY 111C,HISTORY 111C,directed,3
