source,target,type,weight
INTEGBI 132,INTEGBI 123AL,directed,3
INTEGBI 136,INTEGBI 123AL,directed,3
INTEGBI 132,INTEGBI 127L,directed,3
INTEGBI 136,INTEGBI 127L,directed,3
INTEGBI 132,INTEGBI C129L,directed,3
INTEGBI 123AL,INTEGBI C129L,directed,3
INTEGBI 132,INTEGBI 132L,directed,3
INTEGBI 151,INTEGBI 151L,directed,3
INTEGBI 168L,INTEGBI 168,directed,3
INTEGBI 132,INTEGBI 123AL,directed,3
INTEGBI 136,INTEGBI 123AL,directed,3
INTEGBI 132,INTEGBI 127L,directed,3
INTEGBI 136,INTEGBI 127L,directed,3
INTEGBI 132,INTEGBI C129L,directed,3
INTEGBI 123AL,INTEGBI C129L,directed,3
INTEGBI 132,INTEGBI 132L,directed,3
INTEGBI 151,INTEGBI 151L,directed,3
INTEGBI 168L,INTEGBI 168,directed,3
INTEGBI 132,INTEGBI 123AL,directed,3
INTEGBI 136,INTEGBI 123AL,directed,3
INTEGBI 132,INTEGBI 127L,directed,3
INTEGBI 136,INTEGBI 127L,directed,3
INTEGBI 132,INTEGBI C129L,directed,3
INTEGBI 123AL,INTEGBI C129L,directed,3
INTEGBI 132,INTEGBI 132L,directed,3
INTEGBI 151,INTEGBI 151L,directed,3
INTEGBI 168L,INTEGBI 168,directed,3
INTEGBI 132,INTEGBI 123AL,directed,3
INTEGBI 136,INTEGBI 123AL,directed,3
INTEGBI 132,INTEGBI 127L,directed,3
INTEGBI 136,INTEGBI 127L,directed,3
INTEGBI 132,INTEGBI C129L,directed,3
INTEGBI 123AL,INTEGBI C129L,directed,3
INTEGBI 132,INTEGBI 132L,directed,3
INTEGBI 151,INTEGBI 151L,directed,3
INTEGBI 168L,INTEGBI 168,directed,3
INTEGBI 132,INTEGBI 123AL,directed,3
INTEGBI 136,INTEGBI 123AL,directed,3
INTEGBI 132,INTEGBI 127L,directed,3
INTEGBI 136,INTEGBI 127L,directed,3
INTEGBI 132,INTEGBI C129L,directed,3
INTEGBI 123AL,INTEGBI C129L,directed,3
INTEGBI 132,INTEGBI 132L,directed,3
INTEGBI 151,INTEGBI 151L,directed,3
INTEGBI 168L,INTEGBI 168,directed,3
