source,target,type,weight
ISF 10,ISF 10,directed,3
ISF 50,ISF 50,directed,3
ISF 60,ISF 60,directed,3
ISF 61,ISF 61,directed,3
ISF 62,ISF 62,directed,3
ISF 98,ISF 98,directed,3
ISF 100A,ISF 100A,directed,3
ISF 100B,ISF 100B,directed,3
ISF 100C,ISF 100C,directed,3
ISF 100D,ISF 100D,directed,3
ISF 100E,ISF 100E,directed,3
ISF 100F,ISF 100F,directed,3
ISF 100G,ISF 100G,directed,3
ISF 100H,ISF 100H,directed,3
ISF 100I,ISF 100I,directed,3
ISF 100J,ISF 100J,directed,3
ISF 100K,ISF 100K,directed,3
ISF C100C,ISF C100C,directed,3
ISF C100G,ISF C100G,directed,3
ISF N100A,ISF N100A,directed,3
ISF N100D,ISF N100D,directed,3
ISF 110,ISF 110,directed,3
ISF 189,ISF 189,directed,3
ISF 190,ISF 190,directed,3
ISF 197,ISF 197,directed,3
ISF 198,ISF 198,directed,3
ISF 199,ISF 199,directed,3
ISF 10,ISF 10,directed,3
ISF 50,ISF 50,directed,3
ISF 60,ISF 60,directed,3
ISF 61,ISF 61,directed,3
ISF 62,ISF 62,directed,3
ISF 98,ISF 98,directed,3
ISF 100A,ISF 100A,directed,3
ISF 100B,ISF 100B,directed,3
ISF 100C,ISF 100C,directed,3
ISF 100D,ISF 100D,directed,3
ISF 100E,ISF 100E,directed,3
ISF 100F,ISF 100F,directed,3
ISF 100G,ISF 100G,directed,3
ISF 100H,ISF 100H,directed,3
ISF 100I,ISF 100I,directed,3
ISF 100J,ISF 100J,directed,3
ISF 100K,ISF 100K,directed,3
ISF C100C,ISF C100C,directed,3
ISF C100G,ISF C100G,directed,3
ISF N100A,ISF N100A,directed,3
ISF N100D,ISF N100D,directed,3
ISF 110,ISF 110,directed,3
ISF 189,ISF 189,directed,3
ISF 190,ISF 190,directed,3
ISF 197,ISF 197,directed,3
ISF 198,ISF 198,directed,3
ISF 199,ISF 199,directed,3
ISF 10,ISF 10,directed,3
ISF 50,ISF 50,directed,3
ISF 60,ISF 60,directed,3
ISF 61,ISF 61,directed,3
ISF 62,ISF 62,directed,3
ISF 98,ISF 98,directed,3
ISF 100A,ISF 100A,directed,3
ISF 100B,ISF 100B,directed,3
ISF 100C,ISF 100C,directed,3
ISF 100D,ISF 100D,directed,3
ISF 100E,ISF 100E,directed,3
ISF 100F,ISF 100F,directed,3
ISF 100G,ISF 100G,directed,3
ISF 100H,ISF 100H,directed,3
ISF 100I,ISF 100I,directed,3
ISF 100J,ISF 100J,directed,3
ISF 100K,ISF 100K,directed,3
ISF C100C,ISF C100C,directed,3
ISF C100G,ISF C100G,directed,3
ISF N100A,ISF N100A,directed,3
ISF N100D,ISF N100D,directed,3
ISF 110,ISF 110,directed,3
ISF 189,ISF 189,directed,3
ISF 190,ISF 190,directed,3
ISF 197,ISF 197,directed,3
ISF 198,ISF 198,directed,3
ISF 199,ISF 199,directed,3
ISF 10,ISF 10,directed,3
ISF 50,ISF 50,directed,3
ISF 60,ISF 60,directed,3
ISF 61,ISF 61,directed,3
ISF 62,ISF 62,directed,3
ISF 98,ISF 98,directed,3
ISF 100A,ISF 100A,directed,3
ISF 100B,ISF 100B,directed,3
ISF 100C,ISF 100C,directed,3
ISF 100D,ISF 100D,directed,3
ISF 100E,ISF 100E,directed,3
ISF 100F,ISF 100F,directed,3
ISF 100G,ISF 100G,directed,3
ISF 100H,ISF 100H,directed,3
ISF 100I,ISF 100I,directed,3
ISF 100J,ISF 100J,directed,3
ISF 100K,ISF 100K,directed,3
ISF C100C,ISF C100C,directed,3
ISF C100G,ISF C100G,directed,3
ISF N100A,ISF N100A,directed,3
ISF N100D,ISF N100D,directed,3
ISF 110,ISF 110,directed,3
ISF 189,ISF 189,directed,3
ISF 190,ISF 190,directed,3
ISF 197,ISF 197,directed,3
ISF 198,ISF 198,directed,3
ISF 199,ISF 199,directed,3
ISF 10,ISF 10,directed,3
ISF 50,ISF 50,directed,3
ISF 60,ISF 60,directed,3
ISF 61,ISF 61,directed,3
ISF 62,ISF 62,directed,3
ISF 98,ISF 98,directed,3
ISF 100A,ISF 100A,directed,3
ISF 100B,ISF 100B,directed,3
ISF 100C,ISF 100C,directed,3
ISF 100D,ISF 100D,directed,3
ISF 100E,ISF 100E,directed,3
ISF 100F,ISF 100F,directed,3
ISF 100G,ISF 100G,directed,3
ISF 100H,ISF 100H,directed,3
ISF 100I,ISF 100I,directed,3
ISF 100J,ISF 100J,directed,3
ISF 100K,ISF 100K,directed,3
ISF C100C,ISF C100C,directed,3
ISF C100G,ISF C100G,directed,3
ISF N100A,ISF N100A,directed,3
ISF N100D,ISF N100D,directed,3
ISF 110,ISF 110,directed,3
ISF 189,ISF 189,directed,3
ISF 190,ISF 190,directed,3
ISF 197,ISF 197,directed,3
ISF 198,ISF 198,directed,3
ISF 199,ISF 199,directed,3
