source,target,type,weight
ITALIAN 4,ITALIAN 1R,directed,3
ITALIAN 4,ITALIAN 1S,directed,3
ITALIAN 1,ITALIAN 2,directed,3
ITALIAN 1,ITALIAN W2,directed,3
ITALIAN 2,ITALIAN 3,directed,3
ITALIAN 3,ITALIAN 4,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 2,ITALIAN 11,directed,3
ITALIAN 3,ITALIAN 12,directed,3
ITALIAN 3,ITALIAN N12,directed,3
ITALIAN 4,ITALIAN 101,directed,3
ITALIAN 4,ITALIAN 101A,directed,3
ITALIAN 4,ITALIAN 101B,directed,3
ITALIAN 101,ITALIAN 102,directed,3
ITALIAN 4,ITALIAN 105,directed,3
ITALIAN 101,ITALIAN 160,directed,3
ITALIAN 4,ITALIAN 1R,directed,3
ITALIAN 4,ITALIAN 1S,directed,3
ITALIAN 1,ITALIAN 2,directed,3
ITALIAN 1,ITALIAN W2,directed,3
ITALIAN 2,ITALIAN 3,directed,3
ITALIAN 3,ITALIAN 4,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 2,ITALIAN 11,directed,3
ITALIAN 3,ITALIAN 12,directed,3
ITALIAN 3,ITALIAN N12,directed,3
ITALIAN 4,ITALIAN 101,directed,3
ITALIAN 4,ITALIAN 101A,directed,3
ITALIAN 4,ITALIAN 101B,directed,3
ITALIAN 101,ITALIAN 102,directed,3
ITALIAN 4,ITALIAN 105,directed,3
ITALIAN 101,ITALIAN 160,directed,3
ITALIAN 4,ITALIAN 1R,directed,3
ITALIAN 4,ITALIAN 1S,directed,3
ITALIAN 1,ITALIAN 2,directed,3
ITALIAN 1,ITALIAN W2,directed,3
ITALIAN 2,ITALIAN 3,directed,3
ITALIAN 3,ITALIAN 4,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 2,ITALIAN 11,directed,3
ITALIAN 3,ITALIAN 12,directed,3
ITALIAN 3,ITALIAN N12,directed,3
ITALIAN 4,ITALIAN 101,directed,3
ITALIAN 4,ITALIAN 101A,directed,3
ITALIAN 4,ITALIAN 101B,directed,3
ITALIAN 101,ITALIAN 102,directed,3
ITALIAN 4,ITALIAN 105,directed,3
ITALIAN 101,ITALIAN 160,directed,3
ITALIAN 4,ITALIAN 1R,directed,3
ITALIAN 4,ITALIAN 1S,directed,3
ITALIAN 1,ITALIAN 2,directed,3
ITALIAN 1,ITALIAN W2,directed,3
ITALIAN 2,ITALIAN 3,directed,3
ITALIAN 3,ITALIAN 4,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 2,ITALIAN 11,directed,3
ITALIAN 3,ITALIAN 12,directed,3
ITALIAN 3,ITALIAN N12,directed,3
ITALIAN 4,ITALIAN 101,directed,3
ITALIAN 4,ITALIAN 101A,directed,3
ITALIAN 4,ITALIAN 101B,directed,3
ITALIAN 101,ITALIAN 102,directed,3
ITALIAN 4,ITALIAN 105,directed,3
ITALIAN 101,ITALIAN 160,directed,3
ITALIAN 4,ITALIAN 1R,directed,3
ITALIAN 4,ITALIAN 1S,directed,3
ITALIAN 1,ITALIAN 2,directed,3
ITALIAN 1,ITALIAN W2,directed,3
ITALIAN 2,ITALIAN 3,directed,3
ITALIAN 3,ITALIAN 4,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 2,ITALIAN 11,directed,3
ITALIAN 3,ITALIAN 12,directed,3
ITALIAN 3,ITALIAN N12,directed,3
ITALIAN 4,ITALIAN 101,directed,3
ITALIAN 4,ITALIAN 101A,directed,3
ITALIAN 4,ITALIAN 101B,directed,3
ITALIAN 101,ITALIAN 102,directed,3
ITALIAN 4,ITALIAN 105,directed,3
ITALIAN 101,ITALIAN 160,directed,3
ITALIAN W1,ITALIAN W1,directed,3
ITALIAN R5A,ITALIAN R5A,directed,3
ITALIAN 24,ITALIAN 24,directed,3
ITALIAN 25,ITALIAN 25,directed,3
ITALIAN 30,ITALIAN 30,directed,3
ITALIAN N30,ITALIAN N30,directed,3
ITALIAN 39C,ITALIAN 39C,directed,3
ITALIAN 39F,ITALIAN 39F,directed,3
ITALIAN 40,ITALIAN 40,directed,3
ITALIAN 50,ITALIAN 50,directed,3
ITALIAN C62,ITALIAN C62,directed,3
ITALIAN 70,ITALIAN 70,directed,3
ITALIAN N70,ITALIAN N70,directed,3
ITALIAN 97,ITALIAN 97,directed,3
ITALIAN 98,ITALIAN 98,directed,3
ITALIAN 103,ITALIAN 103,directed,3
ITALIAN 104,ITALIAN 104,directed,3
ITALIAN 109,ITALIAN 109,directed,3
ITALIAN 110,ITALIAN 110,directed,3
ITALIAN 112,ITALIAN 112,directed,3
ITALIAN 114,ITALIAN 114,directed,3
ITALIAN 115,ITALIAN 115,directed,3
ITALIAN 117,ITALIAN 117,directed,3
ITALIAN 120,ITALIAN 120,directed,3
ITALIAN 130A,ITALIAN 130A,directed,3
ITALIAN 130B,ITALIAN 130B,directed,3
ITALIAN 150AC,ITALIAN 150AC,directed,3
ITALIAN 160S,ITALIAN 160S,directed,3
ITALIAN N160,ITALIAN N160,directed,3
ITALIAN 163,ITALIAN 163,directed,3
ITALIAN 170,ITALIAN 170,directed,3
ITALIAN 175,ITALIAN 175,directed,3
ITALIAN H195,ITALIAN H195,directed,3
ITALIAN 197,ITALIAN 197,directed,3
ITALIAN 198,ITALIAN 198,directed,3
ITALIAN 199,ITALIAN 199,directed,3
ITALIAN W1,ITALIAN W1,directed,3
ITALIAN R5A,ITALIAN R5A,directed,3
ITALIAN 24,ITALIAN 24,directed,3
ITALIAN 25,ITALIAN 25,directed,3
ITALIAN 30,ITALIAN 30,directed,3
ITALIAN N30,ITALIAN N30,directed,3
ITALIAN 39C,ITALIAN 39C,directed,3
ITALIAN 39F,ITALIAN 39F,directed,3
ITALIAN 40,ITALIAN 40,directed,3
ITALIAN 50,ITALIAN 50,directed,3
ITALIAN C62,ITALIAN C62,directed,3
ITALIAN 70,ITALIAN 70,directed,3
ITALIAN N70,ITALIAN N70,directed,3
ITALIAN 97,ITALIAN 97,directed,3
ITALIAN 98,ITALIAN 98,directed,3
ITALIAN 103,ITALIAN 103,directed,3
ITALIAN 104,ITALIAN 104,directed,3
ITALIAN 109,ITALIAN 109,directed,3
ITALIAN 110,ITALIAN 110,directed,3
ITALIAN 112,ITALIAN 112,directed,3
ITALIAN 114,ITALIAN 114,directed,3
ITALIAN 115,ITALIAN 115,directed,3
ITALIAN 117,ITALIAN 117,directed,3
ITALIAN 120,ITALIAN 120,directed,3
ITALIAN 130A,ITALIAN 130A,directed,3
ITALIAN 130B,ITALIAN 130B,directed,3
ITALIAN 150AC,ITALIAN 150AC,directed,3
ITALIAN 160S,ITALIAN 160S,directed,3
ITALIAN N160,ITALIAN N160,directed,3
ITALIAN 163,ITALIAN 163,directed,3
ITALIAN 170,ITALIAN 170,directed,3
ITALIAN 175,ITALIAN 175,directed,3
ITALIAN H195,ITALIAN H195,directed,3
ITALIAN 197,ITALIAN 197,directed,3
ITALIAN 198,ITALIAN 198,directed,3
ITALIAN 199,ITALIAN 199,directed,3
ITALIAN W1,ITALIAN W1,directed,3
ITALIAN R5A,ITALIAN R5A,directed,3
ITALIAN 24,ITALIAN 24,directed,3
ITALIAN 25,ITALIAN 25,directed,3
ITALIAN 30,ITALIAN 30,directed,3
ITALIAN N30,ITALIAN N30,directed,3
ITALIAN 39C,ITALIAN 39C,directed,3
ITALIAN 39F,ITALIAN 39F,directed,3
ITALIAN 40,ITALIAN 40,directed,3
ITALIAN 50,ITALIAN 50,directed,3
ITALIAN C62,ITALIAN C62,directed,3
ITALIAN 70,ITALIAN 70,directed,3
ITALIAN N70,ITALIAN N70,directed,3
ITALIAN 97,ITALIAN 97,directed,3
ITALIAN 98,ITALIAN 98,directed,3
ITALIAN 103,ITALIAN 103,directed,3
ITALIAN 104,ITALIAN 104,directed,3
ITALIAN 109,ITALIAN 109,directed,3
ITALIAN 110,ITALIAN 110,directed,3
ITALIAN 112,ITALIAN 112,directed,3
ITALIAN 114,ITALIAN 114,directed,3
ITALIAN 115,ITALIAN 115,directed,3
ITALIAN 117,ITALIAN 117,directed,3
ITALIAN 120,ITALIAN 120,directed,3
ITALIAN 130A,ITALIAN 130A,directed,3
ITALIAN 130B,ITALIAN 130B,directed,3
ITALIAN 150AC,ITALIAN 150AC,directed,3
ITALIAN 160S,ITALIAN 160S,directed,3
ITALIAN N160,ITALIAN N160,directed,3
ITALIAN 163,ITALIAN 163,directed,3
ITALIAN 170,ITALIAN 170,directed,3
ITALIAN 175,ITALIAN 175,directed,3
ITALIAN H195,ITALIAN H195,directed,3
ITALIAN 197,ITALIAN 197,directed,3
ITALIAN 198,ITALIAN 198,directed,3
ITALIAN 199,ITALIAN 199,directed,3
ITALIAN W1,ITALIAN W1,directed,3
ITALIAN R5A,ITALIAN R5A,directed,3
ITALIAN 24,ITALIAN 24,directed,3
ITALIAN 25,ITALIAN 25,directed,3
ITALIAN 30,ITALIAN 30,directed,3
ITALIAN N30,ITALIAN N30,directed,3
ITALIAN 39C,ITALIAN 39C,directed,3
ITALIAN 39F,ITALIAN 39F,directed,3
ITALIAN 40,ITALIAN 40,directed,3
ITALIAN 50,ITALIAN 50,directed,3
ITALIAN C62,ITALIAN C62,directed,3
ITALIAN 70,ITALIAN 70,directed,3
