name,size,about
JAPAN 104,1,"Terms offered: Spring 2017, Spring 2015, Spring 2014..."
JAPAN 111,1,"Terms offered: Fall 2014, Fall 2013, Fall 2012..."
JAPAN 112,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013..."
JAPAN 104,1,"Terms offered: Spring 2017, Spring 2015, Spring 2014..."
JAPAN 111,1,"Terms offered: Fall 2014, Fall 2013, Fall 2012..."
JAPAN 112,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013..."
JAPAN 104,1,"Terms offered: Spring 2017, Spring 2015, Spring 2014..."
JAPAN 111,1,"Terms offered: Fall 2014, Fall 2013, Fall 2012..."
JAPAN 112,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013..."
JAPAN 104,1,"Terms offered: Spring 2017, Spring 2015, Spring 2014..."
JAPAN 111,1,"Terms offered: Fall 2014, Fall 2013, Fall 2012..."
JAPAN 112,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013..."
JAPAN 104,1,"Terms offered: Spring 2017, Spring 2015, Spring 2014..."
JAPAN 111,1,"Terms offered: Fall 2014, Fall 2013, Fall 2012..."
JAPAN 112,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013..."
