source,target,type,weight
JAPAN 1A,JAPAN 1B,directed,3
JAPAN 1,JAPAN 10,directed,3
JAPAN 1B,JAPAN 10,directed,3
JAPAN 1,JAPAN 10A,directed,3
JAPAN 1B,JAPAN 10A,directed,3
JAPAN 10A,JAPAN 10B,directed,3
JAPAN 1B,JAPAN 10RA,directed,3
JAPAN 10,JAPAN 100,directed,3
JAPAN 10B,JAPAN 100,directed,3
JAPAN 10,JAPAN 100A,directed,3
JAPAN 10B,JAPAN 100A,directed,3
JAPAN 100A,JAPAN 100B,directed,3
JAPAN 10B,JAPAN 100S,directed,3
JAPAN 100B,JAPAN 100S,directed,3
JAPAN 10X,JAPAN 100X,directed,3
JAPAN 104,JAPAN 111,directed,3
JAPAN 104,JAPAN 112,directed,3
JAPAN 10,JAPAN 120,directed,3
JAPAN 10B,JAPAN 120,directed,3
JAPAN 120,JAPAN 130,directed,3
JAPAN 120,JAPAN 132,directed,3
JAPAN 120,JAPAN 140,directed,3
JAPAN 120,JAPAN 144,directed,3
JAPAN 120,JAPAN 146,directed,3
JAPAN 100A,JAPAN 155,directed,3
JAPAN 100A,JAPAN 159,directed,3
JAPAN 10B,JAPAN 160,directed,3
JAPAN 10X,JAPAN 160,directed,3
JAPAN 10X,JAPAN 161,directed,3
JAPAN 1A,JAPAN 1B,directed,3
JAPAN 1,JAPAN 10,directed,3
JAPAN 1B,JAPAN 10,directed,3
JAPAN 1,JAPAN 10A,directed,3
JAPAN 1B,JAPAN 10A,directed,3
JAPAN 10A,JAPAN 10B,directed,3
JAPAN 1B,JAPAN 10RA,directed,3
JAPAN 10,JAPAN 100,directed,3
JAPAN 10B,JAPAN 100,directed,3
JAPAN 10,JAPAN 100A,directed,3
JAPAN 10B,JAPAN 100A,directed,3
JAPAN 100A,JAPAN 100B,directed,3
JAPAN 10B,JAPAN 100S,directed,3
JAPAN 100B,JAPAN 100S,directed,3
JAPAN 10X,JAPAN 100X,directed,3
JAPAN 104,JAPAN 111,directed,3
JAPAN 104,JAPAN 112,directed,3
JAPAN 10,JAPAN 120,directed,3
JAPAN 10B,JAPAN 120,directed,3
JAPAN 120,JAPAN 130,directed,3
JAPAN 120,JAPAN 132,directed,3
JAPAN 120,JAPAN 140,directed,3
JAPAN 120,JAPAN 144,directed,3
JAPAN 120,JAPAN 146,directed,3
JAPAN 100A,JAPAN 155,directed,3
JAPAN 100A,JAPAN 159,directed,3
JAPAN 10B,JAPAN 160,directed,3
JAPAN 10X,JAPAN 160,directed,3
JAPAN 10X,JAPAN 161,directed,3
JAPAN 1A,JAPAN 1B,directed,3
JAPAN 1,JAPAN 10,directed,3
JAPAN 1B,JAPAN 10,directed,3
JAPAN 1,JAPAN 10A,directed,3
JAPAN 1B,JAPAN 10A,directed,3
JAPAN 10A,JAPAN 10B,directed,3
JAPAN 1B,JAPAN 10RA,directed,3
JAPAN 10,JAPAN 100,directed,3
JAPAN 10B,JAPAN 100,directed,3
JAPAN 10,JAPAN 100A,directed,3
JAPAN 10B,JAPAN 100A,directed,3
JAPAN 100A,JAPAN 100B,directed,3
JAPAN 10B,JAPAN 100S,directed,3
JAPAN 100B,JAPAN 100S,directed,3
JAPAN 10X,JAPAN 100X,directed,3
JAPAN 104,JAPAN 111,directed,3
JAPAN 104,JAPAN 112,directed,3
JAPAN 10,JAPAN 120,directed,3
JAPAN 10B,JAPAN 120,directed,3
JAPAN 120,JAPAN 130,directed,3
JAPAN 120,JAPAN 132,directed,3
JAPAN 120,JAPAN 140,directed,3
JAPAN 120,JAPAN 144,directed,3
JAPAN 120,JAPAN 146,directed,3
JAPAN 100A,JAPAN 155,directed,3
JAPAN 100A,JAPAN 159,directed,3
JAPAN 10B,JAPAN 160,directed,3
JAPAN 10X,JAPAN 160,directed,3
JAPAN 10X,JAPAN 161,directed,3
JAPAN 1A,JAPAN 1B,directed,3
JAPAN 1,JAPAN 10,directed,3
JAPAN 1B,JAPAN 10,directed,3
JAPAN 1,JAPAN 10A,directed,3
JAPAN 1B,JAPAN 10A,directed,3
JAPAN 10A,JAPAN 10B,directed,3
JAPAN 1B,JAPAN 10RA,directed,3
JAPAN 10,JAPAN 100,directed,3
JAPAN 10B,JAPAN 100,directed,3
JAPAN 10,JAPAN 100A,directed,3
JAPAN 10B,JAPAN 100A,directed,3
JAPAN 100A,JAPAN 100B,directed,3
JAPAN 10B,JAPAN 100S,directed,3
JAPAN 100B,JAPAN 100S,directed,3
JAPAN 10X,JAPAN 100X,directed,3
JAPAN 104,JAPAN 111,directed,3
JAPAN 104,JAPAN 112,directed,3
JAPAN 10,JAPAN 120,directed,3
JAPAN 10B,JAPAN 120,directed,3
JAPAN 120,JAPAN 130,directed,3
JAPAN 120,JAPAN 132,directed,3
JAPAN 120,JAPAN 140,directed,3
JAPAN 120,JAPAN 144,directed,3
JAPAN 120,JAPAN 146,directed,3
JAPAN 100A,JAPAN 155,directed,3
JAPAN 100A,JAPAN 159,directed,3
JAPAN 10B,JAPAN 160,directed,3
JAPAN 10X,JAPAN 160,directed,3
JAPAN 10X,JAPAN 161,directed,3
JAPAN 1A,JAPAN 1B,directed,3
JAPAN 1,JAPAN 10,directed,3
JAPAN 1B,JAPAN 10,directed,3
JAPAN 1,JAPAN 10A,directed,3
JAPAN 1B,JAPAN 10A,directed,3
JAPAN 10A,JAPAN 10B,directed,3
JAPAN 1B,JAPAN 10RA,directed,3
JAPAN 10,JAPAN 100,directed,3
JAPAN 10B,JAPAN 100,directed,3
JAPAN 10,JAPAN 100A,directed,3
JAPAN 10B,JAPAN 100A,directed,3
JAPAN 100A,JAPAN 100B,directed,3
JAPAN 10B,JAPAN 100S,directed,3
JAPAN 100B,JAPAN 100S,directed,3
JAPAN 10X,JAPAN 100X,directed,3
JAPAN 104,JAPAN 111,directed,3
JAPAN 104,JAPAN 112,directed,3
JAPAN 10,JAPAN 120,directed,3
JAPAN 10B,JAPAN 120,directed,3
JAPAN 120,JAPAN 130,directed,3
JAPAN 120,JAPAN 132,directed,3
JAPAN 120,JAPAN 140,directed,3
JAPAN 120,JAPAN 144,directed,3
JAPAN 120,JAPAN 146,directed,3
JAPAN 100A,JAPAN 155,directed,3
JAPAN 100A,JAPAN 159,directed,3
JAPAN 10B,JAPAN 160,directed,3
JAPAN 10X,JAPAN 160,directed,3
JAPAN 10X,JAPAN 161,directed,3
JAPAN 1AL,JAPAN 1AL,directed,3
JAPAN 1AS,JAPAN 1AS,directed,3
JAPAN 1BL,JAPAN 1BL,directed,3
JAPAN 1BS,JAPAN 1BS,directed,3
JAPAN 7A,JAPAN 7A,directed,3
JAPAN 7B,JAPAN 7B,directed,3
JAPAN 10AG,JAPAN 10AG,directed,3
JAPAN 10AS,JAPAN 10AS,directed,3
JAPAN 10BG,JAPAN 10BG,directed,3
JAPAN 10BS,JAPAN 10BS,directed,3
JAPAN 10RB,JAPAN 10RB,directed,3
JAPAN 24,JAPAN 24,directed,3
JAPAN 80,JAPAN 80,directed,3
JAPAN 84,JAPAN 84,directed,3
JAPAN 98,JAPAN 98,directed,3
JAPAN 99,JAPAN 99,directed,3
JAPAN 101,JAPAN 101,directed,3
JAPAN 102,JAPAN 102,directed,3
JAPAN 103,JAPAN 103,directed,3
JAPAN 105,JAPAN 105,directed,3
JAPAN C115,JAPAN C115,directed,3
JAPAN 116,JAPAN 116,directed,3
JAPAN C141,JAPAN C141,directed,3
JAPAN 163,JAPAN 163,directed,3
JAPAN 170,JAPAN 170,directed,3
JAPAN 173,JAPAN 173,directed,3
JAPAN C176,JAPAN C176,directed,3
JAPAN 177,JAPAN 177,directed,3
JAPAN 178,JAPAN 178,directed,3
JAPAN 180,JAPAN 180,directed,3
JAPAN 181,JAPAN 181,directed,3
JAPAN 185,JAPAN 185,directed,3
JAPAN 188,JAPAN 188,directed,3
JAPAN 189,JAPAN 189,directed,3
JAPAN H195A,JAPAN H195A,directed,3
JAPAN H195B,JAPAN H195B,directed,3
JAPAN 198,JAPAN 198,directed,3
JAPAN 199,JAPAN 199,directed,3
JAPAN 1AL,JAPAN 1AL,directed,3
JAPAN 1AS,JAPAN 1AS,directed,3
JAPAN 1BL,JAPAN 1BL,directed,3
JAPAN 1BS,JAPAN 1BS,directed,3
JAPAN 7A,JAPAN 7A,directed,3
JAPAN 7B,JAPAN 7B,directed,3
JAPAN 10AG,JAPAN 10AG,directed,3
JAPAN 10AS,JAPAN 10AS,directed,3
JAPAN 10BG,JAPAN 10BG,directed,3
JAPAN 10BS,JAPAN 10BS,directed,3
JAPAN 10RB,JAPAN 10RB,directed,3
JAPAN 24,JAPAN 24,directed,3
JAPAN 80,JAPAN 80,directed,3
JAPAN 84,JAPAN 84,directed,3
JAPAN 98,JAPAN 98,directed,3
JAPAN 99,JAPAN 99,directed,3
JAPAN 101,JAPAN 101,directed,3
JAPAN 102,JAPAN 102,directed,3
JAPAN 103,JAPAN 103,directed,3
JAPAN 105,JAPAN 105,directed,3
JAPAN C115,JAPAN C115,directed,3
JAPAN 116,JAPAN 116,directed,3
JAPAN C141,JAPAN C141,directed,3
JAPAN 163,JAPAN 163,directed,3
JAPAN 170,JAPAN 170,directed,3
JAPAN 173,JAPAN 173,directed,3
JAPAN C176,JAPAN C176,directed,3
JAPAN 177,JAPAN 177,directed,3
JAPAN 178,JAPAN 178,directed,3
JAPAN 180,JAPAN 180,directed,3
JAPAN 181,JAPAN 181,directed,3
JAPAN 185,JAPAN 185,directed,3
JAPAN 188,JAPAN 188,directed,3
JAPAN 189,JAPAN 189,directed,3
JAPAN H195A,JAPAN H195A,directed,3
JAPAN H195B,JAPAN H195B,directed,3
JAPAN 198,JAPAN 198,directed,3
JAPAN 199,JAPAN 199,directed,3
JAPAN 1AL,JAPAN 1AL,directed,3
JAPAN 1AS,JAPAN 1AS,directed,3
JAPAN 1BL,JAPAN 1BL,directed,3
JAPAN 1BS,JAPAN 1BS,directed,3
JAPAN 7A,JAPAN 7A,directed,3
JAPAN 7B,JAPAN 7B,directed,3
JAPAN 10AG,JAPAN 10AG,directed,3
JAPAN 10AS,JAPAN 10AS,directed,3
JAPAN 10BG,JAPAN 10BG,directed,3
JAPAN 10BS,JAPAN 10BS,directed,3
JAPAN 10RB,JAPAN 10RB,directed,3
JAPAN 24,JAPAN 24,directed,3
JAPAN 80,JAPAN 80,directed,3
JAPAN 84,JAPAN 84,directed,3
JAPAN 98,JAPAN 98,directed,3
JAPAN 99,JAPAN 99,directed,3
JAPAN 101,JAPAN 101,directed,3
JAPAN 102,JAPAN 102,directed,3
JAPAN 103,JAPAN 103,directed,3
JAPAN 105,JAPAN 105,directed,3
JAPAN C115,JAPAN C115,directed,3
JAPAN 116,JAPAN 116,directed,3
JAPAN C141,JAPAN C141,directed,3
JAPAN 163,JAPAN 163,directed,3
JAPAN 170,JAPAN 170,directed,3
JAPAN 173,JAPAN 173,directed,3
JAPAN C176,JAPAN C176,directed,3
JAPAN 177,JAPAN 177,directed,3
JAPAN 178,JAPAN 178,directed,3
JAPAN 180,JAPAN 180,directed,3
JAPAN 181,JAPAN 181,directed,3
JAPAN 185,JAPAN 185,directed,3
JAPAN 188,JAPAN 188,directed,3
JAPAN 189,JAPAN 189,directed,3
JAPAN H195A,JAPAN H195A,directed,3
JAPAN H195B,JAPAN H195B,directed,3
JAPAN 198,JAPAN 198,directed,3
JAPAN 199,JAPAN 199,directed,3
JAPAN 1AL,JAPAN 1AL,directed,3
JAPAN 1AS,JAPAN 1AS,directed,3
JAPAN 1BL,JAPAN 1BL,directed,3
JAPAN 1BS,JAPAN 1BS,directed,3
JAPAN 7A,JAPAN 7A,directed,3
JAPAN 7B,JAPAN 7B,directed,3
JAPAN 10AG,JAPAN 10AG,directed,3
JAPAN 10AS,JAPAN 10AS,directed,3
JAPAN 10BG,JAPAN 10BG,directed,3
JAPAN 10BS,JAPAN 10BS,directed,3
JAPAN 10RB,JAPAN 10RB,directed,3
JAPAN 24,JAPAN 24,directed,3
JAPAN 80,JAPAN 80,directed,3
JAPAN 84,JAPAN 84,directed,3
JAPAN 98,JAPAN 98,directed,3
JAPAN 99,JAPAN 99,directed,3
JAPAN 101,JAPAN 101,directed,3
JAPAN 102,JAPAN 102,directed,3
JAPAN 103,JAPAN 103,directed,3
JAPAN 105,JAPAN 105,directed,3
JAPAN C115,JAPAN C115,directed,3
JAPAN 116,JAPAN 116,directed,3
JAPAN C141,JAPAN C141,directed,3
JAPAN 163,JAPAN 163,directed,3
JAPAN 170,JAPAN 170,directed,3
JAPAN 173,JAPAN 173,directed,3
JAPAN C176,JAPAN C176,directed,3
JAPAN 177,JAPAN 177,directed,3
JAPAN 178,JAPAN 178,directed,3
