source,target,type,weight
LD ARCH 1,LD ARCH 1,directed,3
LD ARCH 12,LD ARCH 12,directed,3
LD ARCH 98,LD ARCH 98,directed,3
LD ARCH 101,LD ARCH 101,directed,3
LD ARCH 102,LD ARCH 102,directed,3
LD ARCH 103,LD ARCH 103,directed,3
LD ARCH 110,LD ARCH 110,directed,3
LD ARCH 110L,LD ARCH 110L,directed,3
LD ARCH 111,LD ARCH 111,directed,3
LD ARCH 112,LD ARCH 112,directed,3
LD ARCH 120,LD ARCH 120,directed,3
LD ARCH 121,LD ARCH 121,directed,3
LD ARCH 122,LD ARCH 122,directed,3
LD ARCH 130,LD ARCH 130,directed,3
LD ARCH 133,LD ARCH 133,directed,3
LD ARCH 134A,LD ARCH 134A,directed,3
LD ARCH 134B,LD ARCH 134B,directed,3
LD ARCH 135,LD ARCH 135,directed,3
LD ARCH 140,LD ARCH 140,directed,3
LD ARCH 154,LD ARCH 154,directed,3
LD ARCH 160,LD ARCH 160,directed,3
LD ARCH 170,LD ARCH 170,directed,3
LD ARCH C171,LD ARCH C171,directed,3
LD ARCH C177,LD ARCH C177,directed,3
LD ARCH 187,LD ARCH 187,directed,3
LD ARCH C188,LD ARCH C188,directed,3
LD ARCH 197,LD ARCH 197,directed,3
LD ARCH 198,LD ARCH 198,directed,3
LD ARCH 199,LD ARCH 199,directed,3
LD ARCH 1,LD ARCH 1,directed,3
LD ARCH 12,LD ARCH 12,directed,3
LD ARCH 98,LD ARCH 98,directed,3
LD ARCH 101,LD ARCH 101,directed,3
LD ARCH 102,LD ARCH 102,directed,3
LD ARCH 103,LD ARCH 103,directed,3
LD ARCH 110,LD ARCH 110,directed,3
LD ARCH 110L,LD ARCH 110L,directed,3
LD ARCH 111,LD ARCH 111,directed,3
LD ARCH 112,LD ARCH 112,directed,3
LD ARCH 120,LD ARCH 120,directed,3
LD ARCH 121,LD ARCH 121,directed,3
LD ARCH 122,LD ARCH 122,directed,3
LD ARCH 130,LD ARCH 130,directed,3
LD ARCH 133,LD ARCH 133,directed,3
LD ARCH 134A,LD ARCH 134A,directed,3
LD ARCH 134B,LD ARCH 134B,directed,3
LD ARCH 135,LD ARCH 135,directed,3
LD ARCH 140,LD ARCH 140,directed,3
LD ARCH 154,LD ARCH 154,directed,3
LD ARCH 160,LD ARCH 160,directed,3
LD ARCH 170,LD ARCH 170,directed,3
LD ARCH C171,LD ARCH C171,directed,3
LD ARCH C177,LD ARCH C177,directed,3
LD ARCH 187,LD ARCH 187,directed,3
LD ARCH C188,LD ARCH C188,directed,3
LD ARCH 197,LD ARCH 197,directed,3
LD ARCH 198,LD ARCH 198,directed,3
LD ARCH 199,LD ARCH 199,directed,3
LD ARCH 1,LD ARCH 1,directed,3
LD ARCH 12,LD ARCH 12,directed,3
LD ARCH 98,LD ARCH 98,directed,3
LD ARCH 101,LD ARCH 101,directed,3
LD ARCH 102,LD ARCH 102,directed,3
LD ARCH 103,LD ARCH 103,directed,3
LD ARCH 110,LD ARCH 110,directed,3
LD ARCH 110L,LD ARCH 110L,directed,3
LD ARCH 111,LD ARCH 111,directed,3
LD ARCH 112,LD ARCH 112,directed,3
LD ARCH 120,LD ARCH 120,directed,3
LD ARCH 121,LD ARCH 121,directed,3
LD ARCH 122,LD ARCH 122,directed,3
LD ARCH 130,LD ARCH 130,directed,3
LD ARCH 133,LD ARCH 133,directed,3
LD ARCH 134A,LD ARCH 134A,directed,3
LD ARCH 134B,LD ARCH 134B,directed,3
LD ARCH 135,LD ARCH 135,directed,3
LD ARCH 140,LD ARCH 140,directed,3
LD ARCH 154,LD ARCH 154,directed,3
LD ARCH 160,LD ARCH 160,directed,3
LD ARCH 170,LD ARCH 170,directed,3
LD ARCH C171,LD ARCH C171,directed,3
LD ARCH C177,LD ARCH C177,directed,3
LD ARCH 187,LD ARCH 187,directed,3
LD ARCH C188,LD ARCH C188,directed,3
LD ARCH 197,LD ARCH 197,directed,3
LD ARCH 198,LD ARCH 198,directed,3
LD ARCH 199,LD ARCH 199,directed,3
LD ARCH 1,LD ARCH 1,directed,3
LD ARCH 12,LD ARCH 12,directed,3
LD ARCH 98,LD ARCH 98,directed,3
LD ARCH 101,LD ARCH 101,directed,3
LD ARCH 102,LD ARCH 102,directed,3
LD ARCH 103,LD ARCH 103,directed,3
LD ARCH 110,LD ARCH 110,directed,3
LD ARCH 110L,LD ARCH 110L,directed,3
LD ARCH 111,LD ARCH 111,directed,3
LD ARCH 112,LD ARCH 112,directed,3
LD ARCH 120,LD ARCH 120,directed,3
LD ARCH 121,LD ARCH 121,directed,3
LD ARCH 122,LD ARCH 122,directed,3
LD ARCH 130,LD ARCH 130,directed,3
LD ARCH 133,LD ARCH 133,directed,3
LD ARCH 134A,LD ARCH 134A,directed,3
LD ARCH 134B,LD ARCH 134B,directed,3
LD ARCH 135,LD ARCH 135,directed,3
LD ARCH 140,LD ARCH 140,directed,3
LD ARCH 154,LD ARCH 154,directed,3
LD ARCH 160,LD ARCH 160,directed,3
LD ARCH 170,LD ARCH 170,directed,3
LD ARCH C171,LD ARCH C171,directed,3
LD ARCH C177,LD ARCH C177,directed,3
LD ARCH 187,LD ARCH 187,directed,3
LD ARCH C188,LD ARCH C188,directed,3
LD ARCH 197,LD ARCH 197,directed,3
LD ARCH 198,LD ARCH 198,directed,3
LD ARCH 199,LD ARCH 199,directed,3
LD ARCH 1,LD ARCH 1,directed,3
LD ARCH 12,LD ARCH 12,directed,3
LD ARCH 98,LD ARCH 98,directed,3
LD ARCH 101,LD ARCH 101,directed,3
LD ARCH 102,LD ARCH 102,directed,3
LD ARCH 103,LD ARCH 103,directed,3
LD ARCH 110,LD ARCH 110,directed,3
LD ARCH 110L,LD ARCH 110L,directed,3
LD ARCH 111,LD ARCH 111,directed,3
LD ARCH 112,LD ARCH 112,directed,3
LD ARCH 120,LD ARCH 120,directed,3
LD ARCH 121,LD ARCH 121,directed,3
LD ARCH 122,LD ARCH 122,directed,3
LD ARCH 130,LD ARCH 130,directed,3
LD ARCH 133,LD ARCH 133,directed,3
LD ARCH 134A,LD ARCH 134A,directed,3
LD ARCH 134B,LD ARCH 134B,directed,3
LD ARCH 135,LD ARCH 135,directed,3
LD ARCH 140,LD ARCH 140,directed,3
LD ARCH 154,LD ARCH 154,directed,3
LD ARCH 160,LD ARCH 160,directed,3
LD ARCH 170,LD ARCH 170,directed,3
LD ARCH C171,LD ARCH C171,directed,3
LD ARCH C177,LD ARCH C177,directed,3
LD ARCH 187,LD ARCH 187,directed,3
LD ARCH C188,LD ARCH C188,directed,3
LD ARCH 197,LD ARCH 197,directed,3
LD ARCH 198,LD ARCH 198,directed,3
LD ARCH 199,LD ARCH 199,directed,3
