source,target,type,weight
LATAMST 10,LATAMST 10,directed,3
LATAMST 24,LATAMST 24,directed,3
LATAMST 150,LATAMST 150,directed,3
LATAMST 160,LATAMST 160,directed,3
LATAMST 192,LATAMST 192,directed,3
LATAMST H195,LATAMST H195,directed,3
LATAMST 198,LATAMST 198,directed,3
LATAMST 10,LATAMST 10,directed,3
LATAMST 24,LATAMST 24,directed,3
LATAMST 150,LATAMST 150,directed,3
LATAMST 160,LATAMST 160,directed,3
LATAMST 192,LATAMST 192,directed,3
LATAMST H195,LATAMST H195,directed,3
LATAMST 198,LATAMST 198,directed,3
LATAMST 10,LATAMST 10,directed,3
LATAMST 24,LATAMST 24,directed,3
LATAMST 150,LATAMST 150,directed,3
LATAMST 160,LATAMST 160,directed,3
LATAMST 192,LATAMST 192,directed,3
LATAMST H195,LATAMST H195,directed,3
LATAMST 198,LATAMST 198,directed,3
LATAMST 10,LATAMST 10,directed,3
LATAMST 24,LATAMST 24,directed,3
LATAMST 150,LATAMST 150,directed,3
LATAMST 160,LATAMST 160,directed,3
LATAMST 192,LATAMST 192,directed,3
LATAMST H195,LATAMST H195,directed,3
LATAMST 198,LATAMST 198,directed,3
LATAMST 10,LATAMST 10,directed,3
LATAMST 24,LATAMST 24,directed,3
LATAMST 150,LATAMST 150,directed,3
LATAMST 160,LATAMST 160,directed,3
LATAMST 192,LATAMST 192,directed,3
LATAMST H195,LATAMST H195,directed,3
LATAMST 198,LATAMST 198,directed,3
